,numeric,numeric,numeric,numeric,,,,,,,
heading,Discharge (m3/h),V (m/sec),V2/2g (m),hf (m / 100 m of pipe),,,,,,,
data,0.159,0.225,0.003,0.226,,,,,,,
data,0.227,0.322,0.005,0.567,,,,,,,
data,0.341,0.482,0.012,0.869,,,,,,,
data,0.454,0.643,0.211,1.457,,,,,,,
data,0.568,0.805,0.033,2.182,,,,,,,
data,0.681,0.966,0.048,3.048,,,,,,,
data,0.795,1.128,0.065,4.054,,,,,,,
data,0.908,1.286,0.084,5.212,,,,,,,
data,1.022,1.448,0.107,6.492,,,,,,,
data,1.136,1.609,0.132,7.864,,,,,,,
data,1.249,1.771,0.160,9.418,,,,,,,
data,1.363,1.932,0.190,11.125,,,,,,,
data,1.476,2.091,0.223,12.924,,,,,,,
data,1.590,2.252,0.259,14.844,,,,,,,
data,1.703,2.414,0.297,16.916,,,,,,,
data,1.817,2.576,0.338,19.111,,,,,,,
data,1.931,2.737,0.381,21.427,,,,,,,
data,2.044,2.896,0.427,23.866,,,,,,,
data,2.158,3.057,0.475,26.487,,,,,,,
data,2.271,3.219,0.527,29.230,,,,,,,
data,2.498,3.536,0.640,35.052,,,,,,,
data,2.725,3.871,0.759,41.453,,,,,,,
data,2.953,4.176,0.893,48.463,,,,,,,
data,3.180,4.511,1.036,55.778,,,,,,,
data,3.407,4.816,1.189,63.703,,,,,,,
