,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Seconds Saybolt Universal (SSU),Kinematic Viscosity Centistokes,Approx. Seconds Mac Michael,Approx. Gardner Holt Bubble,Seconds Zahn Cup #1,Seconds Zahn Cup #2,Seconds Zahn Cup #3,Seconds Zahn Cup #4,Seconds Zahn Cup #5,Seconds Demmler Cup #1,Seconds Demmler Cup #10,Approx. Seconds Stormer (100 gm load),"Seconds Pratt and Lambert ""F"""
data,31,1.00,—,—,—,—,—,—,—,—,—,—,—
data,35,2.56,—,—,—,—,—,—,—,—,—,—,—
data,40,4.3,—,—,—,—,—,—,—,1.3,—,—,—
data,50,7.4,—,—,—,—,—,—,—,2.3,—,2.6,—
data,60,10.3,—,—,—,—,—,—,—,3.2,—,3.6,—
data,70,13.1,—,—,—,—,—,—,—,4.1,—,4.6,—
data,80,15.7,—,—,—,—,—,—,—,4.9,—,5.5,—
data,90,18.2,—,—,—,—,—,—,—,5.7,—,6.4,—
data,100,20.6,125,—,38,18,—,—,—,6.5,—,7.3,—
data,150,32.1,145,—,47,20,—,—,—,10,1,11.3,—
data,200,43.2,165,A,54,23,—,—,—,13.5,1.4,15.2,—
data,250,54,198,A,62,26,—,—,—,16.9,1.7,19,—
data,300,65,225,B,73,29,—,—,—,20.4,2,23,—
data,400,87.6,270,C,90,37,—,—,—,27.4,2.7,31,7
data,500,110,320,D,—,46,—,—,—,34.5,3.5,39,8
data,600,132,370,F,—,55,—,—,—,41,4.1,46,9
data,700,154,420,G,—,63,22.5,—,—,48,4.8,54,9.5
data,800,176,470,—,—,72,24.5,—,—,55,5.5,62,10.8
data,900,198,515,H,—,80,27,18,—,62,6.2,70,11.9
data,1000,220,570,I,—,88,29,20,13,69,6.9,77,12.4
data,1500,330,805,M,—,—,40,28,18,103,10.3,116,16.8
data,2000,440,1070,Q,—,—,51,34,24,137,13.7,154,22
data,2500,550,1325,T,—,—,63,41,29,172,17.2,193,27.6
data,3000,660,1690,U,—,—,75,48,33,206,20.6,232,33.7
data,4000,880,2110,V,—,—,—,63,43,275,27.5,308,45
data,5000,1100,2635,W,—,—,—,77,50,344,34.4,385,55.8
data,6000,1320,3145,X,—,—,—,—,65,413,41.3,462,65.5
data,7000,1540,3670,—,—,—,—,—,75,481,48,540,77
data,8000,1760,4170,Y,—,—,—,—,86,550,55,618,89
data,9000,1980,4700,—,—,—,—,—,96,620,62,695,102
data,10000,2200,5220,Z,—,—,—,—,—,690,69,770,113
data,15000,3300,7720,Z2,—,—,—,—,—,1030,103,1160,172
data,20000,4400,10500,Z3,—,—,—,—,—,1370,137,1540,234
