,string,numeric
heading,Property,Value
data,Critical temperature (T<sub>c</sub>),705.103 °F
data,Critical pressure (P<sub>c</sub>),3200.11 psia
data,Critical density (D<sub>c</sub>),20.101808 lbm/ft³
data,Acentric factor,0.3443
data,Normal boiling point ,211.9537 °F
data,Dipole moment,1.855 Debye
