,string,numeric
heading,Viscosimeter,Factor
data,Saybolt Furol,10
data,Redwood Standard,1.095
data,Redwood Admirality,10.87
data,Engler-Degrees,34.5
data,Parlin cup #15,98.2
data,Parlin cup #20,187
data,Ford cup #4,17.4
data,Mac Michael,1.92 (approx.)
data,Demmler #1,14.6
data,Demmler #10,146
data,Stormer,13 (approx.)
