,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Degrees Baumé,Specific gravity,Degrees Baumé,Specific gravity,Degrees Baumé,Specific gravity,Degrees Baumé,Specific gravity,Degrees Baumé,Specific gravity,Degrees Baumé,Specific gravity
data,10,1.0000,25,0.9032,40,0.8235,55,0.7568,70,0.7000,85,0.6512
data,11,0.9929,26,0.8974,41,0.8187,56,0.7527,71,0.6965,86,0.6481
data,12,0.9859,27,0.8917,42,0.8140,57,0.7487,72,0.6931,87,0.6452
data,13,0.9790,28,0.8861,43,0.8092,58,0.7447,73,0.6897,88,0.6422
data,14,0.9722,29,0.8805,44,0.8046,59,0.7407,74,0.6863,89,0.6393
data,15,0.9655,30,0.8750,45,0.8000,60,0.7368,75,0.6829,90,0.6364
data,16,0.9589,31,0.8696,46,0.7955,61,0.7330,76,0.6796,91,0.6335
data,17,0.9524,32,0.8642,47,0.7910,62,0.7292,77,0.6763,92,0.6306
data,18,0.9459,33,0.8589,48,0.7865,63,0.7254,78,0.6731,93,0.6278
data,19,0.9396,34,0.8537,49,0.7821,64,0.7216,79,0.6699,94,0.6250
data,20,0.9333,35,0.8485,50,0.7778,65,0.7179,80,0.6667,95,0.6222
data,21,0.9272,36,0.8434,51,0.7735,66,0.7143,81,0.6635,96,0.6195
data,22,0.9211,37,0.8383,52,0.7692,67,0.7107,82,0.6604,97,0.6167
data,23,0.9150,38,0.8333,53,0.7650,68,0.7071,83,0.6573,98,0.6140
data,24,0.9091,39,0.8284,54,0.7609,69,0.7035,84,0.6542,99,0.6114
data,,,,,,,,,,,100,0.6087
