,numeric,numeric
heading,Temperature (R),Pressure (psia)
data,4.0,0.7886
data,4.2,1.0215
data,4.4,1.2962
data,4.6,1.6168
data,4.8,1.9877
data,5.0,2.4129
data,5.2,2.8963
data,5.4,3.4417
data,5.6,4.0531
data,5.8,4.7339
data,6.0,5.4879
data,6.2,6.3186
data,6.4,7.2295
data,6.6,8.2243
data,6.8,9.3065
data,7.0,10.480
data,7.2,11.748
data,7.4,13.115
data,7.6,14.584
data,7.8,16.161
data,8.0,17.850
data,8.2,19.657
data,8.4,21.587
data,8.6,23.650
data,8.8,25.854
data,9.0,28.214
data,9.2,30.755
