,numeric,numeric
heading,Head (ft),Flow (GPM)
data,200,0
data,199,100
data,196,200
data,192,300
data,190,400
data,186,500
data,180,600
data,175,700
data,165,800
data,155,900
data,140,1000
data,125,1100
data,100,1200
