,numeric,numeric,numeric,numeric,numeric,
heading,Discharge (CFS),Discharge (GPM),V (ft/sec),V2/2g (feet),hf (feet / 100 feet of pipe),
data,0.0000446,0.02,0.113,0.000198,0.272,
data,0.0000891,0.04,0.226,0.000792,0.543,
data,0.000134,0.06,0.339,0.00178,0.815,
data,0.000178,0.08,0.452,0.00317,1.087,
data,0.000223,0.10,0.565,0.00495,1.359,
data,0.000267,0.12,0.677,0.00713,1.63,
data,0.000312,0.14,0.790,0.00971,1.902,
data,0.000356,0.16,0.903,0.0128,2.174,
data,0.000401,0.18,1.02,0.016,2.445,
data,0.000446,0.2,1.13,0.0198,2.717,
data,0.000668,0.3,1.69,0.0446,9.7,
data,0.000891,0.4,2.26,0.0792,16.2,
data,0.00111,0.5,2.82,0.124,24.2,
data,0.00134,0.6,3.39,0.178,33.8,
data,0.00156,0.7,3.95,0.243,44.8,
data,0.00178,0.8,4.52,0.317,57.4,
data,0.00201,0.9,5.08,0.401,71.6,
data,0.00223,1.0,5.65,0.495,87,
data,0.00267,1.2,6.77,0.713,122,
data,0.00312,1.4,7.90,0.971,164,
data,0.00356,1.6,9.03,1.28,212,
data,0.00401,1.8,10.2,1.6,265,
data,0.00446,2.0,11.3,1.98,324,
,,,,,,
