,numeric,numeric,numeric,numeric,,,,,,,
heading,Discharge (m3/h),V (m/sec),V2/2g (meters),hf (m / 100 m of pipe),,,,,,,
data,0.0114,0.0470,0.000112,0.203,,,,,,,
data,0.0227,0.0939,0.000450,0.405,,,,,,,
data,0.0341,0.141,0.00101,0.608,,,,,,,
data,0.0454,0.188,0.00180,0.81,,,,,,,
data,0.0568,0.235,0.00281,1.013,,,,,,,
data,0.0908,0.375,0.00719,3.7,,,,,,,
data,0.136,0.564,0.0162,7.6,,,,,,,
data,0.182,0.753,0.0288,12.7,,,,,,,
data,0.227,0.939,0.0450,19.1,,,,,,,
data,0.273,1.128,0.0649,26.7,,,,,,,
data,0.318,1.317,0.0884,35.3,,,,,,,
data,0.363,1.503,0.115,45.2,,,,,,,
data,0.409,1.692,0.146,56.4,,,,,,,
data,0.454,1.881,0.180,69,,,,,,,
data,0.568,2.350,0.281,105,,,,,,,
data,0.681,2.819,0.405,148,,,,,,,
data,0.795,3.289,0.552,200,,,,,,,
data,0.908,3.758,0.719,259,,,,,,,
data,1.0221,4.228,0.911,326,,,,,,,
data,1.136,4.700,1.125,398,,,,,,,
