,numeric,numeric,numeric,numeric
heading,Discharge (m3/h),V (m/sec),V2/2g (m),hf (m / 100 m of pipe)
data,0.227,0.113,0.00065,0.114
data,0.454,0.226,0.00261,0.379
data,0.681,0.340,0.00587,0.772
data,0.908,0.451,0.0105,1.295
data,1.136,0.567,0.0163,1.93
data,1.363,0.680,0.0235,2.68
data,1.590,0.792,0.0320,3.56
data,1.817,0.905,0.0418,4.54
data,2.044,1.018,0.0527,5.65
data,2.271,1.131,0.0652,6.86
data,2.725,1.356,0.0939,9.62
data,3.180,1.585,0.128,12.8
data,3.634,1.811,0.167,16.5
data,4.088,2.036,0.212,20.6
data,4.542,2.262,0.261,25.1
data,4.997,2.490,0.316,30.2
data,5.451,2.716,0.375,35.6
data,5.905,2.941,0.442,41.6
data,6.359,3.167,0.512,47.9
data,6.814,3.383,0.588,54.6
data,7.268,3.627,0.668,61.8
data,7.722,3.840,0.756,69.4
data,8.176,4.084,0.847,77.4
data,8.631,4.298,0.942,86
data,9.085,4.511,1.045,95
data,9.539,4.755,1.152,104.5
data,9.993,4.968,1.265,114
data,10.448,5.212,1.381,124
data,10.902,5.425,1.503,135
data,11.356,5.669,1.631,146
data,12.492,6.218,1.975,176
data,13.627,6.797,2.350,209
data,14.763,7.346,2.758,245
data,15.899,7.925,3.197,283
data,17.034,8.473,3.658,324
data,18.170,9.053,4.176,367
data,19.306,9.632,4.724,413
data,20.441,10.180,5.273,462
data,21.577,10.759,5.883,513
data,22.712,11.308,6.523,567
