,numeric,numeric,numeric,numeric
heading,Discharge (m3/h),V (m/sec),V2/2g (m),hf (m / 100 m of pipe)
data,0.681,0.061,0.000191,0.00393
data,0.908,0.082,0.000341,0.00649
data,1.363,0.123,0.000765,0.0132
data,1.817,0.163,0.00136,0.0217
data,2.271,0.204,0.00213,0.0320
data,2.725,0.245,0.00305,0.0442
data,3.180,0.286,0.00418,0.0582
data,3.634,0.326,0.00546,0.0741
data,4.088,0.369,0.00689,0.0914
data,4.542,0.408,0.00850,0.110
data,4.997,0.448,0.0103,0.131
data,5.451,0.491,0.0123,0.153
data,5.905,0.530,0.0144,0.177
data,6.359,0.573,0.0167,0.202
data,6.814,0.613,0.0191,0.230
data,7.949,0.716,0.0261,0.305
data,9.085,0.817,0.0341,0.390
data,10.221,0.920,0.0430,0.488
data,11.356,1.021,0.0530,0.591
data,12.492,1.125,0.0643,0.707
data,13.627,1.225,0.0765,0.829
data,14.763,1.329,0.0899,0.963
data,15.899,1.430,0.104,1.106
data,17.034,1.533,0.120,1.259
data,18.170,1.634,0.136,1.420
data,19.306,1.737,0.154,1.591
data,20.441,1.838,0.172,1.774
data,21.577,1.942,0.192,1.966
data,22.712,2.042,0.213,2.167
data,24.984,2.246,0.257,2.594
data,27.255,2.451,0.305,3.048
data,29.526,2.655,0.360,3.566
data,31.797,2.859,0.418,4.115
data,34.069,3.063,0.479,4.694
data,36.340,3.261,0.546,5.304
data,38.611,3.475,0.616,5.974
data,40.882,3.688,0.689,6.675
data,43.154,3.871,0.768,7.376
data,45.425,4.084,0.850,8.138
data,49.967,4.481,1.030,9.815
data,54.510,4.907,1.225,11.613
data,59.052,5.304,1.439,13.564
data,63.595,5.730,1.667,15.636
data,68.137,6.126,1.914,17.831
data,79.494,7.163,2.606,24.140
data,90.850,8.169,3.414,31.394
data,102.206,9.205,4.298,39.624
data,113.562,10.211,5.304,48.768
data,124.919,11.247,6.431,58.826
data,136.275,12.253,7.650,70.104
