,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,text,text,numeric
heading,ASME,Flange Class,Nominal Pipe Size (NPS),Outside Diameter Flange (O),Min Thickness Flange (T),Length Through Hub (Y),Diameter of Hub (X),Hub Diameter Top (A),Raised Face Diameter (R),Drilling-Daimeter Bolt Circle ,Drilling- # Bolt Holes,Drilling- Diameter Bolt Hole ,Diameter of Bolt,Length of Bolts- Stud Bolt Raised Face (.25 in)
tags,None,,,,,,,,,,,,,
data,16.47 Series A,400,26,38.25,3.50,7.62,28.62,26.00,29.50,34.50,28,1 7/8,1 3/4,12.00
data,16.47 Series A,400,28,40.75,3.75,8.12,30.81,28.00,31.50,37.00,28,2    ,1 7/8,13.00
data,16.47 Series A,400,30,43.00,4.00,8.62,32.94,30.00,33.75,39.25,28,2 1/8,2    ,13.50
data,16.47 Series A,400,32,45.25,4.25,9.12,35.00,32.00,36.00,41.50,28,2 1/8,2    ,14.00
data,16.47 Series A,400,34,47.50,4.38,9.50,37.19,34.00,38.00,43.50,28,2 1/8,2    ,14.50
data,16.47 Series A,400,36,50.00,4.50,9.88,39.38,36.00,40.25,46.00,32,2 1/8,2    ,14.50
data,16.47 Series A,400,38,47.50,4.88,8.12,39.50,38.00,40.75,44.00,32,1 7/8,1 3/4,15.00
data,16.47 Series A,400,40,50.00,5.12,8.50,41.50,40.00,43.00,46.25,32,2    ,1 7/8,15.50
data,16.47 Series A,400,42,52.00,5.25,8.81,43.62,42.00,45.00,48.25,32,2    ,1 7/8,16.00
data,16.47 Series A,400,44,54.50,5.50,9.18,45.62,44.00,47.25,50.50,32,2 1/8,2    ,16.50
data,16.47 Series A,400,46,56.75,5.75,9.62,47.75,46.00,49.50,52.75,36,2 1/8,2    ,17.00
data,16.47 Series A,400,48,59.50,6.00,10.12,49.88,48.00,51.50,55.25,28,2 3/8,2 1/4,18.00
data,16.47 Series A,400,50,61.75,6.19,10.56,52.00,50.00,53.62,57.50,32,2 3/8,2 1/4,18.50
data,16.47 Series A,400,52,63.75,6.38,10.88,54.00,52.00,55.62,59.50,32,2 3/8,2 1/4,19.00
data,16.47 Series A,400,54,67.00,6.69,11.38,56.12,54.00,57.88,62.25,28,2 5/8,2 1/2,20.00
data,16.47 Series A,400,56,69.00,6.88,11.75,58.25,56.00,60.12,64.25,32,2 5/8,2 1/2,20.50
data,16.47 Series A,400,58,71.00,7.00,12.06,60.25,58.00,62.12,66.25,32,2 5/8,2 1/2,20.75
data,16.47 Series A,400,60,74.25,7.31,12.56,62.38,60.00,64.38,69.00,32,2 7/8,2 3/4,21.75
data,16.47 Series A,600,26,40.00,4.25,8.75,29.44,26.00,29.50,36.00,28,2    ,1 7/8,14.00
data,16.47 Series A,600,28,42.25,4.38,9.25,31.62,28.00,31.50,38.00,28,2 1/8,2    ,14.50
data,16.47 Series A,600,30,44.50,4.50,9.75,33.94,30.00,33.75,40.25,28,2 3/8,2    ,14.50
data,16.47 Series A,600,32,47.00,4.62,10.25,36.12,32.00,36.00,42.50,28,2 3/8,2 1/4,15.25
data,16.47 Series A,600,34,49.00,4.75,10.62,38.31,34.00,38.00,44.50,28,2 5/8,2 1/4,15.50
data,16.47 Series A,600,36,51.75,4.88,11.12,40.62,36.00,40.25,47.00,28,2 3/8,2 1/2,16.50
data,16.47 Series A,600,38,50.00,6.00,10.00,40.25,38.00,41.50,45.75,28,2 3/8,2 1/4,18.25
data,16.47 Series A,600,40,52.00,6.25,10.38,42.25,40.00,43.75,47.75,32,2 5/8,2 1/4,18.75
data,16.47 Series A,600,42,55.25,6.62,11.00,44.38,42.00,46.00,50.50,28,2 5/8,2 1/2,20.00
data,16.47 Series A,600,44,57.25,6.81,11.38,46.50,44.00,48.25,52.50,32,2 5/8,2 1/2,20.25
data,16.47 Series A,600,46,59.50,7.06,11.81,48.62,46.00,50.25,54.75,32,2 7/8,2 1/2,20.75
data,16.47 Series A,600,48,62.75,7.44,12.44,50.75,48.00,52.50,57.50,32,3 1/8,2 3/4,22.00
data,16.47 Series A,600,50,65.75,7.75,12.94,52.88,50.00,54.50,60.00,28,3 1/8,3    ,23.25
data,16.47 Series A,600,52,67.75,8.00,13.25,54.88,52.00,56.50,62.00,32,3 1/8,3    ,23.75
data,16.47 Series A,600,54,70.00,8.25,13.75,57.00,54.00,58.75,64.25,32,3 1/8,3    ,2425.00
data,16.47 Series A,600,56,73.00,8.56,14.25,59.12,56.00,60.75,66.75,32,3 3/8,3 1/4,25.50
data,16.47 Series A,600,58,75.00,8.75,14.53,61.12,58.00,63.00,68.75,32,3 3/8,3 1/4,25.75
data,16.47 Series A,600,60,78.50,9.19,15.31,63.38,60.00,65.25,71.75,28,3 5/8,3 1/2,27.25
data,16.47 Series A,900,26,42.75,5.50,11.25,30.50,26.00,29.50,37.50,20,2 7/8,2 3/4,18.25
data,16.47 Series A,900,28,46.00,5.62,11.75,32.75,28.00,31.50,40.25,20,3 1/8,3    ,19.00
data,16.47 Series A,900,30,48.50,5.88,12.25,35.00,30.00,33.75,42.75,20,3 1/8,3    ,19.50
data,16.47 Series A,900,32,51.75,6.25,13.00,37.25,32.00,36.00,45.50,20,3 3/8,3 1/4,20.75
data,16.47 Series A,900,34,55.00,6.50,13.75,39.62,34.00,38.00,48.25,20,3 5/8,3 1/2,21.75
data,16.47 Series A,900,36,57.50,6.75,14.25,41.88,36.00,40.25,50.75,20,3 5/8,3 1/2,22.25
data,16.47 Series A,900,38,57.50,7.50,13.88,42.25,38.00,43.25,50.75,20,3 5/8,3 1/2,23.75
data,16.47 Series A,900,40,59.50,7.75,14.31,44.38,40.00,45.75,52.75,24,3 5/8,3 1/2,24.50
data,16.47 Series A,900,42,61.50,8.12,14.62,46.31,42.00,47.75,54.75,24,3 5/8,3 1/2,25.00
data,16.47 Series A,900,44,64.88,8.44,15.38,48.62,44.00,50.00,57.75,24,3 7/8,3 3/4,26.00
data,16.47 Series A,900,46,68.25,8.88,16.18,50.88,46.00,52.50,60.50,24,4 1/8,4    ,27.50
data,16.47 Series A,900,48,70.25,9.19,16.50,52.88,48.00,54.50,62.50,24,4 1/8,4    ,28.00
data,16.47 Series A,900,50,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series A,900,52,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series A,900,54,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series A,900,56,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series A,900,58,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series A,900,60,…,…,…,…,…,…,…,…,…,…,…
