,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,text,text,numeric
heading,ASME,Flange Class,Nominal Pipe Size (NPS),Outside Diameter Flange (O),Min Thickness Flange (T),Length Through Hub (Y),Diameter of Hub (X),Hub Diameter Top (A),Raised Face Diameter (R),Drilling-Daimeter Bolt Circle ,Drilling- # Bolt Holes,Drilling- Diameter Bolt Hole ,Diameter of Bolt,Length of Bolts- Stud Bolt Raised Face (6.44mm)
tags,None,,,,,,,,,,,,,
data,16.47 Series A,400,26,972,88.9,194,727,660.4,749,876.3,28,47 5/8,44 4/9,310
data,16.47 Series A,400,28,1035,95.2,206,783,711.2,800,939.8,28,50 4/5,47 5/8,330
data,16.47 Series A,400,30,1092,101.6,219,837,762,857,997,28,54,50 4/5,345
data,16.47 Series A,400,32,1149,108,232,339,812.8,914,1054.1,28,54,50 4/5,360
data,16.47 Series A,400,34,1206,111.3,241,945,863.6,965,1104.9,28,54,50 4/5,365
data,16.47 Series A,400,36,1270,114.3,251,1000,914.4,1022,1168.4,32,54,50 4/5,375
data,16.47 Series A,400,38,1206,124,206,1003,965.2,1035,1117.6,32,47 5/8,44 4/9,380
data,16.47 Series A,400,40,1270,130,216,1054,1016,1092,1174.8,32,50 4/5,47 5/8,405
data,16.47 Series A,400,42,1321,133.4,224,1108,1066.8,1143,1225.6,32,50 4/5,47 5/8,405
data,16.47 Series A,400,44,1384,139.7,233,1159,1117.6,1200,1282.7,32,54,50 4/5,425
data,16.47 Series A,400,46,1441,146,244,1213,1168.4,1257,1339.8,36,54,50 4/5,435
data,16.47 Series A,400,48,1511,152.4,257,1267,1219.2,1308,1403.4,28,60 1/3,57 1/7,460
data,16.47 Series A,400,50,1568,157.2,268,1321,1270,1362,1460.5,32,60 1/3,57 1/7,470
data,16.47 Series A,400,52,1619,162.1,276,1372,1320.8,1413,1511.3,32,60 1/3,57 1/7,480
data,16.47 Series A,400,54,1702,169.9,289,1425,1371.6,1470,1581.2,28,66 2/3,63 1/2,510
data,16.47 Series A,400,56,1753,174.8,298,1480,1422.4,1527,1632,32,66 2/3,63 1/2,520
data,16.47 Series A,400,58,1803,177.8,306,1530,1473.2,1578,1682.8,32,66 2/3,63 1/2,530
data,16.47 Series A,400,60,1886,185.7,319,1584,1524,1635,1752.6,32,73,69 6/7,560
data,16.47 Series A,600,26,1016,108,222,748,660.4,749,914.4,28,50 4/5,47 5/8,355
data,16.47 Series A,600,28,1073,111.3,235,803,711.2,800,965.2,28,54,50 4/5,365
data,16.47 Series A,600,30,1130,114.3,248,862,762,857,1022.4,28,60 1/3,50 4/5,375
data,16.47 Series A,600,32,1194,117.3,260,917,812.8,914,1079.5,28,60 1/3,57 1/7,390
data,16.47 Series A,600,34,1245,120.6,270,973,863.6,965,1130.3,28,66 2/3,57 1/7,400
data,16.47 Series A,600,36,1314,124,282,1032,914.4,1022,1193.8,28,60 1/3,63 1/2,415
data,16.47 Series A,600,38,1270,152.4,254,1022,965.2,1054,1162,28,60 1/3,57 1/7,465
data,16.47 Series A,600,40,1321,158.8,264,1073,1016,1111,1212.8,32,66 2/3,57 1/7,480
data,16.47 Series A,600,42,1403,168.1,279,1127,1066.8,1168,1282.7,28,66 2/3,63 1/2,510
