,numeric,numeric,numeric
heading,Flow Rate (m³/h),Velocity (m/sec) / Head (m),System Head (meters)
data,0,0,80.77
data,4.54,0.154,80.77
data,9.07,0.307,81.08
data,13.6,0.461,81.69
data,18.2,0.614,82.3
data,22.7,0.768,83.21
data,27.3,0.922,84.12
data,31.8,1.075,85.34
data,36.3,1.229,86.87
data,40.9,1.383,88.39
data,45.4,1.536,90.22
data,50,1.69,92.35
data,54.5,1.844,94.49
data,59,1.997,96.62
data,63.6,2.151,99.36
data,68.1,2.305,102.11
