,numeric,numeric
heading,Q (gpm),Total Head (feet)
data,0,213
data,200,206
data,400,198
data,600,190
data,800,183
data,1000,176
data,1200,168
data,1400,159
data,1600,147
data,1800,135
data,2000,117
data,2200,98
