Nominal Size,Nominal Size (DN),"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
2 1/2,65,2.875,,160,0.375,2.125,0.1771,0.02463,0.000847,0.00015
2 1/2,65,2.875,XXS,,0.552,1.771,0.1476,0.01711,0.001016,0.00015
3,80,3.5,,5,0.083,3.334,0.2778,0.06063,0.00054,0.00015
3,80,3.5,,,0.109,3.282,0.2735,0.05875,0.000548,0.00015
3,80,3.5,,10,0.12,3.26,0.2717,0.05796,0.000552,0.00015
3,80,3.5,,,0.125,3.25,0.2708,0.05761,0.000554,0.00015
3,80,3.5,,,0.141,3.218,0.2682,0.05648,0.000559,0.00015
3,80,3.5,,,0.156,3.188,0.2657,0.05543,0.000565,0.00015
3,80,3.5,,,0.172,3.156,0.263,0.05433,0.00057,0.00015
3,80,3.5,,30,0.188,3.124,0.2603,0.05323,0.000576,0.00015
3,80,3.5,STD,40,0.216,3.068,0.2557,0.05134,0.000587,0.00015
3,80,3.5,,,0.25,3,0.25,0.04909,0.0006,0.00015
3,80,3.5,,,0.281,2.938,0.2448,0.04708,0.000613,0.00015
3,80,3.5,XS,80,0.3,2.9,0.2417,0.04587,0.000621,0.00015
3,80,3.5,,160,0.438,2.624,0.2187,0.03755,0.000686,0.00015
3,80,3.5,XXS,,0.6,2.3,0.1917,0.02885,0.000783,0.00015
3 1/2,90,4,,5,0.083,3.834,0.3195,0.08017,0.000469,0.00015
3 1/2,90,4,,,0.109,3.782,0.3152,0.07801,0.000476,0.00015
3 1/2,90,4,,10,0.12,3.76,0.3133,0.07711,0.000479,0.00015
3 1/2,90,4,,,0.125,3.75,0.3125,0.0767,0.00048,0.00015
3 1/2,90,4,,,0.141,3.718,0.3098,0.0754,0.000484,0.00015
3 1/2,90,4,,,0.156,3.688,0.3073,0.07418,0.000488,0.00015
3 1/2,90,4,,,0.172,3.656,0.3047,0.0729,0.000492,0.00015
3 1/2,90,4,,30,0.188,3.624,0.302,0.07163,0.000497,0.00015
3 1/2,90,4,STD,40,0.226,3.548,0.2957,0.06866,0.000507,0.00015
3 1/2,90,4,,,0.25,3.5,0.2917,0.06681,0.000514,0.00015
3 1/2,90,4,,,0.281,3.438,0.2865,0.06447,0.000524,0.00015
3 1/2,90,4,XS,80,0.318,3.364,0.2803,0.06172,0.000535,0.00015
3 1/2,90,4,,80S,0.318,3.364,0.2803,0.06172,0.000535,0.00015
4,100,4.5,,5,0.083,4.334,0.3612,0.10245,0.000415,0.00015
4,100,4.5,,,0.109,4.282,0.3568,0.1,0.00042,0.00015
4,100,4.5,,10,0.12,4.26,0.355,0.09898,0.000423,0.00015
4,100,4.5,,,0.125,4.25,0.3542,0.09852,0.000424,0.00015
4,100,4.5,,,0.141,4.218,0.3515,0.09704,0.000427,0.00015
4,100,4.5,,,0.156,4.188,0.349,0.09566,0.00043,0.00015
4,100,4.5,,,0.172,4.156,0.3463,0.09421,0.000433,0.00015
4,100,4.5,,30,0.188,4.124,0.3437,0.09276,0.000436,0.00015
4,100,4.5,,,0.203,4.094,0.3412,0.09142,0.00044,0.00015
4,100,4.5,,,0.219,4.062,0.3385,0.08999,0.000443,0.00015
4,100,4.5,,40,0.237,4.026,0.3355,0.0884,0.000447,0.00015
4,100,4.5,,,0.25,4,0.3333,0.08727,0.00045,0.00015
4,100,4.5,,,0.281,3.938,0.3282,0.08458,0.000457,0.00015
4,100,4.5,,,0.312,3.876,0.323,0.08194,0.000464,0.00015
4,100,4.5,XS,80,0.337,3.826,0.3188,0.07984,0.00047,0.00015
4,100,4.5,,120,0.438,3.624,0.302,0.07163,0.000497,0.00015
4,100,4.5,,160,0.531,3.438,0.2865,0.06447,0.000524,0.00015
4,100,4.5,XXS,,0.674,3.152,0.2627,0.05419,0.000571,0.00015
5,125,5.563,,,0.083,5.397,0.4498,0.15887,0.000334,0.00015
5,125,5.563,,5,0.109,5.345,0.4454,0.15582,0.000337,0.00015
5,125,5.563,,,0.125,5.313,0.4428,0.15396,0.000339,0.00015
5,125,5.563,,10,0.134,5.295,0.4413,0.15292,0.00034,0.00015
5,125,5.563,,,0.156,5.251,0.4376,0.15039,0.000343,0.00015
5,125,5.563,,,0.188,5.187,0.4323,0.14674,0.000347,0.00015
5,125,5.563,,,0.219,5.125,0.4271,0.14326,0.000351,0.00015
5,125,5.563,STD,40,0.258,5.047,0.4206,0.13893,0.000357,0.00015
5,125,5.563,,,0.281,5.001,0.4168,0.13641,0.00036,0.00015
5,125,5.563,,,0.312,4.939,0.4116,0.13305,0.000364,0.00015
5,125,5.563,,,0.344,4.875,0.4063,0.12962,0.000369,0.00015
5,125,5.563,XS,80,0.375,4.813,0.4011,0.12635,0.000374,0.00015
5,125,5.563,,120,0.5,4.563,0.3803,0.11356,0.000394,0.00015
5,125,5.563,,160,0.625,4.313,0.3594,0.10146,0.000417,0.00015
5,125,5.563,XXS,,0.75,4.063,0.3386,0.09004,0.000443,0.00015
6,150,6.625,,,0.083,6.459,0.5383,0.22754,0.000279,0.00015
6,150,6.625,,5,0.109,6.407,0.5339,0.22389,0.000281,0.00015
6,150,6.625,,,0.125,6.375,0.5313,0.22166,0.000282,0.00015
6,150,6.625,,10,0.134,6.357,0.5298,0.22041,0.000283,0.00015
6,150,6.625,,,0.141,6.343,0.5286,0.21944,0.000284,0.00015
6,150,6.625,,,0.156,6.313,0.5261,0.21737,0.000285,0.00015
6,150,6.625,,,0.172,6.281,0.5234,0.21517,0.000287,0.00015
6,150,6.625,,,0.188,6.249,0.5208,0.21298,0.000288,0.00015
6,150,6.625,,,0.203,6.219,0.5183,0.21094,0.000289,0.00015
6,150,6.625,,,0.219,6.187,0.5156,0.20878,0.000291,0.00015
6,150,6.625,,,0.25,6.125,0.5104,0.20462,0.000294,0.00015
6,150,6.625,STD,40,0.28,6.065,0.5054,0.20063,0.000297,0.00015
6,150,6.625,,,0.312,6.001,0.5001,0.19641,0.0003,0.00015
6,150,6.625,,,0.344,5.937,0.4948,0.19225,0.000303,0.00015
6,150,6.625,,,0.375,5.875,0.4896,0.18825,0.000306,0.00015
6,150,6.625,XS,80,0.432,5.761,0.4801,0.18102,0.000312,0.00015
6,150,6.625,,,0.5,5.625,0.4688,0.17257,0.00032,0.00015
6,150,6.625,,120,0.562,5.501,0.4584,0.16505,0.000327,0.00015
6,150,6.625,,,0.625,5.375,0.4479,0.15757,0.000335,0.00015
6,150,6.625,,160,0.719,5.187,0.4323,0.14674,0.000347,0.00015
6,150,6.625,,,0.75,5.125,0.4271,0.14326,0.000351,0.00015
6,150,6.625,XXS,,0.864,4.897,0.4081,0.13079,0.000368,0.00015
6,150,6.625,,,0.875,4.875,0.4063,0.12962,0.000369,0.00015
8,200,8.625,,5,0.109,8.407,0.7006,0.38549,0.000214,0.00015
8,200,8.625,,,0.125,8.375,0.6979,0.38256,0.000215,0.00015
8,200,8.625,,10,0.148,8.329,0.6941,0.37837,0.000216,0.00015
8,200,8.625,,,0.156,8.313,0.6928,0.37691,0.000217,0.00015
8,200,8.625,,,0.188,8.249,0.6874,0.37113,0.000218,0.00015
8,200,8.625,,,0.203,8.219,0.6849,0.36844,0.000219,0.00015
8,200,8.625,,,0.219,8.187,0.6823,0.36558,0.00022,0.00015
8,200,8.625,,20,0.25,8.125,0.6771,0.36006,0.000222,0.00015
8,200,8.625,,,0.277,8.071,0.6726,0.35529,0.000223,0.00015
8,200,8.625,,,0.312,8.001,0.6668,0.34915,0.000225,0.00015
8,200,8.625,STD,40,0.322,7.981,0.6651,0.34741,0.000226,0.00015
8,200,8.625,,,0.344,7.937,0.6614,0.34359,0.000227,0.00015
8,200,8.625,,,0.375,7.875,0.6563,0.33824,0.000229,0.00015
8,200,8.625,,60,0.406,7.813,0.6511,0.33294,0.00023,0.00015
8,200,8.625,,,0.438,7.749,0.6458,0.32751,0.000232,0.00015
8,200,8.625,XS,80,0.5,7.625,0.6354,0.31711,0.000236,0.00015
8,200,8.625,,,0.562,7.501,0.6251,0.30688,0.00024,0.00015
8,200,8.625,,100,0.594,7.437,0.6198,0.30166,0.000242,0.00015
8,200,8.625,,,0.625,7.375,0.6146,0.29665,0.000244,0.00015
8,200,8.625,,120,0.719,7.187,0.5989,0.28172,0.00025,0.00015
8,200,8.625,,,0.75,7.125,0.5938,0.27688,0.000253,0.00015
8,200,8.625,,140,0.812,7.001,0.5834,0.26733,0.000257,0.00015
8,200,8.625,XXS,,0.875,6.875,0.5729,0.25779,0.000262,0.00015
8,200,8.625,,160,0.906,6.813,0.5678,0.25317,0.000264,0.00015
8,200,8.625,,,1,6.625,0.5521,0.23939,0.000272,0.00015
10,250,10.75,,5,0.134,10.482,0.8735,0.59926,0.000172,0.00015
10,250,10.75,,,0.156,10.438,0.8698,0.59424,0.000172,0.00015
10,250,10.75,,10,0.165,10.42,0.8683,0.59219,0.000173,0.00015
