Nominal Size,Nominal Size (DN),"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
20,500,20,,,1.125,17.75,1.4792,1.7184,0.000101,0.00015
20,500,20,,,1.188,17.624,1.4687,1.69409,0.000102,0.00015
20,500,20,,,1.25,17.5,1.4583,1.67033,0.000103,0.00015
20,500,20,,100,1.281,17.438,1.4532,1.65852,0.000103,0.00015
20,500,20,,,1.312,17.376,1.448,1.64675,0.000104,0.00015
20,500,20,,,1.375,17.25,1.4375,1.62295,0.000104,0.00015
20,500,20,,120,1.5,17,1.4167,1.57625,0.000106,0.00015
20,500,20,,140,1.75,16.5,1.375,1.48489,0.000109,0.00015
20,500,20,,160,1.969,16.062,1.3385,1.40711,0.000112,0.00015
22,550,22,,5,0.188,21.624,1.802,2.55035,0.000083,0.00015
22,550,22,,,0.219,21.562,1.7968,2.53574,0.000083,0.00015
22,550,22,,10,0.25,21.5,1.7917,2.52118,0.000084,0.00015
22,550,22,,,0.281,21.438,1.7865,2.50666,0.000084,0.00015
22,550,22,,,0.312,21.376,1.7813,2.49218,0.000084,0.00015
22,550,22,,,0.344,21.312,1.776,2.47728,0.000084,0.00015
22,550,22,STD,20,0.375,21.25,1.7708,2.46289,0.000085,0.00015
22,550,22,,,0.406,21.188,1.7657,2.44854,0.000085,0.00015
22,550,22,,,0.438,21.124,1.7603,2.43377,0.000085,0.00015
22,550,22,,,0.469,21.062,1.7552,2.41951,0.000085,0.00015
22,550,22,XS,30,0.5,21,1.75,2.40528,0.000086,0.00015
22,550,22,,,0.562,20.876,1.7397,2.37696,0.000086,0.00015
22,550,22,,,0.625,20.75,1.7292,2.34835,0.000087,0.00015
22,550,22,,,0.688,20.624,1.7187,2.31992,0.000087,0.00015
22,550,22,,,0.75,20.5,1.7083,2.29211,0.000088,0.00015
22,550,22,,,0.812,20.376,1.698,2.26446,0.000088,0.00015
22,550,22,,60,0.875,20.25,1.6875,2.23654,0.000089,0.00015
22,550,22,,,0.938,20.124,1.677,2.2088,0.000089,0.00015
22,550,22,,,1,20,1.6667,2.18166,0.00009,0.00015
22,550,22,,,1.062,19.876,1.6563,2.15469,0.000091,0.00015
22,550,22,,80,1.125,19.75,1.6458,2.12746,0.000091,0.00015
22,550,22,,,1.188,19.624,1.6353,2.1004,0.000092,0.00015
22,550,22,,,1.25,19.5,1.625,2.07394,0.000092,0.00015
22,550,22,,,1.312,19.376,1.6147,2.04765,0.000093,0.00015
22,550,22,,100,1.375,19.25,1.6042,2.0211,0.000094,0.00015
22,550,22,,,1.438,19.124,1.5937,1.99473,0.000094,0.00015
22,550,22,,,1.5,19,1.5833,1.96895,0.000095,0.00015
22,550,22,,120,1.625,18.75,1.5625,1.91748,0.000096,0.00015
22,550,22,,140,1.875,18.25,1.5208,1.81657,0.000099,0.00015
22,550,22,,160,2.125,17.75,1.4792,1.7184,0.000101,0.00015
24,600,24,,5,0.218,23.564,1.9637,3.02848,0.000076,0.00015
24,600,24,,10,0.25,23.5,1.9583,3.01206,0.000077,0.00015
24,600,24,,,0.281,23.438,1.9532,2.99618,0.000077,0.00015
24,600,24,,,0.312,23.376,1.948,2.98035,0.000077,0.00015
24,600,24,,,0.344,23.312,1.9427,2.96406,0.000077,0.00015
24,600,24,STD,20,0.375,23.25,1.9375,2.94831,0.000077,0.00015
24,600,24,,,0.406,23.188,1.9323,2.93261,0.000078,0.00015
24,600,24,,,0.438,23.124,1.927,2.91644,0.000078,0.00015
24,600,24,,,0.469,23.062,1.9218,2.90082,0.000078,0.00015
24,600,24,XS,,0.5,23,1.9167,2.88525,0.000078,0.00015
24,600,24,,30,0.562,22.876,1.9063,2.85422,0.000079,0.00015
24,600,24,,,0.625,22.75,1.8958,2.82287,0.000079,0.00015
24,600,24,,40,0.688,22.624,1.8853,2.79168,0.00008,0.00015
24,600,24,,,0.75,22.5,1.875,2.76117,0.00008,0.00015
24,600,24,,,0.812,22.376,1.8647,2.73082,0.00008,0.00015
24,600,24,,,0.875,22.25,1.8542,2.70015,0.000081,0.00015
24,600,24,,,0.938,22.124,1.8437,2.66965,0.000081,0.00015
24,600,24,,60,0.969,22.062,1.8385,2.65471,0.000082,0.00015
24,600,24,,,1,22,1.8333,2.63981,0.000082,0.00015
24,600,24,,,1.062,21.876,1.823,2.61014,0.000082,0.00015
24,600,24,,,1.125,21.75,1.8125,2.58016,0.000083,0.00015
24,600,24,,,1.188,21.624,1.802,2.55035,0.000083,0.00015
24,600,24,,80,1.219,21.562,1.7968,2.53574,0.000083,0.00015
24,600,24,,,1.25,21.5,1.7917,2.52118,0.000084,0.00015
24,600,24,,,1.312,21.376,1.7813,2.49218,0.000084,0.00015
24,600,24,,,1.375,21.25,1.7708,2.46289,0.000085,0.00015
24,600,24,,,1.438,21.124,1.7603,2.43377,0.000085,0.00015
24,600,24,,,1.5,21,1.75,2.40528,0.000086,0.00015
24,600,24,,100,1.531,20.938,1.7448,2.3911,0.000086,0.00015
24,600,24,,,1.562,20.876,1.7397,2.37696,0.000086,0.00015
24,600,24,,120,1.812,20.376,1.698,2.26446,0.000088,0.00015
24,600,24,,140,2.062,19.876,1.6563,2.15469,0.000091,0.00015
24,600,24,,160,2.344,19.312,1.6093,2.03414,0.000093,0.00015
26,650,26,,,0.25,25.5,2.125,3.54656,0.000071,0.00015
26,650,26,,,0.281,25.438,2.1198,3.52934,0.000071,0.00015
26,650,26,,10,0.312,25.376,2.1147,3.51216,0.000071,0.00015
26,650,26,,,0.344,25.312,2.1093,3.49446,0.000071,0.00015
26,650,26,STD,,0.375,25.25,2.1042,3.47736,0.000071,0.00015
26,650,26,,,0.406,25.188,2.099,3.46031,0.000071,0.00015
26,650,26,,,0.438,25.124,2.0937,3.44275,0.000072,0.00015
26,650,26,,,0.469,25.062,2.0885,3.42578,0.000072,0.00015
26,650,26,XS,20,0.5,25,2.0833,3.40885,0.000072,0.00015
26,650,26,,,0.562,24.876,2.073,3.37511,0.000072,0.00015
26,650,26,,,0.625,24.75,2.0625,3.341010156,0.000073,0.00015
26,650,26,,,0.688,24.624,2.052,3.30708,0.000073,0.00015
26,650,26,,,0.75,24.5,2.0417,3.27386,0.000073,0.00015
26,650,26,,,0.812,24.376,2.0313,3.2408,0.000074,0.00015
26,650,26,,,0.875,24.25,2.0208,3.20738,0.000074,0.00015
26,650,26,,,0.938,24.124,2.0103,3.17414,0.000075,0.00015
26,650,26,,,1,24,2,3.14159,0.000075,0.00015
28,700,28,,,0.25,27.5,2.2917,4.1247,0.000065,0.00015
28,700,28,,,0.281,27.438,2.2865,4.10613,0.000066,0.00015
28,700,28,,10,0.312,27.376,2.2813,4.08759,0.000066,0.00015
28,700,28,,,0.344,27.312,2.276,4.0685,0.000066,0.00015
28,700,28,STD,,0.375,27.25,2.2708,4.05005,0.000066,0.00015
28,700,28,,,0.406,27.188,2.2657,4.03164,0.000066,0.00015
28,700,28,,,0.438,27.124,2.2603,4.01268,0.000066,0.00015
28,700,28,,,0.469,27.062,2.2552,3.99436,0.000067,0.00015
28,700,28,XS,20,0.5,27,2.25,3.97608,0.000067,0.00015
28,700,28,,,0.562,26.876,2.2397,3.93964,0.000067,0.00015
28,700,28,,30,0.625,26.75,2.2292,3.90279,0.000067,0.00015
28,700,28,,,0.688,26.624,2.2187,3.86611,0.000068,0.00015
28,700,28,,,0.75,26.5,2.2083,3.83018,0.000068,0.00015
28,700,28,,,0.812,26.376,2.198,3.79442,0.000068,0.00015
28,700,28,,,0.875,26.25,2.1875,3.75825,0.000069,0.00015
28,700,28,,,0.938,26.124,2.177,3.72226,0.000069,0.00015
28,700,28,,,1,26,2.1667,3.68701,0.000069,0.00015
30,750,30,,5,0.25,29.5,2.4583,4.74648,0.000061,0.00015
30,750,30,,,0.281,29.438,2.4532,4.72655,0.000061,0.00015
30,750,30,,10,0.312,29.376,2.448,4.70666,0.000061,0.00015
30,750,30,,,0.344,29.312,2.4427,4.68617,0.000061,0.00015
30,750,30,STD,,0.375,29.25,2.4375,4.66637,0.000062,0.00015
30,750,30,,,0.406,29.188,2.4323,4.64661,0.000062,0.00015
30,750,30,,,0.438,29.124,2.427,4.62625,0.000062,0.00015
30,750,30,,,0.469,29.062,2.4218,4.60658,0.000062,0.00015
30,750,30,XS,20,0.5,29,2.4167,4.58694,0.000062,0.00015
30,750,30,,,0.562,28.876,2.4063,4.5478,0.000062,0.00015
30,750,30,,30,0.625,28.75,2.3958,4.5082,0.000063,0.00015
30,750,30,,,0.688,28.624,2.3853,4.46877,0.000063,0.00015
30,750,30,,,0.75,28.5,2.375,4.43014,0.000063,0.00015
30,750,30,,,0.812,28.376,2.3647,4.39167,0.000063,0.00015
30,750,30,,,0.875,28.25,2.3542,4.35276,0.000064,0.00015
30,750,30,,,0.938,28.124,2.3437,4.31401,0.000064,0.00015
30,750,30,,,1,28,2.3333,4.27606,0.000064,0.00015
30,750,30,,,1.062,27.876,2.323,4.23827,0.000065,0.00015
30,750,30,,,1.125,27.75,2.3125,4.20004,0.000065,0.00015
30,750,30,,,1.188,27.624,2.302,4.16199,0.000065,0.00015
30,750,30,,,1.25,27.5,2.2917,4.1247,0.000065,0.00015
32,800,32,,,0.25,31.5,2.625,5.41188,0.000057,0.00015
32,800,32,,,0.281,31.438,2.6198,5.3906,0.000057,0.00015
32,800,32,,10,0.312,31.376,2.6147,5.36936,0.000057,0.00015
32,800,32,,,0.344,31.312,2.6093,5.34748,0.000057,0.00015
32,800,32,STD,,0.375,31.25,2.6042,5.32632,0.000058,0.00015
32,800,32,,,0.406,31.188,2.599,5.30521,0.000058,0.00015
32,800,32,,,0.438,31.124,2.5937,5.28346,0.000058,0.00015
32,800,32,,,0.469,31.062,2.5885,5.26243,0.000058,0.00015
32,800,32,XS,20,0.5,31,2.5833,5.24144,0.000058,0.00015
32,800,32,,,0.562,30.876,2.573,5.19959,0.000058,0.00015
32,800,32,,30,0.625,30.75,2.5625,5.15724,0.000059,0.00015
32,800,32,,40,0.688,30.624,2.552,5.11507,0.000059,0.00015
32,800,32,,,0.75,30.5,2.5417,5.07373,0.000059,0.00015
32,800,32,,,0.812,30.376,2.5313,5.03256,0.000059,0.00015
32,800,32,,,0.875,30.25,2.5208,4.99089,0.00006,0.00015
32,800,32,,,0.938,30.124,2.5103,4.9494,0.00006,0.00015
32,800,32,,,1,30,2.5,4.90874,0.00006,0.00015
32,800,32,,,1.062,29.876,2.4897,4.86824,0.00006,0.00015
32,800,32,,,1.125,29.75,2.4792,4.82727,0.000061,0.00015
32,800,32,,,1.188,29.624,2.4687,4.78646,0.000061,0.00015
32,800,32,,,1.25,29.5,2.4583,4.74648,0.000061,0.00015
34,850,34,,,0.25,33.5,2.7917,6.12092,0.000054,0.00015
34,850,34,,,0.281,33.438,2.7865,6.09829,0.000054,0.00015
34,850,34,,10,0.312,33.376,2.7813,6.07569,0.000054,0.00015
34,850,34,,,0.344,33.312,2.776,6.05242,0.000054,0.00015
34,850,34,STD,,0.375,33.25,2.7708,6.02991,0.000054,0.00015
34,850,34,,,0.406,33.188,2.7657,6.00744,0.000054,0.00015
34,850,34,,,0.438,33.124,2.7603,5.98429,0.000054,0.00015
34,850,34,,,0.469,33.062,2.7552,5.96191,0.000054,0.00015
34,850,34,XS,20,0.5,33,2.75,5.93957,0.000055,0.00015
34,850,34,,,0.562,32.876,2.7397,5.89502,0.000055,0.00015
34,850,34,,30,0.625,32.75,2.7292,5.84992,0.000055,0.00015
34,850,34,,40,0.688,32.624,2.7187,5.80499,0.000055,0.00015
34,850,34,,,0.75,32.5,2.7083,5.76095,0.000055,0.00015
34,850,34,,,0.812,32.376,2.698,5.71707,0.000056,0.00015
34,850,34,,,0.875,32.25,2.6875,5.67266,0.000056,0.00015
34,850,34,,,0.938,32.124,2.677,5.62842,0.000056,0.00015
34,850,34,,,1,32,2.6667,5.58505,0.000056,0.00015
34,850,34,,,1.062,31.876,2.6563,5.54185,0.000056,0.00015
34,850,34,,,1.125,31.75,2.6458,5.49813,0.000057,0.00015
34,850,34,,,1.188,31.624,2.6353,5.45458,0.000057,0.00015
34,850,34,,,1.25,31.5,2.625,5.41188,0.000057,0.00015
36,900,36,,,0.25,35.5,2.9583,6.8736,0.000051,0.00015
36,900,36,,,0.281,35.438,2.9532,6.84961,0.000051,0.00015
36,900,36,,10,0.312,35.376,2.948,6.82566,0.000051,0.00015
36,900,36,,,0.344,35.312,2.9427,6.80099,0.000051,0.00015
36,900,36,STD,,0.375,35.25,2.9375,6.77713,0.000051,0.00015
36,900,36,,,0.406,35.188,2.9323,6.75331,0.000051,0.00015
36,900,36,,,0.438,35.124,2.927,6.72876,0.000051,0.00015
36,900,36,,,0.469,35.062,2.9218,6.70503,0.000051,0.00015
36,900,36,XS,20,0.5,35,2.9167,6.68134,0.000051,0.00015
36,900,36,,,0.562,34.876,2.9063,6.63408,0.000052,0.00015
36,900,36,,30,0.625,34.75,2.8958,6.58623,0.000052,0.00015
36,900,36,,,0.688,34.624,2.8853,6.53856,0.000052,0.00015
36,900,36,,40,0.75,34.5,2.875,6.49181,0.000052,0.00015
36,900,36,,,0.812,34.376,2.8647,6.44522,0.000052,0.00015
36,900,36,,,0.875,34.25,2.8542,6.39806,0.000053,0.00015
36,900,36,,,0.938,34.124,2.8437,6.35108,0.000053,0.00015
36,900,36,,,1,34,2.8333,6.305,0.000053,0.00015
