Nominal Size,DN,Nominal Outside dia [in],"Standard
X-Strong
XX-Strong",Pipe Schedule,"Wall Thickness
in. Nom",Internal Diameter in. Nom,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)"
10,250,10.75,,5,0.134,10.482,0.8735,0.59926,0.00229,0.002
10,250,10.75,,10,0.165,10.42,0.8683,0.59219,0.002303,0.002
10,250,10.75,,20,0.25,10.25,0.8542,0.57303,0.002341,0.002
10,250,10.75,,30,0.307,10.136,0.8447,0.56035,0.002368,0.002
10,250,10.75,STD,40,0.365,10.02,0.835,0.5476,0.002395,0.002
10,250,10.75,XS,60,0.5,9.75,0.8125,0.51849,0.002462,0.002
10,250,10.75,,80,0.594,9.562,0.7968,0.49868,0.00251,0.002
10,250,10.75,,100,0.719,9.312,0.776,0.47295,0.002577,0.002
12,300,12.75,,5,0.156,12.438,1.0365,0.84378,0.00193,0.002
12,300,12.75,,10,0.18,12.39,1.0325,0.83728,0.001937,0.002
12,300,12.75,,20,0.25,12.25,1.0208,0.81846,0.001959,0.002
12,300,12.75,,30,0.33,12.09,1.0075,0.79722,0.001985,0.002
12,300,12.75,,40,0.406,11.938,0.994833333,0.777303348,0.002010387,0.002
12,300,12.75,,60,0.562,11.626,0.968833333,0.737204583,0.002064339,0.002
12,300,12.75,,80,0.688,11.374,0.947833333,0.705592307,0.002110076,0.002
