Nominal Size,Nominal Size (DN),"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
 1/4,8,0.54,XXS,,0.238,0.064,0.0053,0.0000223,0.028125,0.00015
 3/8,10,0.675,XXS,,0.252,0.171,0.0143,0.0001595,0.010526,0.00015
