Nominal Size,Nominal Size (DN),"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
 1/4,8,0.54,,160,0.145,0.25,0.0208,0.0003409,0.0072,0.00015
 3/8,10,0.675,,160,0.158,0.359,0.0299,0.0007029,0.005014,0.00015
