Nominal Size,Nominal Outside dia [in],Average Outside Diameter Tolerance in.,"Wall Thickness
in. Nom",Wall Thickness Tolerance +/-,Internal Diameter in. Nom,Internal Area Square Inches,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)","t/D, Ratio of Nominal Wall Thickness to Nominal Outside Diameter","Diameter Roundness Tolerances, percent of outside diameter (Expressed to the nearest 0.001 in. Neareast 0.01 mm.","Diameter Roundness Tolerances, (Expressed to the nearest 0.001 in. Nearest 0.01 mm.)","Plain-End Weight
lb/ft Nom",Form,Type
0.375,0.5,0.0025,0.035,0.004,0.430,0.14522012,0.035833333,0.001008473,0.055813953,0.002000,0.07,0.008,0.004,0.198,Annealed,L
0.5,0.625,0.0025,0.040,0.004,0.545,0.233282889,0.045416667,0.00162002,0.044036697,0.002000,0.064,0.008,0.005,0.285,Annealed,L
0.625,0.75,0.0025,0.042,0.004,0.666,0.348368068,0.0555,0.002419223,0.036036036,0.002000,0.056,0.008,0.006,0.362,Annealed,L
0.75,0.875,0.003,0.045,0.004,0.785,0.483981983,0.065416667,0.003360986,0.030573248,0.002000,0.051428571,0.008,0.007,0.455,Annealed,L
1,1.125,0.0035,0.050,0.005,1.025,0.825158945,0.085416667,0.00573027,0.023414634,0.002000,0.044444444,0.01,0.01125,0.655,Annealed,L
1.25,1.375,0.004,0.050,0.006,1.275,1.276762889,0.10625,0.008866409,0.018823529,0.002000,0.036363636,0.01,0.01375,0.884,Annealed,L
1.5,1.625,0.0045,0.060,0.006,1.505,1.778946475,0.125416667,0.012353795,0.015946844,0.002000,0.036923077,0.01,0.01625,1.14,Annealed,L
2,2.125,0.005,0.070,0.007,1.985,3.094645478,0.165416667,0.021490594,0.01209068,0.002000,0.032941176,0.01,0.02125,1.75,Annealed,L
2.5,2.625,0.005,0.080,0.008,2.465,4.772255955,0.205416667,0.033140666,0.009736308,0.002000,0.03047619,0.01,0.02625,2.48,Annealed,L
3,3.125,0.005,0.090,0.009,2.945,6.811777906,0.245416667,0.047304013,0.008149406,0.002000,0.0288,0.015,0.046875,3.33,Annealed,L
3.5,6.625,0.005,0.100,0.01,6.425,32.42172706,0.535416667,0.225150882,0.003735409,0.002000,0.01509434,0.015,0.099375,4.29,Annealed,L
4,4.125,0.005,0.110,0.011,3.905,11.97655623,0.325416667,0.083170529,0.006145967,0.002000,0.026666667,0.015,0.061875,5.38,Annealed,L
5,5.125,0.005,0.125,0.012,4.875,18.66547823,0.40625,0.129621377,0.004923077,0.002000,0.024390244,0.015,0.076875,7.61,Annealed,L
6,6.125,0.005,0.140,0.014,5.845,26.83236249,0.487083333,0.186335851,0.004106074,0.002000,0.022857143,0.015,0.091875,10.2,Annealed,L
8,8.125,0.006,0.200,0.02,7.725,46.86912627,0.64375,0.325480044,0.003106796,0.002000,0.024615385,0.015,0.121875,19.3,Annealed,L
10,10.125,0.008,0.250,0.025,9.625,72.75977673,0.802083333,0.505276227,0.002493506,0.002000,0.024691358,0.015,0.151875,30.1,Annealed,L
12,12.125,0.008,0.280,0.028,11.565,105.0463957,0.96375,0.729488859,0.002075227,0.002000,0.023092784,0.015,0.181875,40.4,Annealed,L
0.25,0.375,0.001,0.030,0.003,0.315,0.077931133,0.02625,0.000541188,0.076190476,0.002000,0.08,0.008,0.003,0.126,Drawn,L
0.375,0.5,0.001,0.035,0.004,0.430,0.14522012,0.035833333,0.001008473,0.055813953,0.002000,0.07,0.008,0.004,0.198,Drawn,L
0.5,0.625,0.001,0.040,0.004,0.545,0.233282889,0.045416667,0.00162002,0.044036697,0.002000,0.064,0.008,0.005,0.285,Drawn,L
0.625,0.75,0.001,0.042,0.004,0.666,0.348368068,0.0555,0.002419223,0.036036036,0.002000,0.056,0.008,0.006,0.362,Drawn,L
0.75,0.875,0.001,0.045,0.004,0.785,0.483981983,0.065416667,0.003360986,0.030573248,0.002000,0.051428571,0.008,0.007,0.455,Drawn,L
1,1.125,0.0015,0.050,0.005,1.025,0.825158945,0.085416667,0.00573027,0.023414634,0.002000,0.044444444,0.01,0.01125,0.655,Drawn,L
1.25,1.375,0.0015,0.055,0.006,1.265,1.256813776,0.105416667,0.008727873,0.018972332,0.002000,0.04,0.01,0.01375,0.884,Drawn,L
1.5,1.625,0.002,0.060,0.006,1.505,1.778946475,0.125416667,0.012353795,0.015946844,0.002000,0.036923077,0.01,0.01625,1.14,Drawn,L
2,2.125,0.002,0.070,0.007,1.985,3.094645478,0.165416667,0.021490594,0.01209068,0.002000,0.032941176,0.01,0.02125,1.75,Drawn,L
2.5,2.625,0.002,0.080,0.008,2.465,4.772255955,0.205416667,0.033140666,0.009736308,0.002000,0.03047619,0.01,0.02625,2.48,Drawn,L
3,3.125,0.002,0.090,0.009,2.945,6.811777906,0.245416667,0.047304013,0.008149406,0.002000,0.0288,0.015,0.046875,3.33,Drawn,L
3.5,6.625,0.002,0.100,0.01,6.425,32.42172706,0.535416667,0.225150882,0.003735409,0.002000,0.01509434,0.015,0.099375,4.29,Drawn,L
4,4.125,0.002,0.110,0.011,3.905,11.97655623,0.325416667,0.083170529,0.006145967,0.002000,0.026666667,0.015,0.061875,5.38,Drawn,L
5,5.125,0.002,0.125,0.012,4.875,18.66547823,0.40625,0.129621377,0.004923077,0.002000,0.024390244,0.015,0.076875,7.61,Drawn,L
6,6.125,0.002,0.140,0.014,5.845,26.83236249,0.487083333,0.186335851,0.004106074,0.002000,0.022857143,0.015,0.091875,10.2,Drawn,L
8,8.125,+0.002 / -0.004,0.200,0.02,7.725,46.86912627,0.64375,0.325480044,0.003106796,0.002000,0.024615385,0.015,0.121875,19.3,Drawn,L
10,10.125,+0.002 / -0.006,0.250,0.025,9.625,72.75977673,0.802083333,0.505276227,0.002493506,0.002000,0.024691358,0.015,0.151875,30.1,Drawn,L
12,12.125,+0.002 / -0.006,0.280,0.028,11.565,105.0463957,0.96375,0.729488859,0.002075227,0.002000,0.023092784,0.015,0.181875,40.4,Drawn,L
0.375,0.5,0.0025,0.025,0.002,0.450,0.159043128,0.0375,0.001104466,0.053333333,0.002000,0.05,0.01,0.005,0.145,Annealed,M
0.5,0.625,0.0025,0.028,0.002,0.569,0.254281295,0.047416667,0.001765842,0.042179262,0.002000,0.0448,0.01,0.00625,0.204,Annealed,M
0.75,0.875,0.003,0.032,0.003,0.811,0.516572865,0.067583333,0.003587312,0.029593095,0.002000,0.036571429,0.01,0.00875,0.328,Annealed,M
1,1.125,0.0035,0.035,0.004,1.055,0.874167791,0.087916667,0.00607061,0.022748815,0.002000,0.031111111,0.01,0.01125,0.465,Annealed,M
1.25,1.375,0.004,0.042,0.004,1.291,1.309008196,0.107583333,0.009090335,0.01859024,0.002000,0.030545455,0.01,0.01375,0.682,Annealed,M
1.5,1.625,0.0045,0.049,0.005,1.527,1.831335674,0.12725,0.012717609,0.015717092,0.002000,0.030153846,0.01,0.01625,0.94,Annealed,M
2,2.125,0.005,0.058,0.006,2.009,3.169930605,0.167416667,0.022013407,0.011946242,0.002000,0.027294118,0.015,0.031875,1.46,Annealed,M
2.5,2.625,0.005,0.065,0.006,2.495,4.889123202,0.207916667,0.033952244,0.009619238,0.002000,0.024761905,0.015,0.039375,2.03,Annealed,M
3,3.125,0.005,0.072,0.007,2.981,6.979331609,0.248416667,0.048467581,0.00805099,0.002000,0.02304,0.015,0.046875,2.68,Annealed,M
3.5,6.625,0.005,0.083,0.008,6.459,32.76577544,0.53825,0.227540107,0.003715745,0.002000,0.012528302,0.015,0.099375,3.58,Annealed,M
4,4.125,0.005,0.095,0.01,3.935,12.16128188,0.327916667,0.084453346,0.006099111,0.002000,0.023030303,0.015,0.061875,4.66,Annealed,M
5,5.125,0.005,0.109,0.011,4.907,18.9113267,0.408916667,0.131328658,0.004890972,0.002000,0.021268293,0.015,0.076875,6.66,Annealed,M
6,6.125,0.005,0.122,0.012,5.881,27.16390733,0.490083333,0.188638245,0.004080939,0.002000,0.019918367,0.015,0.091875,8.92,Annealed,M
8,8.125,0.006,0.17,0.017,7.785,47.60001781,0.64875,0.330555679,0.003082852,0.002000,0.020923077,0.015,0.121875,16.5,Annealed,M
10,10.125,0.008,0.212,0.021,9.701,73.9133507,0.808416667,0.513287158,0.002473972,0.002000,0.020938272,0.015,0.151875,25.6,Annealed,M
12,12.125,0.008,0.254,0.025,11.617,105.9931649,0.968083333,0.736063645,0.002065938,0.002000,0.020948454,0.015,0.181875,36.7,Annealed,M
0.25,0.375,0.001,c,c,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.002000,#VALUE!,#VALUE!,#VALUE!,c,Drawn,M
0.375,0.5,0.001,0.025,0.002,0.450,0.159043128,0.0375,0.001104466,0.053333333,0.002000,0.05,0.01,0.005,0.145,Drawn,M
0.5,0.625,0.001,0.028,0.003,0.569,0.254281295,0.047416667,0.001765842,0.042179262,0.002000,0.0448,0.01,0.00625,0.204,Drawn,M
