Nominal Size,"Outside Diameter, inches","Wall Thickness, inches",Pressure Class,"Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
1,1.315,0.095,Special 2,1.125,0.09375,0.0069029,5.33333E-05,0.000005
1,1.315,0.126,Regular,1.063,0.088583333,0.0061630,5.6444E-05,0.000005
1,1.315,0.182,Extra Strong,0.951,0.07925,0.0049327,6.30915E-05,0.000005
1,1.315,0.203,Special 3,0.909,0.07575,0.0045067,6.60066E-05,0.000005
1,1.315,0.34,Special 4,0.635,0.052916667,0.0021993,9.44882E-05,0.000005
1.125,1.66,0.072,Special 1,1.516,0.126333333,0.0125350,3.95778E-05,0.000005
1.125,1.66,0.095,Special 2,1.470,0.1225,0.0117859,4.08163E-05,0.000005
1.125,1.66,0.12,Special 3,1.420,0.118333333,0.0109978,4.22535E-05,0.000005
1.125,1.66,0.146,Regular,1.368,0.114,0.0102070,4.38596E-05,0.000005
1.125,1.66,0.194,Extra Strong,1.272,0.106,0.0088247,4.71698E-05,0.000005
1.125,1.66,0.22,Special 4,1.220,0.101666667,0.0081180,4.91803E-05,0.000005
1.125,1.66,0.38,Special 5,0.900,0.075,0.0044179,6.66667E-05,0.000005
1.5,1.9,0.072,Special 1,1.756,0.146333333,0.0168181,3.41686E-05,0.000005
1.5,1.9,0.109,Special 2,1.682,0.140166667,0.0154305,3.56718E-05,0.000005
1.5,1.9,0.134,Special 3,1.632,0.136,0.0145267,3.67647E-05,0.000005
1.5,1.9,0.15,Regular,1.600,0.133333333,0.0139626,0.0000375,0.000005
1.5,1.9,0.203,Extra Strong,1.494,0.1245,0.0121739,4.01606E-05,0.000005
1.5,1.9,0.25,Special 4,1.400,0.116666667,0.0106901,4.28571E-05,0.000005
1.5,1.9,0.425,Special 5,1.050,0.0875,0.0060132,5.71429E-05,0.000005
2,2.375,0.083,Special 1,2.209,0.184083333,0.0266145,2.71616E-05,0.000005
2,2.375,0.12,Special 2,2.135,0.177916667,0.0248613,2.8103E-05,0.000005
2,2.375,0.156,Regular,2.063,0.171916667,0.0232127,2.90839E-05,0.000005
2,2.375,0.165,Special 3,2.045,0.170416667,0.0228094,2.93399E-05,0.000005
2,2.375,0.221,Extra Strong,1.933,0.161083333,0.0203794,3.10398E-05,0.000005
2,2.375,0.34,Special 4,1.695,0.14125,0.0156699,3.53982E-05,0.000005
2,2.375,0.52,Special 5,1.335,0.11125,0.0097205,4.49438E-05,0.000005
2.5,2.875,0.083,Special 1,2.709,0.22575,0.0400263,2.21484E-05,0.000005
2.5,2.875,0.134,Special 2,2.607,0.21725,0.0370689,2.3015E-05,0.000005
2.5,2.875,0.187,Regular,2.501,0.208416667,0.0341157,2.39904E-05,0.000005
2.5,2.875,0.203,Special 3,2.469,0.20575,0.0332483,2.43013E-05,0.000005
2.5,2.875,0.28,Extra Strong,2.315,0.192916667,0.0292300,2.59179E-05,0.000005
2.5,2.875,0.38,Special 4,2.115,0.17625,0.0243977,2.83688E-05,0.000005
3,3.5,0.095,Special 1,3.310,0.275833333,0.0597563,1.81269E-05,0.000005
3,3.5,0.165,Special 2,3.170,0.264166667,0.0548082,1.89274E-05,0.000005
3,3.5,0.219,Regular,3.062,0.255166667,0.0511373,1.9595E-05,0.000005
3,3.5,0.25,Special 3,3.000,0.25,0.0490874,0.00002,0.000005
3,3.5,0.304,Extra Strong,2.892,0.241,0.0456167,2.07469E-05,0.000005
3,3.5,0.458,Special 4,2.584,0.215333333,0.0364177,2.32198E-05,0.000005
3.5,4,0.095,Special 1,3.810,0.3175,0.0791730,1.5748E-05,0.000005
3.5,4,0.18,Special 2,3.640,0.303333333,0.0722654,1.64835E-05,0.000005
3.5,4,0.25,Regular,3.500,0.291666667,0.0668134,1.71429E-05,0.000005
3.5,4,0.284,Special 3,3.432,0.286,0.0642424,1.74825E-05,0.000005
3.5,4,0.321,Extra Strong,3.358,0.279833333,0.0615019,1.78678E-05,0.000005
4,4.5,0.109,Special 1,4.282,0.356833333,0.1000048,1.40121E-05,0.000005
4,4.5,0.203,Special 2,4.094,0.341166667,0.0914162,1.46556E-05,0.000005
4,4.5,0.25,Regular,4.000,0.333333333,0.0872665,0.000015,0.000005
4,4.5,0.34,Special 3,3.820,0.318333333,0.0795892,1.57068E-05,0.000005
4,4.5,0.341,Extra Strong,3.818,0.318166667,0.0795059,1.5715E-05,0.000005
5,5.562,0.125,Special 1,5.312,0.442666667,0.1539017,1.12952E-05,0.000005
5,5.562,0.22,Special 2,5.122,0.426833333,0.1430891,1.17142E-05,0.000005
5,5.562,0.25,Regular,5.062,0.421833333,0.1397564,1.1853E-05,0.000005
5,5.562,0.375,Extra Strong,4.812,0.401,0.1262928,1.24688E-05,0.000005
5,5.562,0.425,Special 3,4.712,0.392666667,0.1210983,1.27334E-05,0.000005
6,6.625,0.134,Special 1,6.357,0.52975,0.2204103,9.43841E-06,0.000005
6,6.625,0.25,Regular,6.125,0.510416667,0.2046160,9.79592E-06,0.000005
6,6.625,0.259,Special 2,6.107,0.508916667,0.2034151,9.82479E-06,0.000005
6,6.625,0.437,Extra Strong,5.751,0.47925,0.1803907,1.0433E-05,0.000005
6,6.625,0.457,Special 3,5.711,0.475916667,0.1778901,1.0506E-05,0.000005
