,numeric,numeric,string,numeric
header,Outside Diameter (mm),Plain-End Weight (kg/m),Grade,Wall Thickness (mm)
data,88.9,9.91,J,7.34
data,101.6,11.34,J,7.26
data,114.3,13.04,J,7.370
data,127.0,17.93,J,9.19
data,139.7,19.81,J,9.17
data,168.3,27.65,J,10.59
