,numeric,numeric,string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,,
heading,Nominal Size,Nominal Outside Dia. (in),API Std.,"Standard
X-Strong
XXS",Pipe Schedule,"Nom. Wall Thickness
(in)",Nom. Internal Diameter (in),Internal Area (in²),Internal Diameter (ft),Internal Area (ft²),e (ft) (Roughness),"e/D
",,
data,3.000,3.500,5L,,,0.25,3.0000,7.06900,0.25000,0.04900,0.000150,0.000600,,
data,3.000,3.500,5L,,,0.281,2.9380,6.77900,0.24500,0.04700,0.000150,0.000613,,
data,3.000,3.500,5L,XS,80,0.3,2.9000,6.60500,0.24200,0.04600,0.000150,0.000621,,
data,3.000,3.500,,,160,0.438,2.6240,5.40800,0.21900,0.03800,0.000150,0.000686,,
data,3.000,3.500,5L,XXS,,0.6,2.3000,4.15500,0.19200,0.02900,0.000150,0.000783,,
data,3.500,4.000,5L,,5S,0.083,3.8340,11.54500,0.32000,0.08000,0.000150,0.000469,,
data,3.500,4.000,,,10S,0.12,3.7600,11.10400,0.31300,0.07700,0.000150,0.000479,,
data,3.500,4.000,5L,,,0.125,3.7500,11.04500,0.31300,0.07700,0.000150,0.000480,,
data,3.500,4.000,5L,,,0.156,3.6880,10.68200,0.30700,0.07400,0.000150,0.000488,,
data,3.500,4.000,5L,,,0.188,3.6240,10.31500,0.30200,0.07200,0.000150,0.000497,,
data,3.500,4.000,5L,STD,40,0.226,3.5480,9.88700,0.29600,0.06900,0.000150,0.000507,,
data,3.500,4.000,5L,,,0.25,3.5000,9.62100,0.29200,0.06700,0.000150,0.000514,,
data,3.500,4.000,5L,,,0.281,3.4380,9.28300,0.28700,0.06400,0.000150,0.000524,,
data,3.500,4.000,5L,XS,80,0.318,3.3640,8.88800,0.28000,0.06200,0.000150,0.000535,,
data,4.000,4.500,5L,,5S,0.083,4.3340,14.75300,0.36100,0.10200,0.000150,0.000415,,
data,4.000,4.500,,,10S,0.12,4.2600,14.25300,0.35500,0.09900,0.000150,0.000423,,
data,4.000,4.500,5L,,,0.125,4.2500,14.18600,0.35400,0.09900,0.000150,0.000424,,
data,4.000,4.500,5L,,,0.156,4.1880,13.77500,0.34900,0.09600,0.000150,0.000430,,
data,4.000,4.500,5L,,,0.188,4.1240,13.35800,0.34400,0.09300,0.000150,0.000436,,
data,4.000,4.500,5L,,,0.219,4.0620,12.95900,0.33900,0.09000,0.000150,0.000443,,
data,4.000,4.500,5L,,40,0.237,4.0260,12.73000,0.33600,0.08800,0.000150,0.000447,,
data,4.000,4.500,5L,,,0.25,4.0000,12.56600,0.33300,0.08700,0.000150,0.000450,,
data,4.000,4.500,5L,,,0.281,3.9380,12.18000,0.32800,0.08500,0.000150,0.000457,,
data,4.000,4.500,5L,,,0.312,3.8760,11.79900,0.32300,0.08200,0.000150,0.000464,,
data,4.000,4.500,5L,XS,80,0.337,3.8260,11.49700,0.31900,0.08000,0.000150,0.000470,,
data,4.000,4.500,5L,,120,0.438,3.6240,10.31500,0.30200,0.07200,0.000150,0.000497,,
data,4.000,4.500,5L,,160,0.531,3.4380,9.28300,0.28700,0.06400,0.000150,0.000524,,
data,4.000,4.500,5L,XXS,,0.674,3.1520,7.80300,0.26300,0.05400,0.000150,0.000571,,
data,5.000,5.563,,,5S,0.109,5.3450,22.43800,0.44500,0.15600,0.000150,0.000337,,
data,5.000,5.563,,,10S,0.134,5.2950,22.02000,0.44100,0.15300,0.000150,0.000340,,
data,5.000,5.563,5L,,,0.156,5.2510,21.65600,0.43800,0.15000,0.000150,0.000343,,
data,5.000,5.563,5L,,,0.188,5.1870,21.13100,0.43200,0.14700,0.000150,0.000347,,
data,5.000,5.563,5L,,,0.219,5.1250,20.62900,0.42700,0.14300,0.000150,0.000351,,
data,5.000,5.563,5L,STD,40,0.258,5.0470,20.00600,0.42100,0.13900,0.000150,0.000357,,
data,5.000,5.563,5L,,,0.281,5.0010,19.64300,0.41700,0.13600,0.000150,0.000360,,
data,5.000,5.563,5L,,,0.312,4.9390,19.15900,0.41200,0.13300,0.000150,0.000364,,
data,5.000,5.563,5L,,,0.344,4.8750,18.66500,0.40600,0.13000,0.000150,0.000369,,
data,5.000,5.563,5L,XS,80,0.375,4.8130,18.19400,0.40100,0.12600,0.000150,0.000374,,
data,5.000,5.563,5L,,120,0.5,4.5630,16.35300,0.38000,0.11400,0.000150,0.000394,,
data,5.000,5.563,5L,,160,0.625,4.3130,14.61000,0.35900,0.10100,0.000150,0.000417,,
data,5.000,5.563,5L,XXS,,0.75,4.0630,12.96500,0.33900,0.09000,0.000150,0.000443,,
data,6.000,6.625,5L,,5S,0.109,6.4070,32.24000,0.53400,0.22400,0.000150,0.000281,,
data,6.000,6.625,,,10S,0.134,6.3570,31.73900,0.53000,0.22000,0.000150,0.000283,,
data,6.000,6.625,5L,,,0.188,6.2490,30.67000,0.52100,0.21300,0.000150,0.000288,,
data,6.000,6.625,5L,,,0.219,6.1870,30.06400,0.51600,0.20900,0.000150,0.000291,,
data,6.000,6.625,5L,,,0.25,6.1250,29.46500,0.51000,0.20500,0.000150,0.000294,,
data,6.000,6.625,5L,STD,40,0.28,6.0650,28.89000,0.50500,0.20100,0.000150,0.000297,,
data,6.000,6.625,5L,,,0.312,6.0010,28.28400,0.50000,0.19600,0.000150,0.000300,,
data,6.000,6.625,5L,,,0.344,5.9370,27.68400,0.49500,0.19200,0.000150,0.000303,,
data,6.000,6.625,5L,,,0.375,5.8750,27.10900,0.49000,0.18800,0.000150,0.000306,,
data,6.000,6.625,5L,XS,80,0.432,5.7610,26.06700,0.48000,0.18100,0.000150,0.000312,,
data,6.000,6.625,5L,,120,0.562,5.5010,23.76700,0.45800,0.16500,0.000150,0.000327,,
data,6.000,6.625,5L,,160,0.719,5.1870,21.13100,0.43200,0.14700,0.000150,0.000347,,
data,6.000,6.625,5L,XXS,,0.864,4.8970,18.83400,0.40800,0.13100,0.000150,0.000368,,
data,8.000,8.625,,,5S,0.109,8.4070,55.51000,0.70100,0.38500,0.000150,0.000214,,
data,8.000,8.625,,,10S,0.148,8.3290,54.48500,0.69400,0.37800,0.000150,0.000216,,
data,8.000,8.625,5L,,,0.188,8.2490,53.44300,0.68700,0.37100,0.000150,0.000218,,
data,8.000,8.625,,,,0.203,8.2190,53.05500,0.68500,0.36800,0.000150,0.000219,,
data,8.000,8.625,5L,,,0.219,8.1870,52.64300,0.68200,0.36600,0.000150,0.000220,,
data,8.000,8.625,5L,,20,0.25,8.1250,51.84900,0.67700,0.36000,0.000150,0.000222,,
data,8.000,8.625,5L,,30,0.277,8.0710,51.16200,0.67300,0.35500,0.000150,0.000223,,
data,8.000,8.625,5L,,,0.312,8.0010,50.27800,0.66700,0.34900,0.000150,0.000225,,
data,8.000,8.625,5L,STD,40,0.322,7.9810,50.02700,0.66500,0.34700,0.000150,0.000226,,
data,8.000,8.625,5L,,,0.344,7.9370,49.47700,0.66100,0.34400,0.000150,0.000227,,
data,8.000,8.625,5L,,,0.375,7.8750,48.70700,0.65600,0.33800,0.000150,0.000229,,
data,8.000,8.625,5L,,60,0.406,7.8130,47.94300,0.65100,0.33300,0.000150,0.000230,,
data,8.000,8.625,5L,,,0.438,7.7490,47.16100,0.64600,0.32800,0.000150,0.000232,,
data,8.000,8.625,5L,XS,80,0.5,7.6250,45.66400,0.63500,0.31700,0.000150,0.000236,,
data,8.000,8.625,5L,,100,0.594,7.4370,43.44000,0.62000,0.30200,0.000150,0.000242,,
data,8.000,8.625,5L,,120,0.719,7.1870,40.56800,0.59900,0.28200,0.000150,0.000250,,
data,8.000,8.625,5L,,140,0.812,7.0010,38.49600,0.58300,0.26700,0.000150,0.000257,,
data,8.000,8.625,5L,XXS,,0.875,6.8750,37.12200,0.57300,0.25800,0.000150,0.000262,,
data,8.000,8.625,,,160,0.906,6.8130,36.45600,0.56800,0.25300,0.000150,0.000264,,
data,10.000,10.750,,,5S,0.134,10.4820,86.29400,0.87400,0.59900,0.000150,0.000172,,
data,10.000,10.750,,,10S,0.165,10.4200,85.27600,0.86800,0.59200,0.000150,0.000173,,
data,10.000,10.750,5L,,,0.188,10.3740,84.52400,0.86500,0.58700,0.000150,0.000174,,
data,10.000,10.750,5L,,,0.203,10.3440,84.03600,0.86200,0.58400,0.000150,0.000174,,
data,10.000,10.750,5L,,,0.219,10.3120,83.51700,0.85900,0.58000,0.000150,0.000175,,
data,10.000,10.750,5L,,20,0.25,10.2500,82.51600,0.85400,0.57300,0.000150,0.000176,,
data,10.000,10.750,5L,,,0.279,10.1920,81.58500,0.84900,0.56700,0.000150,0.000177,,
data,10.000,10.750,5L,,30,0.307,10.1360,80.69100,0.84500,0.56000,0.000150,0.000178,,
data,10.000,10.750,5L,,,0.344,10.0620,79.51700,0.83900,0.55200,0.000150,0.000179,,
data,10.000,10.750,5L,STD,40,0.365,10.0200,78.85400,0.83500,0.54800,0.000150,0.000180,,
data,10.000,10.750,5L,,,0.438,9.8740,76.57300,0.82300,0.53200,0.000150,0.000182,,
data,10.000,10.750,5L,XS,60,0.5,9.7500,74.66200,0.81300,0.51800,0.000150,0.000185,,
data,10.000,10.750,,,80S*,0.5,9.7500,74.66200,0.81300,0.51800,0.000150,0.000185,,
data,10.000,10.750,,,80,0.594,9.5620,71.81000,0.79700,0.49900,0.000150,0.000188,,
data,10.000,10.750,5L,,100,0.719,9.3120,68.10500,0.77600,0.47300,0.000150,0.000193,,
data,10.000,10.750,,,120,0.844,9.0620,64.49700,0.75500,0.44800,0.000150,0.000199,,
data,10.000,10.750,5L,XXS,140,1,8.7500,60.13200,0.72900,0.41800,0.000150,0.000206,,
data,10.000,10.750,,,160,1.125,8.5000,56.74500,0.70800,0.39400,0.000150,0.000212,,
data,12.000,12.750,,,5S,0.156,12.4380,121.50400,1.03700,0.84400,0.000150,0.000145,,
data,12.000,12.750,,,10S,0.18,12.3900,120.56800,1.03300,0.83700,0.000150,0.000145,,
data,12.000,12.750,,,,0.203,12.3440,119.67500,1.02900,0.83100,0.000150,0.000146,,
data,12.000,12.750,5L,,,0.219,12.3120,119.05500,1.02600,0.82700,0.000150,0.000146,,
data,12.000,12.750,5L,,20,0.25,12.2500,117.85900,1.02100,0.81800,0.000150,0.000147,,
data,12.000,12.750,5L,,,0.281,12.1880,116.66900,1.01600,0.81000,0.000150,0.000148,,
data,12.000,12.750,5L,,,0.312,12.1260,115.48500,1.01100,0.80200,0.000150,0.000148,,
data,12.000,12.750,5L,,30,0.33,12.0900,114.80000,1.00800,0.79700,0.000150,0.000149,,
data,12.000,12.750,5L,,,0.344,12.0620,114.26900,1.00500,0.79400,0.000150,0.000149,,
data,12.000,12.750,5L,STD,,0.375,12.0000,113.09700,1.00000,0.78500,0.000150,0.000150,,
data,12.000,12.750,,,40S,0.375,12.0000,113.09700,1.00000,0.78500,0.000150,0.000150,,
data,12.000,12.750,5L,,40,0.406,11.9380,111.93200,0.99500,0.77700,0.000150,0.000158,,
data,12.000,12.750,5L,,,0.438,11.8740,110.73500,0.99000,0.76900,0.000150,0.000152,,
data,12.000,12.750,5L,XS,,0.5,11.7500,108.43400,0.97900,0.75300,0.000150,0.000153,,
data,12.000,12.750,,,80S*,0.5,11.7500,108.43400,0.97900,0.75300,0.000150,0.000153,,
data,12.000,12.750,5L,,60,0.562,11.6260,106.15700,0.96900,0.73700,0.000150,0.000155,,
data,12.000,12.750,5L,,80,0.688,11.3740,101.60500,0.94800,0.70600,0.000150,0.000158,,
data,12.000,12.750,,,100,0.844,11.0620,96.10700,0.92200,0.66700,0.000150,0.000163,,
data,12.000,12.750,5L,XXS,120,1,10.7500,90.76300,0.89600,0.63000,0.000150,0.000167,,
