,numeric,numeric,string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,,
heading,Nominal Size,Nominal Outside Dia. (in),API Std.,"Standard
X-Strong
XXS",Pipe Schedule,"Nom. Wall Thickness
(in)",Nom. Internal Diameter (in),Internal Area (in²),Internal Diameter (ft),Internal Area (ft²),e (ft) (Roughness),"e/D
",,
data,22.000,22.000,5L,,,0.469,21.0620,348.40900,1.75500,2.42000,0.000150,0.000085,,
data,22.000,22.000,5L,XS,30,0.5,21.0000,346.36100,1.75000,2.40500,0.000150,0.000086,,
data,22.000,22.000,5L,,,0.625,20.7500,338.16300,1.72900,2.34800,0.000150,0.000087,,
data,22.000,22.000,5L,,60,0.875,20.2500,322.06200,1.68800,2.23700,0.000150,0.000089,,
data,22.000,22.000,5L,,80,1.125,19.7500,306.35400,1.64600,2.12700,0.000150,0.000091,,
data,22.000,22.000,5L,,100,1.375,19.2500,291.03900,1.60400,2.02100,0.000150,0.000094,,
data,22.000,22.000,,,120,1.625,18.7500,276.11700,1.56300,1.91700,0.000150,0.000096,,
data,22.000,22.000,,,140,1.875,18.2500,261.58700,1.52100,1.81700,0.000150,0.000099,,
data,22.000,22.000,,,160,2.125,17.7500,247.45000,1.47900,1.71800,0.000150,0.000101,,
data,24.000,24.000,,,5S,0.218,23.5640,436.10200,1.96400,3.02800,0.000150,0.000076,,
data,24.000,24.000,5L 5LX,,10,0.25,23.5000,433.73600,1.95800,3.01200,0.000150,0.000077,,
data,24.000,24.000,5L 5LX,,,0.281,23.4380,431.45100,1.95300,2.99600,0.000150,0.000077,,
data,24.000,24.000,5L 5LX,,,0.312,23.3760,429.17100,1.94800,2.98000,0.000150,0.000077,,
data,24.000,24.000,5L 5LX,,,0.344,23.3120,426.82400,1.94300,2.96400,0.000150,0.000077,,
data,24.000,24.000,5L 5LX,STD,20,0.375,23.2500,424.55700,1.93800,2.94800,0.000150,0.000077,,
data,24.000,24.000,5LX,,,0.406,23.1880,422.29600,1.93200,2.93300,0.000150,0.000078,,
data,24.000,24.000,5L 5LX,,,0.438,23.1240,419.96800,1.92700,2.91600,0.000150,0.000078,,
data,24.000,24.000,5LX,,,0.469,23.0620,417.71900,1.92200,2.90100,0.000150,0.000078,,
data,24.000,24.000,5L 5LX,XS,,0.5,23.0000,415.47600,1.91700,2.88500,0.000150,0.000078,,
data,24.000,24.000,5L 5LX,,30,0.562,22.8760,411.00800,1.90600,2.85400,0.000150,0.000079,,
data,24.000,24.000,5L 5LX,,40,0.688,22.6240,402.00200,1.88500,2.79200,0.000150,0.000080,,
data,24.000,24.000,,,60,0.969,22.0620,382.27800,1.83900,2.65500,0.000150,0.000082,,
data,24.000,24.000,,,80,1.219,21.5620,365.14700,1.79700,2.53600,0.000150,0.000083,,
data,24.000,24.000,,,100,1.531,20.9380,344.31800,1.74500,2.39100,0.000150,0.000086,,
data,24.000,24.000,,,120,1.812,20.3760,326.08300,1.69800,2.26400,0.000150,0.000088,,
data,24.000,24.000,,,140,2.062,19.8760,310.27600,1.65600,2.15500,0.000150,0.000091,,
data,24.000,24.000,,,160,2.344,19.3120,292.91700,1.60900,2.03400,0.000150,0.000093,,
data,26.000,26.000,5L 5LX,,,0.25,25.5000,510.70500,2.12500,3.54700,0.000150,0.000071,,
data,26.000,26.000,5L 5LX,,,0.281,25.4380,508.22500,2.12000,3.52900,0.000150,0.000071,,
data,26.000,26.000,5L 5LX,,10,0.312,25.3760,505.75000,2.11500,3.51200,0.000150,0.000071,,
data,26.000,26.000,5L 5LX,,,0.344,25.3120,503.20300,2.10900,3.49400,0.000150,0.000071,,
data,26.000,26.000,5L 5LX,STD,,0.375,25.2500,500.74000,2.10400,3.47700,0.000150,0.000071,,
data,26.000,26.000,5LX,,,0.406,25.1880,498.28400,2.09900,3.46000,0.000150,0.000071,,
data,26.000,26.000,5L 5LX,,,0.438,25.1240,495.75500,2.09400,3.44300,0.000150,0.000072,,
data,26.000,26.000,5LX,,,0.469,25.0620,493.31200,2.08900,3.42600,0.000150,0.000072,,
data,26.000,26.000,5L 5LX,XS,20,0.5,25.0000,490.87400,2.08300,3.40900,0.000150,0.000072,,
data,26.000,26.000,5L 5LX,,,0.625,24.7500,481.10500,2.06300,3.34100,0.000150,0.000073,,
data,28.000,28.000,5L 5LX,,,0.25,27.5000,593.95700,2.29200,4.12500,0.000150,0.000065,,
data,28.000,28.000,5L 5LX,,,0.281,27.4380,591.28200,2.28700,4.10600,0.000150,0.000066,,
data,28.000,28.000,5L 5LX,,10,0.312,27.3760,588.61300,2.28100,4.08800,0.000150,0.000066,,
data,28.000,28.000,5LX,,,0.344,27.3120,585.86400,2.27600,4.06900,0.000150,0.000066,,
data,28.000,28.000,5L 5LX,STD,,0.375,27.2500,583.20700,2.27100,4.05000,0.000150,0.000066,,
data,28.000,28.000,5LX,,,0.406,27.1880,580.55600,2.26600,4.03200,0.000150,0.000066,,
data,28.000,28.000,5L 5LX,,,0.438,27.1240,577.82600,2.26000,4.01300,0.000150,0.000066,,
data,28.000,28.000,5LX,,,0.469,27.0620,575.18800,2.25500,3.99400,0.000150,0.000067,,
data,28.000,28.000,5L 5LX,XS,20,0.5,27.0000,572.55500,2.25000,3.97600,0.000150,0.000067,,
data,28.000,28.000,5L 5LX,,30,0.625,26.7500,562.00100,2.22900,3.90300,0.000150,0.000067,,
data,30.000,30.000,5L 5LX,,5S,0.25,29.5000,683.49300,2.45800,4.74600,0.000150,0.000061,,
data,30.000,30.000,5L 5LX,,,0.281,29.4380,680.62300,2.45300,4.72700,0.000150,0.000061,,
data,30.000,30.000,5L 5LX,,10,0.312,29.3760,677.75900,2.44800,4.70700,0.000150,0.000061,,
data,30.000,30.000,5LX,,,0.344,29.3120,674.80900,2.44300,4.68600,0.000150,0.000061,,
data,30.000,30.000,5L 5LX,STD,,0.375,29.2500,671.95700,2.43800,4.66600,0.000150,0.000062,,
data,30.000,30.000,5LX,,,0.406,29.1880,669.11200,2.43200,4.64700,0.000150,0.000062,,
data,30.000,30.000,5L 5LX,,,0.438,29.1240,666.18100,2.42700,4.62600,0.000150,0.000062,,
data,30.000,30.000,5LX,,,0.469,29.0620,663.34700,2.42200,4.60700,0.000150,0.000062,,
data,30.000,30.000,5L 5LX,XS,20,0.5,29.0000,660.52000,2.41700,4.58700,0.000150,0.000062,,
data,30.000,30.000,5L 5LX,,30,0.625,28.7500,649.18100,2.39600,4.50800,0.000150,0.000063,,
data,32.000,32.000,5L 5LX,,5S,0.25,31.5000,779.31100,2.62500,5.41200,0.000150,0.000057,,
data,32.000,32.000,5L 5LX,,,0.281,31.4380,776.24700,2.62000,5.39100,0.000150,0.000057,,
data,32.000,32.000,5L 5LX,,10,0.312,31.3760,773.18800,2.61500,5.36900,0.000150,0.000057,,
data,32.000,32.000,5LX,,,0.344,31.3120,770.03700,2.60900,5.34700,0.000150,0.000057,,
data,32.000,32.000,5L 5LX,STD,,0.375,31.2500,766.99000,2.60400,5.32600,0.000150,0.000058,,
data,32.000,32.000,5LX,,,0.406,31.1880,763.95000,2.59900,5.30500,0.000150,0.000058,,
data,32.000,32.000,5L 5LX,,,0.438,31.1240,760.81800,2.59400,5.28300,0.000150,0.000058,,
data,32.000,32.000,5LX,,,0.469,31.0620,757.79000,2.58900,5.26200,0.000150,0.000058,,
data,32.000,32.000,5L 5LX,,20,0.5,31.0000,754.76800,2.58300,5.24100,0.000150,0.000058,,
data,32.000,32.000,5L 5LX,,30,0.625,30.7500,742.64300,2.56300,5.15700,0.000150,0.000059,,
data,32.000,32.000,5L 5LX,,40,0.688,30.6240,736.56900,2.55200,5.11500,0.000150,0.000059,,
data,34.000,34.000,5L 5LX,,,0.25,33.5000,881.41300,2.79200,6.12100,0.000150,0.000054,,
data,34.000,34.000,5L 5LX,,,0.281,33.4380,878.15400,2.78700,6.09800,0.000150,0.000054,,
data,34.000,34.000,5L 5LX,,10,0.312,33.3760,874.90000,2.78100,6.07600,0.000150,0.000054,,
data,34.000,34.000,5LX,,,0.344,33.3120,871.54800,2.77600,6.05200,0.000150,0.000054,,
data,34.000,34.000,5L 5LX,STD,,0.375,33.2500,868.30700,2.77100,6.03000,0.000150,0.000054,,
data,34.000,34.000,5LX,,,0.406,33.1880,865.07200,2.76600,6.00700,0.000150,0.000054,,
data,34.000,34.000,5L 5LX,,,0.438,33.1240,861.73800,2.76000,5.98400,0.000150,0.000054,,
data,34.000,34.000,5LX,,,0.469,33.0620,858.51500,2.75500,5.96200,0.000150,0.000054,,
data,34.000,34.000,5L 5LX,XS,20,0.5,33.0000,855.29900,2.75000,5.94000,0.000150,0.000055,,
data,34.000,34.000,5L 5LX,,30,0.625,32.7500,842.38900,2.72900,5.85000,0.000150,0.000055,,
data,34.000,34.000,5L 5LX,,40,0.688,32.6240,835.91900,2.71900,5.80500,0.000150,0.000055,,
data,36.000,36.000,5L 5LX,,,0.25,35.5000,989.79800,2.95800,6.87400,0.000150,0.000051,,
data,36.000,36.000,5L 5LX,,,0.281,35.4380,986.34400,2.95300,6.85000,0.000150,0.000051,,
data,36.000,36.000,5L 5LX,,10,0.312,35.3760,982.89500,2.94800,6.82600,0.000150,0.000051,,
data,36.000,36.000,5LX,,,0.344,35.3120,979.34200,2.94300,6.80100,0.000150,0.000051,,
data,36.000,36.000,5L 5LX,STD,,0.375,35.2500,975.90600,2.93800,6.77700,0.000150,0.000051,,
data,36.000,36.000,5LX,,,0.406,35.1880,972.47600,2.93200,6.75300,0.000150,0.000051,,
data,36.000,36.000,5L 5LX,,,0.438,35.1240,968.94200,2.92700,6.72900,0.000150,0.000051,,
data,36.000,36.000,5LX,,,0.469,35.0620,965.52400,2.92200,6.70500,0.000150,0.000051,,
data,36.000,36.000,5L 5LX,XS,20,0.5,35.0000,962.11300,2.91700,6.68100,0.000150,0.000051,,
data,36.000,36.000,5L 5LX,,,0.562,34.8760,955.30800,2.90600,6.63400,0.000150,0.000052,,
data,36.000,36.000,5L 5LX,,30,0.625,34.7500,948.41700,2.89600,6.58600,0.000150,0.000052,,
data,36.000,36.000,5L 5LX,,40,0.75,34.5000,934.82000,2.87500,6.49200,0.000150,0.000052,,
