,numeric,numeric
heading,Nominal Size,Wall Thickness tolerance +/-
data,0 to 1/8,"0.003 (Inside), 0.0025 (Outside)"
data,>1/8 to 5/8,0.0025
data,>5/8 to 1,0.003
data,>1 to 2,0.004
data,>2 to 3,0.005
data,>3 to 4,0.006
data,>4 to 5,0.008
data,>5 to 6,0.009
data,>6 to 8,0.01
data,>8 to 10,0.013
