,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,string,string
heading,Nominal Size,Nominal Outside dia (in),Average Outside Diameter Tolerance (in),Nominal Wall Thickness (in),Nominal Internal Diameter (in),e (ft),"t/D, Ratio of Nominal Wall Thickness to Nominal Outside Diameter","Diameter Roundness Tolerances, percent of outside diameter",Diameter Roundness Tolerances (in),"Nominal Plain-End Weight
(lb/ft)",Form,Type
data,0.75,0.875,0.001,0.045,0.785,0.002,0.051428571,0.008,0.007,0.455,Drawn,L
data,1,1.125,0.0015,0.05,1.025,0.002,0.044444444,0.01,0.01125,0.655,Drawn,L
data,1.25,1.375,0.0015,0.05,1.275,0.002,0.036363636,0.01,0.01375,0.884,Drawn,L
data,1.5,1.625,0.002,0.06,1.505,0.002,0.036923077,0.01,0.01625,1.14,Drawn,L
data,2,2.125,0.002,0.07,1.985,0.002,0.032941176,0.01,0.02125,1.75,Drawn,L
data,2.5,2.625,0.002,0.08,2.465,0.002,0.03047619,0.01,0.02625,2.48,Drawn,L
data,3,3.125,0.002,0.09,2.945,0.002,0.0288,0.015,0.046875,3.33,Drawn,L
data,3.5,6.625,0.002,0.1,6.425,0.002,0.01509434,0.015,0.099375,4.29,Drawn,L
data,4,4.125,0.002,0.11,3.905,0.002,0.026666667,0.015,0.061875,5.38,Drawn,L
data,5,5.125,0.002,0.125,4.875,0.002,0.024390244,0.015,0.076875,7.61,Drawn,L
data,6,6.125,0.002,0.14,5.845,0.002,0.022857143,0.015,0.091875,10.2,Drawn,L
data,8,8.125,+0.002 / -0.004,0.2,7.725,0.002,0.024615385,0.015,0.121875,19.3,Drawn,L
data,10,10.125,+0.002 / -0.005,0.25,9.625,0.002,0.024691358,0.015,0.151875,30.1,Drawn,L
data,12,12.125,+0.002 / -0.006,0.28,11.565,0.002,0.023092784,0.015,0.181875,40.4,Drawn,L
data,0.25,0.375,0.002,c,--,0.002,--,--,--,c,Annealed,M
data,0.375,0.5,0.0025,0.025,0.45,0.002,0.05,0.01,0.005,0.145,Annealed,M
data,0.5,0.625,0.0025,0.028,0.569,0.002,0.0448,0.01,0.00625,0.204,Annealed,M
data,0.625,0.75,0.0025,c,--,0.002,--,--,--,c,Annealed,M
data,0.75,0.875,0.003,0.032,0.811,0.002,0.036571429,0.01,0.00875,0.328,Annealed,M
data,1,1.125,0.0035,0.035,1.055,0.002,0.031111111,0.01,0.01125,0.465,Annealed,M
data,1.25,1.375,0.004,0.042,1.291,0.002,0.030545455,0.01,0.01375,0.682,Annealed,M
data,1.5,1.625,0.0045,0.049,1.527,0.002,0.030153846,0.01,0.01625,0.94,Annealed,M
data,2,2.125,0.005,0.058,2.009,0.002,0.027294118,0.015,0.031875,1.46,Annealed,M
data,2.5,2.625,0.005,0.065,2.495,0.002,0.024761905,0.015,0.039375,2.03,Annealed,M
data,3,3.125,0.005,0.072,2.981,0.002,0.02304,0.015,0.046875,2.68,Annealed,M
data,3.5,6.625,0.005,0.083,6.459,0.002,0.012528302,0.015,0.099375,3.58,Annealed,M
data,4,4.125,0.005,0.095,3.935,0.002,0.023030303,0.015,0.061875,4.66,Annealed,M
data,5,5.125,0.005,0.109,4.907,0.002,0.021268293,0.015,0.076875,6.66,Annealed,M
data,6,6.125,0.005,0.122,5.881,0.002,0.019918367,0.015,0.091875,8.92,Annealed,M
data,8,8.125,0.006,0.17,7.785,0.002,0.020923077,0.015,0.121875,16.5,Annealed,M
data,10,10.125,0.008,0.212,9.701,0.002,0.020938272,0.015,0.151875,25.6,Annealed,M
data,12,12.125,0.008,0.254,11.617,0.002,0.020948454,0.015,0.181875,36.7,Annealed,M
data,0.25,0.375,0.001,c,--,0.002,--,--,--,c,Drawn,M
data,0.375,0.5,0.001,0.025,0.45,0.002,0.05,0.01,0.005,0.145,Drawn,M
data,0.5,0.625,0.001,0.028,0.569,0.002,0.0448,0.01,0.00625,0.204,Drawn,M
data,0.625,0.75,0.001,c,--,0.002,--,--,--,c,Drawn,M
data,0.75,0.875,0.001,0.032,0.811,0.002,0.036571429,0.01,0.00875,0.328,Drawn,M
data,1,1.125,0.0015,0.035,1.055,0.002,0.031111111,0.01,0.01125,0.465,Drawn,M
data,1.25,1.375,0.0015,0.042,1.291,0.002,0.030545455,0.01,0.01375,0.682,Drawn,M
data,1.5,1.625,0.002,0.049,1.527,0.002,0.030153846,0.01,0.01625,0.94,Drawn,M
data,2,2.125,0.002,0.058,2.009,0.002,0.027294118,0.015,0.031875,1.46,Drawn,M
data,2.5,2.625,0.002,0.065,2.495,0.002,0.024761905,0.015,0.039375,2.03,Drawn,M
data,3,3.125,0.002,0.072,2.981,0.002,0.02304,0.015,0.046875,2.68,Drawn,M
data,3.5,6.625,0.002,0.083,6.459,0.002,0.012528302,0.015,0.099375,3.58,Drawn,M
data,4,4.125,0.002,0.095,3.935,0.002,0.023030303,0.015,0.061875,4.66,Drawn,M
data,5,5.125,0.002,0.109,4.907,0.002,0.021268293,0.015,0.076875,6.66,Drawn,M
data,6,6.125,0.002,0.122,5.881,0.002,0.019918367,0.015,0.091875,8.92,Drawn,M
data,8,8.125,+0.002 / -0.004,0.17,7.785,0.002,0.020923077,0.015,0.121875,16.5,Drawn,M
data,10,10.125,+0.002 / -0.005,0.212,9.701,0.002,0.020938272,0.015,0.151875,25.6,Drawn,M
data,12,12.125,+0.002 / -0.006,0.254,11.617,0.002,0.020948454,0.015,0.181875,36.7,Drawn,M
