,numeric,numeric,numeric,string,numeric,numeric
heading,Nominal Size,Nominal Outside Dia. (in),"Nominal Wall Thickness
(in)",Preferred Size,Nominal Internal Diameter (in),e (ft)
data,1.75,1.75,0.032,X,1.686,0.002
data,1.75,1.75,0.04,X,1.67,0.002
data,1.75,1.75,0.049,X,1.652,0.002
data,1.75,1.75,0.065,X,1.62,0.002
data,1.75,1.75,0.083,X,1.584,0.002
data,1.75,1.75,0.1,X,1.55,0.002
data,1.75,1.75,0.125,X,1.5,0.002
data,1.75,1.75,0.15625,X,1.4375,0.002
data,1.75,1.75,0.1875,X,1.375,0.002
data,1.75,1.75,0.25,X,1.25,0.002
data,1.75,1.75,0.3125,X,1.125,0.002
data,1.75,1.75,0.375,X,1,0.002
data,2,2,0.025,X,1.95,0.002
data,2,2,0.032,X,1.936,0.002
data,2,2,0.04,X,1.92,0.002
data,2,2,0.049,X,1.902,0.002
data,2,2,0.065,X,1.87,0.002
data,2,2,0.083,X,1.834,0.002
data,2,2,0.1,X,1.8,0.002
data,2,2,0.125,X,1.75,0.002
data,2,2,0.15625,X,1.6875,0.002
data,2,2,0.1875,X,1.625,0.002
data,2,2,0.25,X,1.5,0.002
data,2,2,0.3125,X,1.375,0.002
data,2,2,0.375,X,1.25,0.002
data,2,2,0.5,X,1,0.002
data,2.25,2.25,0.025,X,2.2,0.002
data,2.25,2.25,0.032,X,2.186,0.002
data,2.25,2.25,0.04,X,2.17,0.002
data,2.25,2.25,0.049,X,2.152,0.002
data,2.25,2.25,0.065,X,2.12,0.002
data,2.25,2.25,0.083,X,2.084,0.002
data,2.25,2.25,0.1,X,2.05,0.002
data,2.25,2.25,0.125,X,2,0.002
data,2.25,2.25,0.15625,X,1.9375,0.002
data,2.25,2.25,0.1875,X,1.875,0.002
data,2.25,2.25,0.25,X,1.75,0.002
data,2.25,2.25,0.3125,X,1.625,0.002
data,2.25,2.25,0.375,X,1.5,0.002
data,2.25,2.25,0.5,X,1.25,0.002
data,2.5,2.5,0.025,X,2.45,0.002
data,2.5,2.5,0.032,X,2.436,0.002
data,2.5,2.5,0.04,X,2.42,0.002
data,2.5,2.5,0.049,X,2.402,0.002
data,2.5,2.5,0.065,X,2.37,0.002
data,2.5,2.5,0.083,X,2.334,0.002
data,2.5,2.5,0.1,X,2.3,0.002
data,2.5,2.5,0.125,X,2.25,0.002
data,2.5,2.5,0.15625,X,2.1875,0.002
data,2.5,2.5,0.1875,X,2.125,0.002
data,2.5,2.5,0.25,X,2,0.002
data,2.5,2.5,0.3125,X,1.875,0.002
data,2.5,2.5,0.375,X,1.75,0.002
data,2.5,2.5,0.5,X,1.5,0.002
data,2.5,2.5,0.625,X,1.25,0.002
data,2.75,2.75,0.025,X,2.7,0.002
data,2.75,2.75,0.032,X,2.686,0.002
