,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Flange Class (lb),Nominal Pipe Size,Flange Diameter A,Flange Thickness B (Min),Diameter of Raised Feet C,Diameter of Bolt Circle D,Diameter of Bolt Holes E,Number of Bolts,Diameter of Bolts,Length of Machine Bolts - 25 Lb Fig. to 25 Lb Fig. F,Length of Machine Bolts - 25 Lb Fig. to 125 Lb Fig. F,Length of Machine Bolts F,Outisde Diameter A,Raised Face - O.D. Male C,Riased Face I.D. of Large Female D,Diameter of Bolt Circle E,Diameter of Bolt Holes F,Length of Machine Bolts G
data,125,36        ,46        ,2   3/8  ,--,42   3/4  ,1   5/8  ,32        ,1   1/2  ,--,--,7        ,--,--,--,--,--,--
data,125,42        ,53        ,2   5/8  ,--,49   1/2  ,1   5/8  ,36        ,1   1/2  ,--,--,7   1/2  ,--,--,--,--,--,--
data,125,48        ,59   1/2  ,2   3/4  ,--,56        ,1   5/8  ,44        ,1   1/2  ,--,--,7   3/4  ,--,--,--,--,--,--
data,250,1        ,4   7/8  ,  11/16 ,2  11/16 ,3   1/2  ,   3/4  ,4        ,   5/8  ,--,--,2   1/2  ,--,--,--,--,--,--
data,250,1   1/4  ,5   1/4  ,   3/4  ,3   1/16 ,3   7/8  ,   3/4  ,4        ,   5/8  ,--,--,2   1/2  ,--,--,--,--,--,--
data,250,1   1/2  ,6   1/8  ,  13/16 ,3   9/16 ,4   1/2  ,   7/8  ,4        ,   3/4  ,--,--,2   3/4  ,--,--,--,--,--,--
data,250,2        ,6   1/2  ,   7/8  ,4   3/16 ,5        ,   3/4  ,8        ,   5/8  ,--,--,2   3/4  ,--,--,--,--,--,--
data,250,2   1/2  ,7   1/2  ,1        ,4  15/16 ,5   7/8  ,   7/8  ,8        ,   3/4  ,--,--,3   1/4  ,--,--,--,--,--,--
data,250,3        ,8   1/4  ,1   1/8  ,5  11/16 ,6   5/8  ,   7/8  ,8        ,   3/4  ,--,--,3   1/2  ,--,--,--,--,--,--
data,250,3   1/2  ,9        ,1   3/16 ,6   5/16 ,7   1/4  ,   7/8  ,8        ,   3/4  ,--,--,3   1/2  ,--,--,--,--,--,--
data,250,4        ,10        ,1   1/4  ,6  15/16 ,7   7/8  ,   7/8  ,8        ,   3/4  ,--,--,3   3/4  ,--,--,--,--,--,--
data,250,5        ,11        ,1   3/8  ,8   5/16 ,9   1/4  ,   7/8  ,8        ,   3/4  ,--,--,4        ,--,--,--,--,--,--
data,250,6        ,12   1/2  ,1   7/16 ,9  11/16 ,10   5/8  ,   7/8  ,12        ,   3/4  ,--,--,4        ,--,--,--,--,--,--
data,250,8        ,15        ,1   5/8  ,11  15/16 ,13        ,1        ,12        ,   7/8  ,--,--,4   1/2  ,--,--,--,--,--,--
data,250,10        ,17   1/2  ,1   7/8  ,14   1/16 ,15   1/4  ,1   1/8  ,16        ,1        ,--,--,5   1/4  ,--,--,--,--,--,--
data,250,12        ,20   1/2  ,2        ,16   7/16 ,17   3/4  ,1   1/4  ,16        ,1   1/8  ,--,--,5   1/2  ,--,--,--,--,--,--
data,250,14        ,23        ,2   1/8  ,18  15/16 ,20   1/4  ,1   1/4  ,20        ,1   1/8  ,--,--,6        ,--,--,--,--,--,--
data,250,16        ,25   1/2  ,2   1/4  ,21   1/16 ,22   1/2  ,1   3/8  ,20        ,1   1/4  ,--,--,6   1/4  ,--,--,--,--,--,--
data,250,18        ,28        ,2   3/8  ,23   5/16 ,24   3/4  ,1   3/8  ,24        ,1   1/4  ,--,--,6   1/2  ,--,--,--,--,--,--
data,250,20        ,30   1/2  ,2   1/2  ,25   3/8  ,27        ,1   3/8  ,24        ,1   1/4  ,--,--,6   3/4  ,--,--,--,--,--,--
data,250,24        ,36        ,2   3/4  ,30   5/16 ,32        ,1   5/8  ,24        ,1   1/2  ,--,--,7   1/2  ,--,--,--,--,--,--
data,250,30        ,43        ,3        ,37   3/16 ,39   1/4  ,2        ,28        ,1   3/4  ,--,--,8   1/2  ,--,--,--,--,--,--
data,800,2        ,--,1   1/2  ,--,--,--,8        ,   5/8  ,--,--,--,8   1/2  ,3   5/8  ,3  11/16 ,5        ,   3/4  ,4        
data,800,2   1/2  ,--,1   5/8  ,--,--,--,8        ,   3/4  ,--,--,--,7   1/2  ,4   1/8  ,4   3/16 ,5   7/8  ,   7/8  ,4   1/2  
data,800,3        ,--,1   3/4  ,--,--,--,8        ,   3/4  ,--,--,--,8   1/4  ,5        ,5   1/16 ,6   5/8  ,   7/8  ,4   3/4  
data,800,3   1/2  ,--,1   7/8  ,--,--,--,8        ,   7/8  ,--,--,--,9        ,5   1/2  ,5   9/16 ,7   1/4  ,1        ,5        
data,800,4        ,--,2   1/8  ,--,--,--,8        ,   7/8  ,--,--,--,10   3/4  ,6   3/16 ,6   1/4  ,8   1/2  ,1        ,5   1/2  
data,800,5        ,--,2   3/8  ,--,--,--,8        ,1        ,--,--,--,13        ,7   5/16 ,7   3/8  ,10   1/2  ,1   1/8  ,6        
data,800,6        ,--,2   1/2  ,--,--,--,12        ,1        ,--,--,--,14        ,8   9/16 ,8   9/16 ,11   1/2  ,1   1/8  ,6   1/2  
data,800,8        ,--,2   3/4  ,--,--,--,12        ,1   1/8  ,--,--,--,16   1/2  ,10  11/16 ,10  11/16 ,13   3/4  ,1   1/4  ,7        
data,800,10        ,--,3   1/8  ,--,--,--,16        ,1   1/4  ,--,--,--,20        ,12  13/16 ,12  13/16 ,17        ,1   3/8  ,7   1/2  
data,800,12        ,--,3   1/4  ,--,--,--,20        ,1   1/4  ,--,--,--,22        ,15   1/16 ,15   1/16 ,19   1/4  ,1   3/8  ,8        
