,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Flange Class (lb),Nominal Pipe Size,Outside Diameter of Flange O ,Flange Thicknesses (Min) - Flange C ,Flange Thickness (Min) - Fitting C ,Drilling - Diameter of Bolt Circle ,Drilling - Diameter of Bolt Holes ,Drilling - Number of Bolts,Drilling - Diameter of Bolts ,Length of Bolts L - Stud Bolts - 0.006 in. Raised Face,Length of Bolts L - Stud Bolts - Ring Joint,Length of Bolts L - Machine Bolts - 0.006 in. Raised Face,Length of Bolts L - Stud Bolts - 1/4 in. Raised Face,Length of Stud Bolts L - Male and Female also Tongue & Groove,Length of Stud Bolts L - RIng Joint
data,900,24,41        ,5   1/2  ,--,35   1/2  ,2   5/8  ,20        ,2   1/2  ,--,--,--,17   1/4  ,17        ,18        
data,1500,0.5,4   3/4  ,   7/8  ,--,3   1/4  ,   7/8  ,4        ,   3/4  ,--,--,--,4   1/2  ,4        ,4   1/2  
data,1500,0.75,5   1/8  ,1        ,--,3   1/2  ,   7/8  ,4        ,   3/4  ,--,--,--,4   1/2  ,4   1/4  ,4   1/2  
data,1500,1,5   7/8  ,1   1/8  ,--,4        ,1        ,4        ,   7/8  ,--,--,--,5        ,4   3/4  ,5        
data,1500,1.25,6   1/4  ,1   1/8  ,--,4   3/8  ,1        ,4        ,   7/8  ,--,--,--,5        ,4   3/4  ,5        
data,1500,1.5,7        ,1   1/4  ,--,4   7/8  ,1   1/8  ,4        ,1        ,--,--,--,5   1/2  ,5   1/4  ,5   1/2  
data,1500,2,8   1/2  ,1   1/2  ,--,6   1/2  ,1        ,8        ,   7/8  ,--,--,--,5   3/4  ,5   1/2  ,5   3/4  
data,1500,2.5,9   3/8  ,1   5/8  ,--,7   1/2  ,1   1/8  ,8        ,1        ,--,--,--,6   1/4  ,6        ,6   1/4  
data,1500,3,10   1/2  ,1   7/8  ,--,8        ,1   1/4  ,8        ,1   1/8  ,--,--,--,7        ,6   3/4  ,7        
data,1500,4,12   1/4  ,2   1/8  ,--,9   1/2  ,1   3/8  ,8        ,1   1/4  ,--,--,--,7   3/4  ,7   1/2  ,7   3/4  
data,1500,5,14   3/4  ,2   7/8  ,--,11   1/2  ,1   5/8  ,8        ,1   1/2  ,--,--,--,9   3/4  ,9   1/2  ,9   3/4  
data,1500,6,15   1/2  ,3   1/4  ,--,12   1/2  ,1   1/2  ,12        ,1   3/8  ,--,--,--,10   1/2  ,10        ,10   1/2  
data,1500,8,19        ,3   5/8  ,--,15   1/2  ,1   3/4  ,12        ,1   5/8  ,--,--,--,11   1/2  ,11   1/4  ,12   3/4  
data,1500,10,23        ,4   1/4  ,--,19        ,2        ,12        ,1   7/8  ,--,--,--,13   1/4  ,13        ,13   1/2  
data,1500,12,26   1/2  ,4   7/8  ,--,22   1/2  ,2   1/8  ,16        ,2        ,--,--,--,14   3/4  ,14   1/2  ,15   1/4  
