,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Frame Designations,FAJ,FAK,FBB Min ,FBD Min,FBF Hole Number,FBF Hole Tap Size,FBF Hole Bolt Penetration Allowance,Hole for Accessory Leads†† DP,Hole for Accessory Leads†† Diameter
data,143TFC and 145TFC,5.875,4.5,0.16*,6.50†,4,3/8-16,0.56,2.81,0.41
data,182TFC and 184TFC,5.875,4.5,0.16*,6.50†,4,3/8-16,0.56,2.81,0.41
data,213TFC and 215TFC,7.25,8.5,0.25,9,4,1/2-13,0.75,3.81,0.62
data,254TFC and 256TFC,7.25,8.5,0.25,10,4,1/2-13,0.75,3.81,0.62
data,284TFC and 286TFC,9,10.5,0.25,11.25,4,1/2-13,0.75,4.5,0.62
data,324TFC and 326TFC,11,12.5,0.25,14,4,5/8-11,0.94,5.25,0.62
