,numeric,numeric
heading,Head (m),Flow (m3/h)
data,61.0,0.0
data,60.7,22.7
data,59.7,45.4
data,58.5,68.1
data,57.9,90.8
data,56.7,113.6
data,54.9,136.3
data,53.3,159.0
data,50.3,181.7
data,47.2,204.4
data,42.7,227.1
data,38.1,249.8
data,30.5,272.5
