,numeric,numeric
heading,Flow (gpm),Total Head (ft)
data,0,173
data,180,167
data,360,160
data,540,154
data,720,148
data,900,143
data,1080,136
data,1260,129
data,1440,119
data,1620,108
data,1800,95
data,1980,75
