,numeric,numeric,numeric
heading,Flow Rate (m3/sec),Velocity (m/sec),Head Loss (meters)
data,0,0,80.77
data,0.00126,0.154,80.77
data,0.00252,0.307,81.08
data,0.00379,0.461,81.69
data,0.00505,0.614,82.30
data,0.00631,0.768,83.21
data,0.00757,0.922,84.12
data,0.00883,1.075,85.34
data,0.01009,1.229,86.87
data,0.01136,1.383,88.39
data,0.01262,1.536,90.22
data,0.01388,1.690,92.35
data,0.01514,1.844,94.49
data,0.01640,1.997,96.62
data,0.01767,2.151,99.36
data,0.01893,2.305,102.11
