,numeric,numeric
heading,Temperature (F),Pressure (psi)
data,0,50
data,5,70
data,10,90
data,15,130
data,20,170
data,25,190
data,30,200
data,35,220
data,40,250
data,45,280
data,50,310
data,55,330
data,60,350
