,string,numeric
heading,Property,Value
data,Critical temperature (T<sub>c</sub>),373.946 C
data,Critical pressure (P<sub>c</sub>),220.640 bar
data,Critical density (D<sub>c</sub>),322.000000 kg/m3
data,Acentric factor,0.3443
data,Normal boiling point ,99.9743 C
data,Dipole moment,1.855 Debye
