,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temperature (F),Pressure (psia),Density (lbm/ft3),Volume (ft3/lbm),Internal Energy (Btu/lbm),Enthalpy (Btu/lbm),Entropy (Btu/lbm*R),Cv (Btu/lbm*R),Cp (Btu/lbm*R),Sound Spd. (ft/s),Joule-Thomson (F/psia),Viscosity (lbm/ft*s),Therm. Cond. (W/m*K),Surf. Tension (lb/ft)
data,440,381.48,51.912,0.019263,417.91,419.27,0.61648,0.77106,1.1143,4069,-0.00057251,7.91E-05,0.64421,0.0021594
data,450,422.46,51.448,0.019437,428.97,430.49,0.62872,0.76687,1.1246,4000.4,-0.00043612,7.71E-05,0.6393,0.0020705
data,460,466.75,50.971,0.019619,440.11,441.81,0.64092,0.76282,1.1358,3929.8,-0.0002892,7.52E-05,0.63405,0.0019813
data,470,514.52,50.481,0.019809,451.35,453.24,0.65309,0.75891,1.1479,3857.2,-0.00013054,7.34E-05,0.62843,0.0018919
data,480,565.95,49.976,0.02001,462.69,464.78,0.66524,0.75516,1.1612,3782.4,4.12E-05,7.16E-05,0.62244,0.0018024
data,490,621.23,49.456,0.02022,474.13,476.46,0.67738,0.75156,1.1757,3705.5,0.00022776,7.00E-05,0.61604,0.0017128
data,500,680.55,48.92,0.020441,485.7,488.27,0.68952,0.74812,1.1916,3626.4,0.00043086,6.83E-05,0.60924,0.0016232
data,510,744.11,48.367,0.020675,497.38,500.23,0.70167,0.74486,1.2091,3545,0.00065276,6.67E-05,0.60201,0.0015336
data,520,812.1,47.795,0.020923,509.21,512.35,0.71384,0.74179,1.2285,3461.3,0.00089605,6.52E-05,0.59434,0.0014442
data,530,884.74,47.203,0.021185,521.18,524.65,0.72604,0.73893,1.25,3375.1,0.0011638,6.37E-05,0.58623,0.0013549
data,540,962.24,46.59,0.021464,533.32,537.14,0.73829,0.73628,1.274,3286.4,0.0014599,6.23E-05,0.57767,0.0012659
data,550,1044.8,45.953,0.021761,545.63,549.84,0.7506,0.73389,1.3011,3195,0.0017886,6.08E-05,0.56868,0.0011772
data,560,1132.7,45.29,0.02208,558.14,562.77,0.76299,0.73179,1.3317,3100.7,0.0021556,5.94E-05,0.55925,0.001089
data,570,1226.2,44.599,0.022422,570.87,575.97,0.77549,0.73,1.3668,3003.4,0.0025677,5.80E-05,0.54943,0.0010014
data,580,1325.5,43.876,0.022791,583.85,589.45,0.78812,0.72858,1.4072,2902.9,0.0030333,5.66E-05,0.53925,0.00091446
data,590,1430.8,43.117,0.023193,597.1,603.25,0.8009,0.7276,1.4543,2799,0.0035632,5.52E-05,0.52875,0.00082834
data,600,1542.5,42.318,0.023631,610.67,617.42,0.81388,0.72715,1.51,2691.3,0.0041712,5.38E-05,0.51797,0.00074321
data,610,1660.9,41.472,0.024113,624.61,632.02,0.8271,0.72733,1.5769,2579.5,0.0048755,5.24E-05,0.50699,0.00065923
data,620,1786.2,40.572,0.024647,638.96,647.11,0.84062,0.72832,1.6588,2463.1,0.0057005,5.10E-05,0.49583,0.00057661
data,630,1918.9,39.608,0.025247,653.82,662.8,0.85451,0.73035,1.7618,2341.4,0.0066809,4.95E-05,0.48454,0.0004956
data,640,2059.2,38.566,0.02593,669.3,679.19,0.86888,0.73379,1.8958,2213.2,0.0078679,4.80E-05,0.47312,0.0004165
data,650,2207.8,37.425,0.02672,685.56,696.48,0.88387,0.73926,2.0791,2076.4,0.0093429,4.64E-05,0.46154,0.00033967
data,660,2364.9,36.152,0.027661,702.85,714.96,0.89974,0.74794,2.348,1927.8,0.011242,4.46E-05,0.44975,0.00026559
data,670,2531.2,34.691,0.028826,721.61,735.12,0.9169,0.76228,2.7832,1762.2,0.013799,4.27E-05,0.43775,0.00019492
data,680,2707.3,32.936,0.030361,742.67,757.89,0.93611,0.78806,3.5861,1573.9,0.017412,4.05E-05,0.42572,0.00012863
data,690,2894,30.693,0.032581,767.56,785.02,0.95886,0.83839,5.392,1364.9,0.022675,3.79E-05,0.4157,6.83E-05
data,700,3093,27.283,0.036652,802.01,823,0.99065,0.9558,15.579,1119.4,0.03193,3.40E-05,0.4406,1.76E-05
data,705.1,3200.1,20.499,0.048782,863.26,892.17,1.0494,undefined,undefined,undefined,0.046122,3.33E-05,undefined,1.42E-09
