,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
heading,ASME,Flange Class,Nominal Pipe Size (NPS),Diameter Flange (O),Min Thickness Flange (Q),Hub- Min Diameter (X),Hub- Min Length (Y),Hub- Min Thread Length (T),Raised Face Diameter (W),Bolting- # of Bolts ,Bolt Hole- Diameter Bolt Circle  ,Bolt Hole- Diameter Bolt Holes,Bolting- Bolt Diameter,Bolting- Length of Bolts ,Bolting- Length of Stud Bolts
data,16.1,250,6,12.5,1.44,8.12,1.94,1.56,9.69,12,10.62, 7/8, 3/4,4,…
data,16.1,250,8,15,1.62,10.25,2.19,1.75,11.94,12,13,1 1/8, 7/8,4.5,…
data,16.1,250,10,17.5,1.88,12.62,2.38,1.94,14.06,16,15.25,1 1/4,1,5.5,…
data,16.1,250,12,20.5,2,14.75,2.56,2.19,16.44,16,17.75,1 1/4,1 1/8,5.5,…
data,16.1,250,14,23,2.12,16.25,2.69,2.25,18.94,20,20.25,1 3/8,1 1/8,6,…
data,16.1,250,16,25,2.25,18.38,2.88,2.5,21.06,20,22.5,1 3/8,1 1/4,6.5,…
data,16.1,250,18,28,2.38,…,…,…,23.31,24,24.75,1 3/8,1 1/4,6.5,…
data,16.1,250,20,30.5,2.5,…,…,…,25.56,24,27,1 3/8,1 1/4,7,…
data,16.1,250,24,36,2.75,…,…,…,30.31,24,32,1 5/8,1 1/2,7.5,9.5
data,16.1,250,30,43,3,…,…,…,37.19,28,39.25,2,1 3/4,8.5,10.5
data,16.1,250,36 (-),50,3.38,…,…,…,43.69,32,46,2 1/4,2,9.5,12
data,16.1,250,42 (-),57,3.69,…,…,…,50.44,36,52.75,2 1/4,2,10,12.5
data,16.1,250,48 (-),65,4,…,…,…,58.44,40,60.75,2 1/4,2,11,13
