,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,3.5,4,40S,0.226,3.548,0.295666667,0.0686585,0.000169109,0.00005
data,3.5,4,5S,0.083,3.834,0.3195,0.0801736,0.000156495,0.00005
data,3.5,4,80S,0.318,3.364,0.280333333,0.0617219,0.000178359,0.00005
data,4,4.5,10S,0.12,4.26,0.355,0.0989798,0.000140845,0.00005
data,4,4.5,40S,0.237,4.026,0.3355,0.0884046,0.000149031,0.00005
data,4,4.5,5S,0.083,4.334,0.361166667,0.1024484,0.00013844,0.00005
data,4,4.5,80S,0.337,3.826,0.318833333,0.0798394,0.000156822,0.00005
data,5,5.563,10S,0.134,5.295,0.44125,0.1529182,0.000113314,0.00005
data,5,5.563,40S,0.258,5.047,0.420583333,0.1389293,0.000118883,0.00005
data,5,5.563,5S,0.109,5.345,0.445416667,0.1558199,0.000112254,0.00005
data,5,5.563,80S,0.375,4.813,0.401083333,0.1263453,0.000124662,0.00005
data,6,6.625,10S,0.134,6.357,0.52975,0.2204103,9.44E-05,0.00005
data,6,6.625,40S,0.28,6.065,0.505416667,0.2006268,9.89E-05,0.00005
data,6,6.625,5S,0.109,6.407,0.533916667,0.2238911,9.36E-05,0.00005
data,6,6.625,80S,0.432,5.761,0.480083333,0.1810186,0.000104149,0.00005
data,8,8.625,10S,0.148,8.329,0.694083333,0.3783669,7.20E-05,0.00005
data,8,8.625,40S,0.322,7.981,0.665083333,0.3474098,7.52E-05,0.00005
data,8,8.625,5S,0.109,8.407,0.700583333,0.3854868,7.14E-05,0.00005
data,8,8.625,80S,0.5,7.625,0.635416667,0.3171079,7.87E-05,0.00005
data,10,10.75,10S,0.165,10.42,0.868333333,0.5921924,5.76E-05,0.00005
data,10,10.75,40S,0.365,10.02,0.835,0.5475992,5.99E-05,0.00005
data,10,10.75,5S,0.134,10.482,0.8735,0.5992606,5.72E-05,0.00005
data,10,10.75,80S,0.5,9.75,0.8125,0.5184855,6.15E-05,0.00005
data,12,12.75,10S,0.18,12.39,1.0325,0.8372786,4.84E-05,0.00005
data,12,12.75,40S,0.375,12,1,0.7853982,0.00005,0.00005
data,12,12.75,5S,0.156,12.438,1.0365,0.8437786,4.82E-05,0.00005
data,12,12.75,80S,0.5,11.75,0.979166667,0.7530141,5.11E-05,0.00005
data,14,14,10S,0.188,13.624,1.135333333,1.0123639,4.40E-05,0.00005
data,14,14,40S,0.375,13.25,1.104166667,0.9575449,4.53E-05,0.00005
data,14,14,5S,0.156,13.688,1.140666667,1.0218976,4.38E-05,0.00005
data,14,14,80S,0.5,13,1.083333333,0.921752,4.62E-05,0.00005
data,16,16,10S,0.188,15.624,1.302,1.3314101,3.84E-05,0.00005
data,16,16,40S,0.375,15.25,1.270833333,1.2684317,3.93E-05,0.00005
data,16,16,5S,0.165,15.67,1.305833333,1.3392615,3.83E-05,0.00005
data,16,16,80S,0.5,15,1.25,1.2271846,0.00004,0.00005
data,18,18,10S,0.188,17.624,1.468666667,1.6940895,3.40E-05,0.00005
data,18,18,40S,0.375,17.25,1.4375,1.6229517,3.48E-05,0.00005
data,18,18,5S,0.165,17.67,1.4725,1.7029445,3.40E-05,0.00005
data,18,18,80S,0.5,17,1.416666667,1.5762505,3.53E-05,0.00005
data,20,20,10S,0.218,19.564,1.630333333,2.0875779,3.07E-05,0.00005
data,20,20,40S,0.375,19.25,1.604166667,2.0211049,3.12E-05,0.00005
data,20,20,5S,0.188,19.624,1.635333333,2.1004022,3.06E-05,0.00005
data,20,20,80S,0.5,19,1.583333333,1.9689496,3.16E-05,0.00005
data,22,22,10S,0.218,21.564,1.797,2.5362148,2.78E-05,0.00005
data,22,22,5S,0.188,21.624,1.802,2.5503481,2.77E-05,0.00005
data,24,24,10S,0.25,23.5,1.958333333,3.0120565,2.55E-05,0.00005
data,24,24,40S,0.375,23.25,1.9375,2.9483111,2.58E-05,0.00005
data,24,24,5S,0.218,23.564,1.963666667,3.0284849,2.55E-05,0.00005
data,24,24,80S,0.5,23,1.916666667,2.8852474,2.61E-05,0.00005
data,30,30,10S,0.312,29.376,2.448,4.7066587,2.04E-05,0.00005
data,30,30,5S,0.25,29.5,2.458333333,4.7464774,2.03E-05,0.00005
