,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,text,text,numeric
heading,ASME,Flange Class,Nominal Pipe Size (NPS),Outside Diameter Flange (O),Min Thickness Flange (T),Length Through Hub (Y),Diameter of Hub (X),Hub Diameter Top (A or H),Raised Face Diameter (R),Drilling-Daimeter Bolt Circle ,Drilling- # Bolt Holes,Drilling- Diameter Bolt Hole ,Diameter of Bolt,Length of Bolts- Stud Bolt Raised Face (.06 in)
tags,None,,,,,,,,,,,,,
data,16.47 Series B,75,26,30.00,1.25,2.25,26.62,26.06,27.75,28.50,36, 3/4, 5/8,4.50
data,16.47 Series B,75,28,32.00,1.25,2.38,28.62,28.06,29.75,30.50,40, 3/4, 5/8,4.50
data,16.47 Series B,75,30,34.00,1.25,2.50,30.62,30.06,31.75,32.50,44, 3/4, 5/8,4.75
data,16.47 Series B,75,32,36.00,1.32,2.69,32.62,32.06,33.75,34.50,48, 3/4, 5/8,4.75
data,16.47 Series B,75,34,38.00,1.32,2.82,34.62,34.06,35.75,36.50,52, 3/4, 5/8,4.75
data,16.47 Series B,75,36,40.69,1.38,3.32,36.81,36.06,38.00,39.06,40, 7/8, 3/4,5.00
data,16.47 Series B,75,38,42.69,1.44,3.44,38.81,38.06,40.00,41.06,40, 7/8, 3/4,5.25
data,16.47 Series B,75,40,44.69,1.44,3.57,40.81,40.06,42.00,43.06,44, 7/8, 3/4,5.25
data,16.47 Series B,75,42,46.69,1.50,3.69,42.81,42.06,44.00,45.06,48, 7/8, 3/4,5.25
data,16.47 Series B,75,44,49.25,1.63,4.07,44.88,44.06,46.25,47.38,36,1    , 7/8,5.75
data,16.47 Series B,75,46,51.25,1.69,4.19,46.88,46.06,48.25,49.38,40,1    , 7/8,6.00
data,16.47 Series B,75,48,53.25,1.75,4.32,48.88,48.06,50.25,51.38,44,1    , 7/8,6.00
data,16.47 Series B,75,50,55.25,1.82,4.50,50.94,50.06,52.25,53.38,44,1    , 7/8,6.25
data,16.47 Series B,75,52,57.38,1.82,4.69,52.94,52.06,54.25,55.50,48,1    , 7/8,6.25
data,16.47 Series B,75,54,59.38,1.88,4.88,55.00,54.06,56.25,57.50,48,1    , 7/8,6.25
data,16.47 Series B,75,56,62.00,1.94,5.25,57.12,56.06,58.50,59.88,40,1 1/8,1    ,6.75
data,16.47 Series B,75,58,64.00,2.00,5.38,59.12,58.06,60.50,61.88,44,1 1/8,1    ,7.00
data,16.47 Series B,75,60,66.00,2.13,5.63,61.12,60.06,62.50,63.88,44,1 1/8,1    ,7.25
data,16.47 Series B,150,26,30.94,1.57,3.44,26.94,26.06,28.00,29.31,36, 7/8, 3/4,5.50
data,16.47 Series B,150,28,32.94,1.69,3.69,28.94,28.06,30.00,31.31,40, 7/8, 3/4,5.75
data,16.47 Series B,150,30,34.94,1.69,3.88,31.00,30.06,32.00,33.31,44, 7/8, 3/4,5.75
data,16.47 Series B,150,32,37.06,1.75,4.19,33.06,32.06,34.00,35.44,48, 7/8, 3/4,5.75
data,16.47 Series B,150,34,39.56,1.88,4.28,35.12,34.06,36.25,37.69,40,1    , 7/8,6.25
data,16.47 Series B,150,36,41.62,2.00,4.57,37.19,36.06,38.25,39.75,44,1    , 7/8,6.50
data,16.47 Series B,150,38,44.25,2.07,4.82,39.25,38.12,40.25,42.12,40,1 1/8,1    ,7.25
data,16.47 Series B,150,40,46.25,2.13,5.00,41.31,40.12,42.50,44.12,44,1 1/8,1    ,7.25
data,16.47 Series B,150,42,48.25,2.25,5.19,43.38,42.12,44.50,46.12,48,1 1/8,1    ,7.50
data,16.47 Series B,150,44,50.25,2.32,5.32,445.38,44.12,46.50,48.12,52,1 1/8,1    ,7.75
data,16.47 Series B,150,46,52.81,2.38,5.63,47.44,46.12,48.62,50.56,40,1 1/4,1 1/8,8.00
data,16.47 Series B,150,48,54.81,2.50,5.82,49.50,48.12,50.75,52.56,44,1 1/4,1 1/8,8.25
data,16.47 Series B,150,50,56.81,2.63,6.00,51.50,50.12,52.75,54.56,48,1 1/4,1 1/8,8.50
data,16.47 Series B,150,52,58.81,2.69,6.13,53.56,52.12,54.75,56.56,52,1 1/4,1 1/8,8.75
data,16.47 Series B,150,54,61.00,2.75,6.32,55.62,54.12,56.75,58.75,56,1 1/4,1 1/8,8.75
data,16.47 Series B,150,56,63.00,2.82,6.50,57.62,56.12,58.75,60.75,60,1 1/4,1 1/8,9.00
data,16.47 Series B,150,58,65.94,2.88,6.82,59.69,58.12,60.75,63.44,48,1 3/8,1 1/4,9.25
data,16.47 Series B,150,60,67.94,2.94,7.00,61.81,60.12,63.00,65.44,52,1 3/8,1 1/4,9.50
data,16.47 Series B,300,26,34.12,3.44,5.63,27.62,26.19,29.00,31.62,32,1 3/8,1 1/4,10.50
data,16.47 Series B,300,28,36.25,3.44,5.81,29.75,28.19,31.00,33.75,36,1 3/8,1 1/4,10.50
data,16.47 Series B,300,30,39.00,3.63,6.16,32.00,30.25,33.25,36.25,36,1 1/2,1 3/8,11.25
data,16.47 Series B,300,32,41.50,4.00,6.56,34.00,32.25,35.50,38.50,32,1 5/8,1 1/2,12.25
data,16.47 Series B,300,34,43.62,4.00,6.75,36.12,34.25,37.50,40.62,36,1 5/8,1 1/2,12.25
data,16.47 Series B,300,36,46.12,4.00,7.06,38.00,36.25,39.75,42.88,32,1 3/4,1 5/8,12.50
data,16.47 Series B,300,38,48.12,4.31,7.50,40.00,38.25,41.75,44.88,36,1 3/4,1 5/8,13.00
data,16.47 Series B,300,40,50.12,4.50,7.75,42.00,40.25,43.88,46.88,40,1 3/4,1 5/8,13.50
data,16.47 Series B,300,42,52.50,4.63,8.00,44.00,42.31,46.00,49.00,36,1 7/8,1 3/4,14.00
data,16.47 Series B,300,44,54.50,4.94,8.38,46.19,44.31,48.00,51.00,40,1 7/8,1 3/4,14.50
data,16.47 Series B,300,46,57.50,5.00,8.69,48.38,46.31,50.00,53.75,36,2    ,1 7/8,15.00
data,16.47 Series B,300,48,59.50,5.00,8.75,50.31,48.31,52.25,55.75,40,2    ,1 7/8,15.00
data,16.47 Series B,300,50,61.50,5.38,9.19,52.38,50.31,54.25,57.75,44,2    ,1 7/8,15.75
data,16.47 Series B,300,52,63.50,5.56,9.50,54.44,52.31,56.25,59.75,48,2    ,1 7/8,16.00
data,16.47 Series B,300,54,65.88,5.32,9.38,56.50,54.31,58.25,62.12,48,2    ,1 7/8,15.75
data,16.47 Series B,300,56,69.50,6.00,10.50,58.81,56.31,60.50,65.00,36,2 3/8,2 1/4,17.75
data,16.47 Series B,300,58,71.94,6.00,10.75,60.94,58.31,62.75,67.44,40,2 3/8,2 1/4,17.75
data,16.47 Series B,300,60,73.94,5.88,10.63,62.94,60.31,65.00,69.44,40,2 3/8,2 1/4,17.50
