,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
heading,TYPE,Flange Class,Nominal Pipe Size (NPS),Outside Diameter Flange (O),Drilling-Diameter Bolt Circle (W) ,Drilling-Diameter Bolt Holes,Drilling-Number of Bolts,Drilling-Bolt Diameter,Stud Bolts (L)-Raised Face ,Machine Bolts (L) - Raised face,Diameter of Hub (X),Min Thickness Flange (tf),Min Thickness Lap Joint (tf),Bore- Min Lapped (B2),Length Through Hub- Lapped (Y2),Length Through Hub-Threaded Slip on/Socket Welding (Y1),Bore- Min Slip On Socket Weld (B1),Diameter Beginning Chamfer Weld Neck (A) ,Length Through Hub Bore Weld Neck (Y3),Bore- Weld Neck/Socket Weld (B3),Depth of socket (D),Min Thread Length Threaded (T),Min Counterbore Threaded Flange (Q)
tags,None,All,All,All,All,All,All,All,All,All,All,"Th, SO, SW, WN",La,La,La,"Th, SO, SW","SO, SW",WN,WN,"WN, SW",SW,Th,Th
data,ASME 16.5,300,4,10,7.88, 7/8,8, 3/4,4.5,3.75,5.75,1.19,1.25,4.6,1.88,1.82,4.57,4.5,3.32,4.03,…,1.44,4.63
data,ASME 16.5,300,5,11,9.25, 7/8,8, 3/4,4.75,4.25,7,1.31,1.38,5.69,2,1.94,5.66,5.56,3.82,5.05,…,1.69,5.69
data,ASME 16.5,300,6,12.5,10.62, 7/8,12, 3/4,4.75,4.25,8.12,1.38,1.44,6.75,2.06,2,6.72,6.63,3.82,6.07,…,1.81,6.75
data,ASME 16.5,300,8,15,13,1,12, 7/8,5.5,4.75,10.25,1.56,1.62,8.75,2.44,2.38,8.72,8.63,4.32,7.98,…,2,8.75
data,ASME 16.5,300,10,17.5,15.25,1 1/8,16,1,6.25,5.5,12.62,1.81,1.88,10.92,3.75,2.56,10.88,10.75,4.56,10.02,…,2.19,10.88
data,ASME 16.5,300,12,20.5,17.75,1 1/4,16,1 1/8,6.75,5.75,14.75,1.94,2,12.92,4,2.82,12.88,12.75,5.06,12,…,2.38,12.94
data,ASME 16.5,300,14,23,20.25,1 1/4,20,1 1/8,7,6.25,16.75,2.06,2.12,14.18,4.38,2.94,14.14,14,5.56,-,…,2.5,14.19
data,ASME 16.5,300,16,25.5,22.5,1 3/8,20,1 1/4,7.5,6.5,19,2.19,2.25,16.19,4.75,3.19,16.16,16,5.69,-,…,2.69,16.19
data,ASME 16.5,300,18,28,24.75,1 3/8,24,1 1/4,7.75,6.75,21,2.31,2.38,18.2,5.12,3.44,18.18,18,6.19,-,…,2.75,18.19
data,ASME 16.5,300,20,30.5,27,1 3/8,24,1 1/4,8,7.25,23.12,2.44,2.5,20.25,5.5,3.69,20.2,20,6.32,-,…,2.88,20.19
data,ASME 16.5,300,22,33,29.25,1 5/8,24,1 1/2,9,8,25.25,2.56,2.62,22.25,5.69,3.94,22.22,22,6.44,-,…,…,…
data,ASME 16.5,300,24,36,32,1 5/8,24,1 1/2,9,8,27.62,2.69,2.75,24.25,6,4.13,24.25,24,6.56,-,…,3.25,24.19
