,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches","Wall Thickness, inches",Pressure Class,"Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet",STANDARD 1
data,2.5,2.875,0.203,Special 3,2.469,0.20575,0.0332483,2.43E-05,0.000005,ASTM B466-18
data,2.5,2.875,0.28,Extra Strong,2.315,0.192916667,0.02923,2.59E-05,0.000005,ASTM B466-18
data,2.5,2.875,0.38,Special 4,2.115,0.17625,0.0243977,2.84E-05,0.000005,ASTM B466-18
data,3,3.5,0.095,Special 1,3.31,0.275833333,0.0597563,1.81E-05,0.000005,ASTM B466-18
data,3,3.5,0.165,Special 2,3.17,0.264166667,0.0548082,1.89E-05,0.000005,ASTM B466-18
data,3,3.5,0.219,Regular,3.062,0.255166667,0.0511373,1.96E-05,0.000005,ASTM B466-18
data,3,3.5,0.25,Special 3,3,0.25,0.0490874,0.00002,0.000005,ASTM B466-18
data,3,3.5,0.304,Extra Strong,2.892,0.241,0.0456167,2.07E-05,0.000005,ASTM B466-18
data,3,3.5,0.458,Special 4,2.584,0.215333333,0.0364177,2.32E-05,0.000005,ASTM B466-18
data,3.5,4,0.095,Special 1,3.81,0.3175,0.079173,1.57E-05,0.000005,ASTM B466-18
data,3.5,4,0.18,Special 2,3.64,0.303333333,0.0722654,1.65E-05,0.000005,ASTM B466-18
data,3.5,4,0.25,Regular,3.5,0.291666667,0.0668134,1.71E-05,0.000005,ASTM B466-18
data,3.5,4,0.284,Special 3,3.432,0.286,0.0642424,1.75E-05,0.000005,ASTM B466-18
data,3.5,4,0.321,Extra Strong,3.358,0.279833333,0.0615019,1.79E-05,0.000005,ASTM B466-18
data,4,4.5,0.109,Special 1,4.282,0.356833333,0.1000048,1.40E-05,0.000005,ASTM B466-18
data,4,4.5,0.203,Special 2,4.094,0.341166667,0.0914162,1.47E-05,0.000005,ASTM B466-18
data,4,4.5,0.25,Regular,4,0.333333333,0.0872665,0.000015,0.000005,ASTM B466-18
data,4,4.5,0.34,Special 3,3.82,0.318333333,0.0795892,1.57E-05,0.000005,ASTM B466-18
data,4,4.5,0.341,Extra Strong,3.818,0.318166667,0.0795059,1.57E-05,0.000005,ASTM B466-18
data,5,5.562,0.125,Special 1,5.312,0.442666667,0.1539017,1.13E-05,0.000005,ASTM B466-18
data,5,5.562,0.22,Special 2,5.122,0.426833333,0.1430891,1.17E-05,0.000005,ASTM B466-18
data,5,5.562,0.25,Regular,5.062,0.421833333,0.1397564,1.19E-05,0.000005,ASTM B466-18
data,5,5.562,0.375,Extra Strong,4.812,0.401,0.1262928,1.25E-05,0.000005,ASTM B466-18
data,5,5.562,0.425,Special 3,4.712,0.392666667,0.1210983,1.27E-05,0.000005,ASTM B466-18
data,6,6.625,0.134,Special 1,6.357,0.52975,0.2204103,9.44E-06,0.000005,ASTM B466-18
data,6,6.625,0.25,Regular,6.125,0.510416667,0.204616,9.80E-06,0.000005,ASTM B466-18
data,6,6.625,0.259,Special 2,6.107,0.508916667,0.2034151,9.82E-06,0.000005,ASTM B466-18
data,6,6.625,0.437,Extra Strong,5.751,0.47925,0.1803907,1.04E-05,0.000005,ASTM B466-18
data,6,6.625,0.457,Special 3,5.711,0.475916667,0.1778901,1.05E-05,0.000005,ASTM B466-18
