,numeric,numeric,text,,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Identification,Pipe Schedule,"Min. wall thickness, in.","Approx. ID, in","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,4,4.5,DR32.5-125 psi,,0.138461538,4.214769231,0.351230769,0.096889115,1.42E-05,0.000007
data,5,5.563,DR32.5-125 psi,,0.171169231,5.210391385,0.434199282,0.148070343,1.15E-05,0.000007
data,6,6.625,DR32.5-125 psi,,0.203846154,6.205076923,0.517089744,0.210001177,9.67E-06,0.000007
data,8,8.625,DR32.5-125 psi,,0.265384615,8.078307692,0.673192308,0.355932931,7.43E-06,0.000007
data,10,10.75,DR32.5-125 psi,,0.330769231,10.06861538,0.839051282,0.552925847,5.96E-06,0.000007
data,12,12.75,DR32.5-125 psi,,0.392307692,11.94184615,0.995153846,0.777804288,5.02E-06,0.000007
data,14,14,DR32.5-125 psi,,0.430769231,13.11261538,1.092717949,0.937790945,4.58E-06,0.000007
data,16,16,DR32.5-125 psi,,0.492307692,14.98584615,1.248820513,1.224869805,4.00E-06,0.000007
data,18,18,DR32.5-125 psi,,0.553846154,16.85907692,1.404923077,1.550225847,3.56E-06,0.000007
data,20,20,DR32.5-125 psi,,0.615384615,18.73230769,1.561025641,1.913859071,3.20E-06,0.000007
data,24,24,DR32.5-125 psi,,0.738461538,22.47876923,1.873230769,2.755957062,2.67E-06,0.000007
data,30,30,DR32.5-125 psi,,0.923076923,28.09846154,2.341538462,4.306182909,2.14E-06,0.000007
data,36,36,DR32.5-125 psi,,1.107692308,33.71815385,2.809846154,6.200903389,1.78E-06,0.000007
data,3,3.5,DR41-100 psi,,0.085365854,3.324146341,0.277012195,0.060268122,1.80E-05,0.000007
data,4,4.5,DR32.5-125 psi,,0.109756098,4.273902439,0.356158537,0.099626896,1.40E-05,0.000007
data,5,5.563,DR32.5-125 psi,,0.135682927,5.283493171,0.440291098,0.152254343,1.14E-05,0.000007
data,6,6.625,DR32.5-125 psi,,0.161585366,6.292134146,0.524344512,0.215935146,9.54E-06,0.000007
