,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Average Outside Diameter Tolerance in.,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet",STANDARD 1
data,0.75,0.875,0.001,0.045,0.785,0.065416667,0.003360986,0.030573248,0.002,ASTM B88-22
data,1,1.125,0.0015,0.05,1.025,0.085416667,0.00573027,0.023414634,0.002,ASTM B88-22
data,1.25,1.375,0.0015,0.055,1.265,0.105416667,0.008727873,0.018972332,0.002,ASTM B88-22
data,1.5,1.625,0.002,0.06,1.505,0.125416667,0.012353795,0.015946844,0.002,ASTM B88-22
data,2,2.125,0.002,0.07,1.985,0.165416667,0.021490594,0.01209068,0.002,ASTM B88-22
data,2.5,2.625,0.002,0.08,2.465,0.205416667,0.033140666,0.009736308,0.002,ASTM B88-22
data,3,3.125,0.002,0.09,2.945,0.245416667,0.047304013,0.008149406,0.002,ASTM B88-22
data,3.5,6.625,0.002,0.1,6.425,0.535416667,0.225150882,0.003735409,0.002,ASTM B88-22
data,4,4.125,0.002,0.11,3.905,0.325416667,0.083170529,0.006145967,0.002,ASTM B88-22
data,5,5.125,0.002,0.125,4.875,0.40625,0.129621377,0.004923077,0.002,ASTM B88-22
data,6,6.125,0.002,0.14,5.845,0.487083333,0.186335851,0.004106074,0.002,ASTM B88-22
data,8,8.125,-0.5,0.2,7.725,0.64375,0.325480044,0.003106796,0.002,ASTM B88-22
data,10,10.125,-0.333333333,0.25,9.625,0.802083333,0.505276227,0.002493506,0.002,ASTM B88-22
data,12,12.125,-0.333333333,0.28,11.565,0.96375,0.729488859,0.002075227,0.002,ASTM B88-22
data,0.375,0.5,0.0025,0.025,0.45,0.0375,0.001104466,0.053333333,0.002,ASTM B88-22
data,0.5,0.625,0.0025,0.028,0.569,0.047416667,0.001765842,0.042179262,0.002,ASTM B88-22
data,0.75,0.875,0.003,0.032,0.811,0.067583333,0.003587312,0.029593095,0.002,ASTM B88-22
data,1,1.125,0.0035,0.035,1.055,0.087916667,0.00607061,0.022748815,0.002,ASTM B88-22
