,numeric,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,Nominal Size (DN),"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,2    ,50    ,2.375,,,0.281,1.813,0.1511,0.0179276,0.000993,0.000150
data,2 1/2,65,2.875,STD,40,0.203,2.469,0.2058,0.0332483,0.000729,0.000150
data,2 1/2,65,2.875,XS,80,0.276,2.323,0.1936,0.0294324,0.000775,0.000150
data,2 1/2,65,2.875,XXS,,0.552,1.771,0.1476,0.0171066,0.001016,0.000150
data,2 1/2,65    ,2.875,,5,0.083,2.709,0.2258,0.0400263,0.000664,0.000150
data,2 1/2,65    ,2.875,,10,0.120,2.635,0.2196,0.0378694,0.000683,0.000150
data,2 1/2,65    ,2.875,,30,0.188,2.499,0.2083,0.0340612,0.000720,0.000150
data,2 1/2,65,2.875,,160,0.375,2.125,0.1771,0.0246289,0.000847,0.000150
data,2 1/2,65    ,2.875,,,0.109,2.657,0.2214,0.0385044,0.000677,0.000150
data,2 1/2,65    ,2.875,,,0.125,2.625,0.2188,0.0375825,0.000686,0.000150
data,2 1/2,65    ,2.875,,,0.141,2.593,0.2161,0.0366718,0.000694,0.000150
data,2 1/2,65    ,2.875,,,0.156,2.563,0.2136,0.0358282,0.000702,0.000150
data,2 1/2,65    ,2.875,,,0.172,2.531,0.2109,0.0349391,0.000711,0.000150
data,2 1/2,65    ,2.875,,,0.216,2.443,0.2036,0.0325517,0.000737,0.000150
data,2 1/2,65    ,2.875,,,0.250,2.375,0.1979,0.0307648,0.000758,0.000150
data,3    ,80,3.5,STD,40,0.216,3.068,0.2557,0.0513379,0.000587,0.000150
data,3    ,80,3.5,XS,80,0.300,2.900,0.2417,0.0458694,0.000621,0.000150
data,3    ,80,3.5,XXS,,0.600,2.300,0.1917,0.0288525,0.000783,0.000150
data,3    ,80    ,3.5,,5,0.083,3.334,0.2778,0.0606260,0.000540,0.000150
data,3    ,80    ,3.5,,10,0.120,3.260,0.2717,0.0579646,0.000552,0.000150
data,3    ,80    ,3.5,,30,0.188,3.124,0.2603,0.0532291,0.000576,0.000150
data,3    ,80,3.5,,160,0.438,2.624,0.2187,0.0375539,0.000686,0.000150
data,3    ,80    ,3.5,,,0.109,3.282,0.2735,0.0587495,0.000548,0.000150
data,3    ,80,3.5,,,0.125,3.250,0.2708,0.0576095,0.000554,0.000150
data,3    ,80,3.5,,,0.141,3.218,0.2682,0.0564806,0.000559,0.000150
data,3    ,80,3.5,,,0.156,3.188,0.2657,0.0554324,0.000565,0.000150
data,3    ,80    ,3.5,,,0.172,3.156,0.2630,0.0543252,0.000570,0.000150
data,3    ,80,3.5,,,0.250,3.000,0.2500,0.0490874,0.000600,0.000150
data,3    ,80,3.5,,,0.281,2.938,0.2448,0.0470794,0.000613,0.000150
data,3 1/2,90,4,STD,40,0.226,3.548,0.2957,0.0686585,0.000507,0.000150
data,3 1/2,90,4,XS,80,0.318,3.364,0.2803,0.0617219,0.000535,0.000150
data,3 1/2,90    ,4,,5,0.083,3.834,0.3195,0.0801736,0.000469,0.000150
data,3 1/2,90    ,4,,10,0.120,3.760,0.3133,0.0771086,0.000479,0.000150
data,3 1/2,90    ,4,,30,0.188,3.624,0.3020,0.0716315,0.000497,0.000150
data,3 1/2,90    ,4,,80S,0.318,3.364,0.2803,0.0617219,0.000535,0.000150
data,3 1/2,90    ,4,,,0.109,3.782,0.3152,0.0780136,0.000476,0.000150
data,3 1/2,90,4,,,0.125,3.750,0.3125,0.0766990,0.000480,0.000150
data,3 1/2,90,4,,,0.141,3.718,0.3098,0.0753956,0.000484,0.000150
data,3 1/2,90,4,,,0.156,3.688,0.3073,0.0741838,0.000488,0.000150
data,3 1/2,90    ,4,,,0.172,3.656,0.3047,0.0729021,0.000492,0.000150
data,3 1/2,90,4,,,0.250,3.500,0.2917,0.0668134,0.000514,0.000150
data,3 1/2,90,4,,,0.281,3.438,0.2865,0.0644672,0.000524,0.000150
data,4    ,100,4.5,XS,80,0.337,3.826,0.3188,0.0798394,0.000470,0.000150
data,4    ,100,4.5,XXS,,0.674,3.152,0.2627,0.0541876,0.000571,0.000150
data,4    ,100    ,4.5,,5,0.083,4.334,0.3612,0.1024484,0.000415,0.000150
data,4    ,100    ,4.5,,10,0.120,4.260,0.3550,0.0989798,0.000423,0.000150
data,4    ,100,4.5,,30,0.188,4.124,0.3437,0.0927608,0.000436,0.000150
data,4    ,100,4.5,,40,0.237,4.026,0.3355,0.0884046,0.000447,0.000150
data,4    ,100,4.5,,120,0.438,3.624,0.3020,0.0716315,0.000497,0.000150
data,4    ,100,4.5,,160,0.531,3.438,0.2865,0.0644672,0.000524,0.000150
data,4    ,100    ,4.5,,,0.109,4.282,0.3568,0.1000048,0.000420,0.000150
data,4    ,100,4.5,,,0.125,4.250,0.3542,0.0985157,0.000424,0.000150
data,4    ,100    ,4.5,,,0.141,4.218,0.3515,0.0970377,0.000427,0.000150
data,4    ,100,4.5,,,0.156,4.188,0.3490,0.0956623,0.000430,0.000150
data,4    ,100    ,4.5,,,0.172,4.156,0.3463,0.0942060,0.000433,0.000150
data,4    ,100    ,4.5,,,0.203,4.094,0.3412,0.0914162,0.000440,0.000150
data,4    ,100,4.5,,,0.219,4.062,0.3385,0.0899927,0.000443,0.000150
data,4    ,100,4.5,,,0.250,4.000,0.3333,0.0872665,0.000450,0.000150
data,4    ,100,4.5,,,0.281,3.938,0.3282,0.0845822,0.000457,0.000150
data,4    ,100,4.5,,,0.312,3.876,0.3230,0.0819398,0.000464,0.000150
data,5,125,5.563,STD,40,0.258,5.047,0.4206,0.1389293,0.000357,0.000150
data,5,125,5.563,XS,80,0.375,4.813,0.4011,0.1263453,0.000374,0.000150
data,5,125,5.563,XXS,,0.750,4.063,0.3386,0.0900370,0.000443,0.000150
data,5    ,125    ,5.563,,5,0.109,5.345,0.4454,0.1558199,0.000337,0.000150
data,5    ,125    ,5.563,,10,0.134,5.295,0.4413,0.1529182,0.000340,0.000150
data,5,125,5.563,,120,0.500,4.563,0.3803,0.1135608,0.000394,0.000150
data,5,125,5.563,,160,0.625,4.313,0.3594,0.1014580,0.000417,0.000150
data,5    ,125    ,5.563,,,0.083,5.397,0.4498,0.1588665,0.000334,0.000150
