,numeric,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,Nominal Size (DN),"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,16    ,400    ,16,,,0.750,14.500,1.2083,1.1467359,0.000124,0.000150
data,16    ,400,16,,,0.812,14.376,1.1980,1.1272066,0.000125,0.000150
data,16    ,400    ,16,,,0.875,14.250,1.1875,1.1075341,0.000126,0.000150
data,16    ,400,16,,,0.938,14.124,1.1770,1.0880349,0.000127,0.000150
data,16    ,400    ,16,,,1.000,14.000,1.1667,1.0690142,0.000129,0.000150
data,16    ,400,16,,,1.062,13.876,1.1563,1.0501612,0.000130,0.000150
data,16    ,400    ,16,,,1.125,13.750,1.1458,1.0311760,0.000131,0.000150
data,16    ,400    ,16,,,1.188,13.624,1.1353,1.0123639,0.000132,0.000150
data,16    ,400    ,16,,,1.250,13.500,1.1250,0.9940196,0.000133,0.000150
data,18,450,18,STD,,0.375,17.250,1.4375,1.6229517,0.000104,0.000150
data,18,450,18,XS,,0.500,17.000,1.4167,1.5762505,0.000106,0.000150
data,18    ,450    ,18,,5.0,0.165,17.670,1.4725,1.7029445,0.000102,0.000150
data,18,450,18,,10.0,0.250,17.500,1.4583,1.6703346,0.000103,0.000150
data,18,450,18,,20.0,0.312,17.376,1.4480,1.6467475,0.000104,0.000150
data,18,450,18,,30.0,0.438,17.124,1.4270,1.5993291,0.000105,0.000150
data,18,450,18,,40.0,0.562,16.876,1.4063,1.5533396,0.000107,0.000150
data,18,450,18,,60.0,0.750,16.500,1.3750,1.4848934,0.000109,0.000150
data,18,450,18,,80.0,0.938,16.124,1.3437,1.4179893,0.000112,0.000150
data,18,450,18,,100.0,1.156,15.688,1.3073,1.3423401,0.000115,0.000150
data,18,450,18,,120.0,1.375,15.250,1.2708,1.2684317,0.000118,0.000150
data,18,450,18,,140.0,1.562,14.876,1.2397,1.2069790,0.000121,0.000150
data,18,450,18,,160.0,1.781,14.438,1.2032,1.1369503,0.000125,0.000150
data,18    ,450    ,18,,,0.188,17.624,1.4687,1.6940895,0.000102,0.000150
data,18    ,450    ,18,,,0.219,17.562,1.4635,1.6821911,0.000102,0.000150
data,18,450,18,,,0.281,17.438,1.4532,1.6585201,0.000103,0.000150
data,18,450,18,,,0.344,17.312,1.4427,1.6346391,0.000104,0.000150
data,18,450,18,,,0.406,17.188,1.4323,1.6113062,0.000105,0.000150
data,18,450,18,,,0.469,17.062,1.4218,1.5877688,0.000105,0.000150
data,18    ,450    ,18,,,0.625,16.750,1.3958,1.5302311,0.000107,0.000150
data,18    ,450    ,18,,,0.688,16.624,1.3853,1.5072957,0.000108,0.000150
data,18    ,450    ,18,,,0.812,16.376,1.3647,1.4626589,0.000110,0.000150
data,18    ,450    ,18,,,0.875,16.250,1.3542,1.4402375,0.000111,0.000150
data,18    ,450    ,18,,,1.000,16.000,1.3333,1.3962634,0.000113,0.000150
data,18    ,450    ,18,,,1.062,15.876,1.3230,1.3747052,0.000113,0.000150
data,18    ,450    ,18,,,1.125,15.750,1.3125,1.3529711,0.000114,0.000150
data,18    ,450    ,18,,,1.188,15.624,1.3020,1.3314101,0.000115,0.000150
data,18    ,450    ,18,,,1.250,15.500,1.2917,1.3103605,0.000116,0.000150
data,20,500,20,STD,20.0,0.375,19.250,1.6042,2.0211049,0.000094,0.000150
data,20,500,20,XS,30.0,0.500,19.000,1.5833,1.9689496,0.000095,0.000150
data,20    ,500    ,20,,5.0,0.188,19.624,1.6353,2.1004022,0.000092,0.000150
data,20,500,20,,10.0,0.250,19.500,1.6250,2.0739420,0.000092,0.000150
data,20,500,20,,40.0,0.594,18.812,1.5677,1.9301779,0.000096,0.000150
data,20,500,20,,60.0,0.812,18.376,1.5313,1.8417444,0.000098,0.000150
data,20,500,20,,80.0,1.031,17.938,1.4948,1.7549932,0.000100,0.000150
data,20,500,20,,100.0,1.281,17.438,1.4532,1.6585201,0.000103,0.000150
data,20,500,20,,120.0,1.500,17.000,1.4167,1.5762505,0.000106,0.000150
data,20,500,20,,140.0,1.750,16.500,1.3750,1.4848934,0.000109,0.000150
data,20,500,20,,160.0,1.969,16.062,1.3385,1.4071054,0.000112,0.000150
data,20    ,500    ,20,,,0.219,19.562,1.6302,2.0871511,0.000092,0.000150
data,20,500,20,,,0.281,19.438,1.6198,2.0607748,0.000093,0.000150
data,20,500,20,,,0.312,19.376,1.6147,2.0476496,0.000093,0.000150
data,20,500,20,,,0.344,19.312,1.6093,2.0341449,0.000093,0.000150
data,20,500,20,,,0.406,19.188,1.5990,2.0081068,0.000094,0.000150
data,20,500,20,,,0.438,19.124,1.5937,1.9947334,0.000094,0.000150
data,20,500,20,,,0.469,19.062,1.5885,1.9818205,0.000094,0.000150
data,20    ,500    ,20,,,0.562,18.876,1.5730,1.9433335,0.000095,0.000150
data,20    ,500    ,20,,,0.625,18.750,1.5625,1.9174760,0.000096,0.000150
data,20    ,500    ,20,,,0.688,18.624,1.5520,1.8917917,0.000097,0.000150
data,20    ,500    ,20,,,0.750,18.500,1.5417,1.8666842,0.000097,0.000150
data,20    ,500    ,20,,,0.875,18.250,1.5208,1.8165741,0.000099,0.000150
data,20    ,500    ,20,,,0.938,18.124,1.5103,1.7915771,0.000099,0.000150
data,20    ,500    ,20,,,1.000,18.000,1.5000,1.7671459,0.000100,0.000150
data,20    ,500    ,20,,,1.062,17.876,1.4897,1.7428824,0.000101,0.000150
data,20    ,500    ,20,,,1.125,17.750,1.4792,1.7183994,0.000101,0.000150
data,20    ,500    ,20,,,1.188,17.624,1.4687,1.6940895,0.000102,0.000150
data,20    ,500    ,20,,,1.250,17.500,1.4583,1.6703346,0.000103,0.000150
data,20    ,500    ,20,,,1.312,17.376,1.4480,1.6467475,0.000104,0.000150
data,20    ,500    ,20,,,1.375,17.250,1.4375,1.6229517,0.000104,0.000150
data,22,550,22,STD,20.0,0.375,21.250,1.7708,2.4628914,0.000085,0.000150
data,22,550,22,XS,30.0,0.500,21.000,1.7500,2.4052819,0.000086,0.000150
data,22    ,550    ,22,,5.0,0.188,21.624,1.8020,2.5503481,0.000083,0.000150
data,22,550,22,,10.0,0.250,21.500,1.7917,2.5211826,0.000084,0.000150
data,22,550,22,,60.0,0.875,20.250,1.6875,2.2365440,0.000089,0.000150
data,22,550,22,,80.0,1.125,19.750,1.6458,2.1274609,0.000091,0.000150
data,22,550,22,,100.0,1.375,19.250,1.6042,2.0211049,0.000094,0.000150
data,22,550,22,,120.0,1.625,18.750,1.5625,1.9174760,0.000096,0.000150
data,22,550,22,,140.0,1.875,18.250,1.5208,1.8165741,0.000099,0.000150
data,22,550,22,,160.0,2.125,17.750,1.4792,1.7183994,0.000101,0.000150
data,22    ,550    ,22,,,0.219,21.562,1.7968,2.5357444,0.000083,0.000150
data,22,550,22,,,0.281,21.438,1.7865,2.5066628,0.000084,0.000150
data,22,550,22,,,0.312,21.376,1.7813,2.4921850,0.000084,0.000150
data,22,550,22,,,0.344,21.312,1.7760,2.4772840,0.000084,0.000150
data,22,550,22,,,0.406,21.188,1.7657,2.4485406,0.000085,0.000150
data,22,550,22,,,0.438,21.124,1.7603,2.4337710,0.000085,0.000150
data,22,550,22,,,0.469,21.062,1.7552,2.4195055,0.000085,0.000150
data,22    ,550    ,22,,,0.562,20.876,1.7397,2.3769605,0.000086,0.000150
data,22,550,22,,,0.625,20.750,1.7292,2.3483541,0.000087,0.000150
data,22    ,550    ,22,,,0.688,20.624,1.7187,2.3199210,0.000087,0.000150
data,22    ,550    ,22,,,0.750,20.500,1.7083,2.2921082,0.000088,0.000150
data,22    ,550    ,22,,,0.812,20.376,1.6980,2.2644631,0.000088,0.000150
data,22    ,550    ,22,,,0.938,20.124,1.6770,2.2087980,0.000089,0.000150
data,22    ,550    ,22,,,1.000,20.000,1.6667,2.1816616,0.000090,0.000150
data,22    ,550    ,22,,,1.062,19.876,1.6563,2.1546928,0.000091,0.000150
data,22    ,550    ,22,,,1.188,19.624,1.6353,2.1004022,0.000092,0.000150
data,22    ,550    ,22,,,1.250,19.500,1.6250,2.0739420,0.000092,0.000150
data,22    ,550    ,22,,,1.312,19.376,1.6147,2.0476496,0.000093,0.000150
data,22    ,550    ,22,,,1.438,19.124,1.5937,1.9947334,0.000094,0.000150
data,22    ,550    ,22,,,1.500,19.000,1.5833,1.9689496,0.000095,0.000150
data,24,600,24,STD,20,0.375,23.250,1.9375,2.9483111,0.000077,0.000150
data,24,600,24,XS,,0.500,23.000,1.9167,2.8852474,0.000078,0.000150
data,24    ,600    ,24,,5.0,0.218,23.564,1.9637,3.0284849,0.000076,0.000150
data,24,600,24,,10,0.250,23.500,1.9583,3.0120565,0.000077,0.000150
data,24,600,24,,30,0.562,22.876,1.9063,2.8542208,0.000079,0.000150
data,24,600,24,,40,0.688,22.624,1.8853,2.7916835,0.000080,0.000150
data,24,600,24,,60,0.969,22.062,1.8385,2.6547104,0.000082,0.000150
data,24,600,24,,80,1.219,21.562,1.7968,2.5357444,0.000083,0.000150
data,24,600,24,,100,1.531,20.938,1.7448,2.3911002,0.000086,0.000150
data,24,600,24,,120,1.812,20.376,1.6980,2.2644631,0.000088,0.000150
data,24,600,24,,140,2.062,19.876,1.6563,2.1546928,0.000091,0.000150
data,24,600,24,,160,2.344,19.312,1.6093,2.0341449,0.000093,0.000150
data,24,600,24,,,0.281,23.438,1.9532,2.9961841,0.000077,0.000150
data,24,600,24,,,0.312,23.376,1.9480,2.9803536,0.000077,0.000150
data,24,600,24,,,0.344,23.312,1.9427,2.9640564,0.000077,0.000150
data,24,600,24,,,0.406,23.188,1.9323,2.9326077,0.000078,0.000150
data,24,600,24,,,0.438,23.124,1.9270,2.9164418,0.000078,0.000150
data,24,600,24,,,0.469,23.062,1.9218,2.9008236,0.000078,0.000150
data,24    ,600    ,24,,,0.625,22.750,1.8958,2.8228655,0.000079,0.000150
data,24    ,600    ,24,,,0.750,22.500,1.8750,2.7611654,0.000080,0.000150
data,24    ,600    ,24,,,0.812,22.376,1.8647,2.7308151,0.000080,0.000150
data,24    ,600    ,24,,,0.875,22.250,1.8542,2.7001471,0.000081,0.000150
data,24    ,600    ,24,,,0.938,22.124,1.8437,2.6696522,0.000081,0.000150
data,24    ,600    ,24,,,1.000,22.000,1.8333,2.6398105,0.000082,0.000150
data,24    ,600    ,24,,,1.062,21.876,1.8230,2.6101365,0.000082,0.000150
data,24    ,600    ,24,,,1.125,21.750,1.8125,2.5801557,0.000083,0.000150
data,24    ,600    ,24,,,1.188,21.624,1.8020,2.5503481,0.000083,0.000150
data,24    ,600    ,24,,,1.250,21.500,1.7917,2.5211826,0.000084,0.000150
data,24    ,600    ,24,,,1.312,21.376,1.7813,2.4921850,0.000084,0.000150
data,24    ,600    ,24,,,1.375,21.250,1.7708,2.4628914,0.000085,0.000150
data,24    ,600    ,24,,,1.438,21.124,1.7603,2.4337710,0.000085,0.000150
data,24    ,600    ,24,,,1.500,21.000,1.7500,2.4052819,0.000086,0.000150
data,24    ,600    ,24,,,1.562,20.876,1.7397,2.3769605,0.000086,0.000150
data,26,650,26,STD,,0.375,25.250,2.1042,3.4773640,0.000071,0.000150
data,26,650,26,XS,20.0,0.500,25.000,2.0833,3.4088462,0.000072,0.000150
data,26,650,26,,10.0,0.312,25.376,2.1147,3.5121554,0.000071,0.000150
data,26,650,26,,,0.250,25.500,2.1250,3.5465636,0.000071,0.000150
data,26,650,26,,,0.281,25.438,2.1198,3.5293385,0.000071,0.000150
data,26,650,26,,,0.344,25.312,2.1093,3.4944619,0.000071,0.000150
data,26,650,26,,,0.406,25.188,2.0990,3.4603080,0.000071,0.000150
data,26,650,26,,,0.438,25.124,2.0937,3.4427458,0.000072,0.000150
data,26,650,26,,,0.469,25.062,2.0885,3.4257750,0.000072,0.000150
data,26,650,26,,,0.562,24.876,2.0730,3.3751143,0.000072,0.000150
data,26,650,26,,,0.625,24.75,2.0625,3.3410102,0.000073,0.00015
data,26,650,26,,,0.688,24.624,2.0520,3.3070792,0.000073,0.000150
data,26,650,26,,,0.750,24.500,2.0417,3.2738559,0.000073,0.000150
data,26,650,26,,,0.812,24.376,2.0313,3.2408003,0.000074,0.000150
data,26,650,26,,,0.875,24.250,2.0208,3.2073834,0.000074,0.000150
data,26,650,26,,,0.938,24.124,2.0103,3.1741396,0.000075,0.000150
data,26,650,26,,,1.000,24.000,2.0000,3.1415927,0.000075,0.000150
data,28,700,28,STD,,0.375,27.250,2.2708,4.0500502,0.000066,0.000150
data,28,700,28,XS,20.0,0.500,27.000,2.2500,3.9760782,0.000067,0.000150
data,28,700,28,,10.0,0.312,27.376,2.2813,4.0875904,0.000066,0.000150
data,28,700,28,,30.0,0.625,26.750,2.2292,3.9027880,0.000067,0.000150
data,28,700,28,,,0.250,27.500,2.2917,4.1247039,0.000065,0.000150
data,28,700,28,,,0.281,27.438,2.2865,4.1061262,0.000066,0.000150
data,28,700,28,,,0.344,27.312,2.2760,4.0685007,0.000066,0.000150
data,28,700,28,,,0.406,27.188,2.2657,4.0316415,0.000066,0.000150
data,28,700,28,,,0.438,27.124,2.2603,4.0126831,0.000066,0.000150
data,28,700,28,,,0.469,27.062,2.2552,3.9943597,0.000067,0.000150
data,28,700,28,,,0.562,26.876,2.2397,3.9396411,0.000067,0.000150
data,28,700,28,,,0.688,26.624,2.2187,3.8661081,0.000068,0.000150
data,28,700,28,,,0.750,26.500,2.2083,3.8301796,0.000068,0.000150
data,28,700,28,,,0.812,26.376,2.1980,3.7944187,0.000068,0.000150
data,28,700,28,,,0.875,26.250,2.1875,3.7582529,0.000069,0.000150
data,28,700,28,,,0.938,26.124,2.1770,3.7222603,0.000069,0.000150
data,28,700,28,,,1.000,26.000,2.1667,3.6870080,0.000069,0.000150
data,30,750,30,STD,,0.375,29.250,2.4375,4.6663696,0.000062,0.000150
data,30,750,30,XS,20.0,0.500,29.000,2.4167,4.5869434,0.000062,0.000150
data,30    ,750    ,30,,5.0,0.250,29.500,2.4583,4.7464774,0.000061,0.000150
data,30,750,30,,10.0,0.312,29.376,2.4480,4.7066587,0.000061,0.000150
data,30,750,30,,30.0,0.625,28.750,2.3958,4.5081991,0.000063,0.000150
data,30,750,30,,,0.281,29.438,2.4532,4.7265471,0.000061,0.000150
data,30,750,30,,,0.344,29.312,2.4427,4.6861727,0.000061,0.000150
data,30,750,30,,,0.406,29.188,2.4323,4.6466083,0.000062,0.000150
data,30,750,30,,,0.438,29.124,2.4270,4.6262536,0.000062,0.000150
data,30,750,30,,,0.469,29.062,2.4218,4.6065775,0.000062,0.000150
data,30    ,750,30,,,0.562,28.876,2.4063,4.5478010,0.000062,0.000150
data,30    ,750,30,,,0.688,28.624,2.3853,4.4687703,0.000063,0.000150
data,30    ,750    ,30,,,0.750,28.500,2.3750,4.4301365,0.000063,0.000150
data,30    ,750,30,,,0.812,28.376,2.3647,4.3916704,0.000063,0.000150
data,30    ,750    ,30,,,0.875,28.250,2.3542,4.3527557,0.000064,0.000150
data,30    ,750,30,,,0.938,28.124,2.3437,4.3140142,0.000064,0.000150
data,30    ,750    ,30,,,1.000,28.000,2.3333,4.2760567,0.000064,0.000150
data,30    ,750,30,,,1.062,27.876,2.3230,4.2382669,0.000065,0.000150
data,30    ,750    ,30,,,1.125,27.750,2.3125,4.2000394,0.000065,0.000150
data,30    ,750,30,,,1.188,27.624,2.3020,4.1619851,0.000065,0.000150
data,30    ,750    ,30,,,1.250,27.500,2.2917,4.1247039,0.000065,0.000150
data,32,800,32,STD,,0.375,31.250,2.6042,5.3263222,0.000058,0.000150
data,32,800,32,XS,20.0,0.500,31.000,2.5833,5.2414419,0.000058,0.000150
data,32,800,32,,10.0,0.312,31.376,2.6147,5.3693602,0.000057,0.000150
data,32,800,32,,30.0,0.625,30.750,2.5625,5.1572434,0.000059,0.000150
data,32,800,32,,40.0,0.688,30.624,2.5520,5.1150658,0.000059,0.000150
data,32    ,800    ,32,,,0.250,31.500,2.6250,5.4118842,0.000057,0.000150
data,32,800,32,,,0.281,31.438,2.6198,5.3906013,0.000057,0.000150
data,32,800,32,,,0.344,31.312,2.6093,5.3474780,0.000057,0.000150
data,32,800,32,,,0.406,31.188,2.5990,5.3052083,0.000058,0.000150
data,32,800,32,,,0.438,31.124,2.5937,5.2834573,0.000058,0.000150
data,32,800,32,,,0.469,31.062,2.5885,5.2624286,0.000058,0.000150
data,32    ,800    ,32,,,0.562,30.876,2.5730,5.1995942,0.000058,0.000150
data,32    ,800    ,32,,,0.750,30.500,2.5417,5.0737267,0.000059,0.000150
data,32    ,800    ,32,,,0.812,30.376,2.5313,5.0325553,0.000059,0.000150
data,32    ,800    ,32,,,0.875,30.250,2.5208,4.9908917,0.000060,0.000150
data,32    ,800    ,32,,,0.938,30.124,2.5103,4.9494013,0.000060,0.000150
data,32    ,800    ,32,,,1.000,30.000,2.5000,4.9087385,0.000060,0.000150
data,32    ,800    ,32,,,1.062,29.876,2.4897,4.8682435,0.000060,0.000150
data,32    ,800    ,32,,,1.125,29.750,2.4792,4.8272671,0.000061,0.000150
data,32    ,800    ,32,,,1.188,29.624,2.4687,4.7864639,0.000061,0.000150
data,32    ,800    ,32,,,1.250,29.500,2.4583,4.7464774,0.000061,0.000150
data,34,850,34,STD,,0.375,33.250,2.7708,6.0299080,0.000054,0.000150
data,34,850,34,XS,20.0,0.500,33.000,2.7500,5.9395736,0.000055,0.000150
data,34,850,34,,10.0,0.312,33.376,2.7813,6.0756950,0.000054,0.000150
data,34,850,34,,30.0,0.625,32.750,2.7292,5.8499210,0.000055,0.000150
data,34,850,34,,40.0,0.688,32.624,2.7187,5.8049944,0.000055,0.000150
data,34,850,34,,,0.250,33.500,2.7917,6.1209242,0.000054,0.000150
data,34,850,34,,,0.281,33.438,2.7865,6.0982886,0.000054,0.000150
data,34,850,34,,,0.344,33.312,2.7760,6.0524165,0.000054,0.000150
data,34,850,34,,,0.406,33.188,2.7657,6.0074415,0.000054,0.000150
data,34,850,34,,,0.438,33.124,2.7603,5.9842943,0.000054,0.000150
data,34,850,34,,,0.469,33.062,2.7552,5.9619130,0.000054,0.000150
data,34,850,34,,,0.562,32.876,2.7397,5.8950207,0.000055,0.000150
data,34,850,34,,,0.750,32.500,2.7083,5.7609501,0.000055,0.000150
data,34,850,34,,,0.812,32.376,2.6980,5.7170735,0.000056,0.000150
data,34,850,34,,,0.875,32.250,2.6875,5.6726610,0.000056,0.000150
data,34,850,34,,,0.938,32.124,2.6770,5.6284216,0.000056,0.000150
data,34,850,34,,,1.000,32.000,2.6667,5.5850536,0.000056,0.000150
data,34,850,34,,,1.062,31.876,2.6563,5.5418533,0.000056,0.000150
data,34,850,34,,,1.125,31.750,2.6458,5.4981280,0.000057,0.000150
data,34,850,34,,,1.188,31.624,2.6353,5.4545759,0.000057,0.000150
data,34,850,34,,,1.250,31.500,2.6250,5.4118842,0.000057,0.000150
data,36,900,36,STD,,0.375,35.250,2.9375,6.7771271,0.000051,0.000150
data,36,900,36,XS,20.0,0.500,35.000,2.9167,6.6813385,0.000051,0.000150
data,36,900,36,,10.0,0.312,35.376,2.9480,6.8256630,0.000051,0.000150
data,36,900,36,,30.0,0.625,34.750,2.8958,6.5862317,0.000052,0.000150
data,36,900,36,,40.0,0.750,34.500,2.8750,6.4918067,0.000052,0.000150
data,36,900,36,,,0.250,35.500,2.9583,6.8735975,0.000051,0.000150
data,36,900,36,,,0.281,35.438,2.9532,6.8496092,0.000051,0.000150
data,36,900,36,,,0.344,35.312,2.9427,6.8009882,0.000051,0.000150
data,36,900,36,,,0.406,35.188,2.9323,6.7533080,0.000051,0.000150
data,36,900,36,,,0.438,35.124,2.9270,6.7287645,0.000051,0.000150
data,36,900,36,,,0.469,35.062,2.9218,6.7050305,0.000051,0.000150
data,36,900,36,,,0.562,34.876,2.9063,6.6340803,0.000052,0.000150
data,36,900,36,,,0.688,34.624,2.8853,6.5385563,0.000052,0.000150
data,36,900,36,,,0.812,34.376,2.8647,6.4452248,0.000052,0.000150
data,36,900,36,,,0.875,34.250,2.8542,6.3980634,0.000053,0.000150
data,36,900,36,,,0.938,34.124,2.8437,6.3510752,0.000053,0.000150
data,36,900,36,,,1.000,34.000,2.8333,6.3050019,0.000053,0.000150
