,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,8,8.625,,100,0.594,7.437,0.6198,0.3016636,0.000008,0.000005
data,8,8.625,,120,0.719,7.187,0.5989,0.2817232,0.000008,0.000005
data,8,8.625,,140,0.812,7.001,0.5834,0.2673299,0.000009,0.000005
data,8,8.625,,160,0.906,6.813,0.5678,0.2531653,0.000009,0.000005
data,10,10.75,STD,40,0.365,10.02,0.835,0.5475992,0.000006,0.000005
data,10,10.75,XS,60,0.5,9.75,0.8125,0.5184855,0.000006,0.000005
data,10,10.75,,5,0.134,10.482,0.8735,0.5992606,0.000006,0.000005
data,10,10.75,,10,0.165,10.42,0.8683,0.5921924,0.000006,0.000005
data,10,10.75,,20,0.25,10.25,0.8542,0.573027,0.000006,0.000005
data,10,10.75,,30,0.307,10.136,0.8447,0.5603516,0.000006,0.000005
data,10,10.75,,80,0.594,9.562,0.7968,0.4986833,0.000006,0.000005
data,10,10.75,,100,0.719,9.312,0.776,0.4729479,0.000006,0.000005
data,12,12.75,,5,0.156,12.438,1.0365,0.8437786,0.000005,0.000005
data,12,12.75,,10,0.18,12.39,1.0325,0.8372786,0.000005,0.000005
data,12,12.75,,20,0.25,12.25,1.0208,0.818464,0.000005,0.000005
data,12,12.75,,30,0.33,12.09,1.0075,0.7972233,0.000005,0.000005
data,12,12.75,,40,0.406,11.938,0.994833333,0.7773033,5.03E-06,0.000005
data,12,12.75,,60,0.562,11.626,0.968833333,0.7372046,5.16E-06,0.000005
data,12,12.75,,80,0.688,11.374,0.947833333,0.7055923,5.28E-06,0.000005
