,numeric,numeric,numeric
heading,Alloy,"Nominal Composition, Copper, percent","Nominal Composition, Nickel, percent"
data,C 70400,95,5
data,C 70600,90,10
data,C 71000,80,20
data,C 71500,70,30
data,C 72200,60,40
