,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal size,"Outside diameter, inches",Pipe schedule,"Wall thickness, inches","Internal diameter, inches","Internal diameter, feet","Internal area, square feet","e/D, Relative roughness","e, Absolute roughness, feet"
data,14,14,40S,0.375,13.25,1.104166667,0.957544896,4.5283E-05,0.00005
data,14,14,80S,0.5,13,1.083333333,0.921752011,4.61538E-05,0.00005
data,16,16,5S,0.165,15.67,1.305833333,1.339261494,3.82897E-05,0.00005
data,16,16,10S,0.188,15.624,1.302,1.331410108,3.84025E-05,0.00005
data,16,16,40S,0.375,15.25,1.270833333,1.268431669,3.93443E-05,0.00005
data,16,16,80S,0.5,15,1.25,1.22718463,0.00004,0.00005
data,18,18,5S,0.165,17.67,1.4725,1.702944477,3.39559E-05,0.00005
data,18,18,10S,0.188,17.624,1.468666667,1.694089527,3.40445E-05,0.00005
data,18,18,40S,0.375,17.25,1.4375,1.622951674,3.47826E-05,0.00005
data,18,18,80S,0.5,17,1.416666667,1.576250481,3.52941E-05,0.00005
data,20,20,5S,0.188,19.624,1.635333333,2.100402177,3.05748E-05,0.00005
data,20,20,10S,0.218,19.564,1.630333333,2.087577934,3.06686E-05,0.00005
data,20,20,40S,0.375,19.25,1.604166667,2.021104909,3.11688E-05,0.00005
data,20,20,80S,0.5,19,1.583333333,1.968949562,3.15789E-05,0.00005
data,22,22,5S,0.188,21.624,1.802,2.550348058,2.77469E-05,0.00005
data,22,22,10S,0.218,21.564,1.797,2.536214818,2.78242E-05,0.00005
data,24,24,5S,0.218,23.564,1.963666667,3.028484933,2.54626E-05,0.00005
data,24,24,10S,0.25,23.5,1.958333333,3.012056498,2.55319E-05,0.00005
data,24,24,40S,0.375,23.25,1.9375,2.948311074,2.58065E-05,0.00005
data,24,24,80S,0.5,23,1.916666667,2.88524742,2.6087E-05,0.00005
data,30,30,5S,0.25,29.5,2.458333333,4.746477442,2.0339E-05,0.00005
data,30,30,10S,0.312,29.376,2.448,4.706658715,2.04248E-05,0.00005
