,numeric,numeric,numeric,numeric,numeric,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,DN,Nominal Outside dia [in],Outside Diameter (Min),Outside Diameter (Max),"Standard
X-Strong
XX-Strong",Pipe Schedule,"Wall Thickness
in. Nom","Wall Thickness, in. Min","Wall Thickness, in. Maxc",Wall Thickness Tolerance +/-,"Wall Thickness Tolerance, Average Outside Diameter, all minus",Internal Diameter in. Nom,Internal Area Square Inches,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)","t/D, Ratio of Nominal Wall Thickness to Nominal Outside Diameter","Diameter Roundness Tolerances, percent of outside diameter (Expressed to the nearest 0.001 in. Neareast 0.01 mm.","Diameter Roundness Tolerances, (Expressed to the nearest 0.001 in. Nearest 0.01 mm.)","Plain-End Weight
lb/ft Nom","Plain-End Weight
lb/ft Max"
data,2.5,,2.375,2.844,2.906,,5,0.083,0.071,0.095,,,2.209,3.8325,0.1841,0.02661,0.000037,0.000007,,,,0.856,--
data,2.5,,2.375,2.844,2.906,,10,0.120,0.105,0.135,,,2.135,3.5800,0.1779,0.02486,0.000038,0.000007,,,,1.221,--
data,2.5,,2.375,2.846,2.904,,40,0.203,0.178,--,,,1.969,3.0450,0.1641,0.02115,0.000041,0.000007,,,,2.004,2.164
data,2.5,,2.375,2.846,2.904,,80,0.276,0.242,--,,,1.823,2.6101,0.1519,0.01813,0.000045,0.000007,,,,2.65,2.862
data,2.5,,2.375,2.846,2.904,,160,0.375,0.328,--,,,1.625,2.0739,0.1354,0.01440,0.000050,0.000007,,,,3.464,3.741
data,3,,3.5,3.469,3.531,,5,0.083,0.071,0.095,,,3.334,8.7301,0.2778,0.06063,0.000024,0.000007,,,,1.048000,--
data,3,,3.5,3.469,3.531,,10,0.120,0.105,0.135,,,3.260,8.3469,0.2717,0.05796,0.000025,0.000007,,,,1.498000,--
data,3,,3.5,3.465,3.535,,40,0.216,0.189,--,,,3.068,7.3927,0.2557,0.05134,0.000027,0.000007,,,,2.621000,0.283000
data,3,,3.5,3.465,3.535,,80,0.300,0.262,--,,,2.900,6.6052,0.2417,0.04587,0.000028,0.000007,,,,3.547000,3.830000
data,3,,3.5,3.465,3.535,,160,0.438,0.383,--,,,2.624,5.4078,0.2187,0.03755,0.000031,0.000007,,,,4.955000,5.351000
data,3.5,,4,3.969,4.031,,5,0.083,0.071,0.095,,,3.834,11.5450,0.3195,0.08017,0.000021,0.000007,,,,1.201000,--
data,3.5,,4,3.969,4.031,,10,0.120,0.105,0.135,,,3.760,11.1036,0.3133,0.07711,0.000022,0.000007,,,,1.720000,--
data,3.5,,4,3.96,4.04,,40,0.226,0.198,--,,,3.548,9.8868,0.2957,0.06866,0.000023,0.000007,,,,3.151000,3.403000
data,3.5,,4,3.96,4.04,,80,0.318,0.278,--,,,3.364,8.8880,0.2803,0.06172,0.000024,0.000007,,,,4.326000,4.672000
