,numeric,numeric,text,,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Identification,Pipe Schedule,"Min. wall thickness, in.","Approx. ID, in","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,48,50.8,DR41-100 psi,,1.23902439,48.24760976,4.020634146,12.69635318,1.24E-06,0.000007
data,48,50.8,DR51 - 80 psi,,0.996078431,48.74807843,4.062339869,12.96111583,1.23E-06,0.000007
data,54,57.56,DR25-165 psi,,2.3024,52.817056,4.401421333,15.21513358,1.14E-06,0.000007
data,54,57.56,DR27.5-150 psi,,2.093090909,53.24823273,4.437352727,15.46456777,1.13E-06,0.000007
data,54,57.56,DR32.5-125 psi,,1.771076923,53.91158154,4.492631795,15.85227268,1.11E-06,0.000007
data,54,57.56,DR41-100 psi,,1.403902439,54.66796098,4.555663415,16.30020779,1.10E-06,0.000007
data,54,57.56,DR51 - 80 psi,,1.128627451,55.23502745,4.602918954,16.64012321,1.09E-06,0.000007
data,60,61.61,DR25-165 psi,,2.4644,56.533336,4.711111333,17.43157451,1.06E-06,0.000007
data,60,61.61,DR27.5-150 psi,,2.240363636,56.99485091,4.749570909,17.71734464,1.05E-06,0.000007
data,60,61.61,DR32.5-125 psi,,1.895692308,57.70487385,4.808739487,18.16152785,1.04E-06,0.000007
data,60,61.61,DR41-100 psi,,1.502682927,58.51447317,4.876206098,18.67471522,1.03E-06,0.000007
data,60,61.61,DR51 - 80 psi,,1.208039216,59.12143922,4.926786601,19.06414729,1.01E-06,0.000007
