,numeric,numeric,numeric,numeric,numeric
heading,Discharge (CFS),Discharge (GPM),V (ft/sec),V2/2g (feet),hf (feet / 100 feet of pipe)
data,0.00156,0.7,0.739,0.00849,0.74
data,0.00223,1.0,1.056,0.0173,1.86
data,0.00334,1.5,1.58,0.039,2.85
data,0.00446,2.0,2.11,0.693,4.78
data,0.00557,2.5,2.64,0.108,7.16
data,0.00668,3.0,3.17,0.156,10
data,0.00780,3.5,3.7,0.212,13.3
data,0.00891,4.0,4.22,0.277,17.1
data,0.01000,4.5,4.75,0.351,21.3
data,0.01110,5.0,5.28,0.433,25.8
data,0.01230,5.5,5.81,0.524,30.9
data,0.01340,6.0,6.34,0.624,36.5
data,0.01490,6.5,6.86,0.732,42.4
data,0.01560,7.0,7.39,0.849,48.7
data,0.01670,7.5,7.92,0.975,55.5
data,0.01780,8.0,8.45,1.11,62.7
data,0.01890,8.5,8.98,1.25,70.3
data,0.0201,9.0,9.5,1.4,78.3
data,0.0212,9.5,10.03,1.56,86.9
data,0.02230,10.0,10.56,1.73,95.9
data,0.02450,11.0,11.6,2.1,115
data,0.02670,12.0,12.7,2.49,136
data,0.02900,13.0,13.7,2.93,159
data,0.03120,14.0,14.8,3.4,183
data,0.03340,15.0,15.8,3.9,209
