,numeric,numeric,numeric,numeric
heading,Discharge (m3/h),V (m/sec),V2/2g (m),hf (m / 100 m of pipe)
data,0.341,0.098,0.000491,0.0623
data,0.454,0.131,0.000872,0.102
data,0.681,0.196,0.00196,0.207
data,0.908,0.262,0.00349,0.342
data,1.136,0.327,0.00546,0.508
data,1.363,0.393,0.00783,0.704
data,1.590,0.457,0.0107,0.93
data,1.817,0.524,0.0140,1.18
data,2.044,0.588,0.0176,1.46
data,2.271,0.655,0.0218,1.77
data,2.725,0.783,0.0314,2.48
data,3.180,0.914,0.0427,3.28
data,3.634,1.045,0.0558,4.2
data,4.088,1.177,0.0707,5.22
data,4.542,1.308,0.0872,6.34
data,4.997,1.439,0.105,7.58
data,5.451,1.570,0.126,8.92
data,5.905,1.701,0.147,10.37
data,6.359,1.832,0.171,11.9
data,6.814,1.963,0.196,13.6
data,7.268,2.091,0.223,15.3
data,7.722,2.222,0.252,17.2
data,8.176,2.353,0.283,19.2
data,8.631,2.484,0.315,21.3
data,9.085,2.615,0.347,23.5
data,9.539,2.746,0.384,25.8
data,9.993,2.877,0.421,28.2
data,10.448,3.008,0.460,30.7
data,10.902,3.139,0.503,33.3
data,11.356,3.261,0.546,36
data,12.492,3.597,0.658,43.2
data,13.627,3.932,0.783,51
data,14.763,4.237,0.920,59.6
data,15.899,4.572,1.067,68.8
data,17.034,4.907,1.225,78.7
data,18.170,5.243,1.396,89.2
data,19.306,5.547,1.576,100.2
data,20.441,5.883,1.765,112
data,21.577,6.218,1.966,124
data,22.712,6.553,2.179,138
data,24.984,7.193,2.637,166
data,27.255,7.833,3.139,197
data,29.526,8.504,3.688,230
data,31.797,9.144,4.267,267
data,34.069,9.815,4.907,306
