,numeric,numeric,numeric,numeric,numeric,
heading,Discharge (CFS),Discharge (GPM),V (ft/sec),V2/2g (feet),hf (feet / 100 feet of pipe),
data,0.00668,3.0,0.201,0.000628,0.0129,
data,0.00891,4.0,0.268,0.00112,0.0213,
data,0.0134,6.0,0.402,0.00251,0.0432,
data,0.0178,8.0,0.536,0.00447,0.0712,
data,0.0223,10.0,0.67,0.00698,0.105,
data,0.0267,12.0,0.804,0.01,0.145,
data,0.0312,14.0,0.938,0.0137,0.191,
data,0.0356,16.0,1.07,0.0179,0.243,
data,0.0401,18.0,1.21,0.0226,0.3,
data,0.0446,20.0,1.34,0.0279,0.362,
data,0.049,22.0,1.47,0.0338,0.43,
data,0.0535,24.0,1.61,0.0402,0.502,
data,0.0579,26.0,1.74,0.0472,0.58,
data,0.0624,28.0,1.88,0.0547,0.663,
data,0.0668,30.0,2.01,0.0628,0.753,
data,0.078,35.0,2.35,0.0855,1.0,
data,0.0891,40.0,2.68,0.112,1.28,
data,0.1,45.0,3.02,0.141,1.6,
data,0.111,50.0,3.35,0.174,1.94,
data,0.123,55.0,3.69,0.211,2.32,
data,0.134,60.0,4.02,0.251,2.72,
data,0.145,65.0,4.36,0.295,3.16,
data,0.156,70.0,4.69,0.342,3.63,
data,0.167,75.0,5.03,0.393,4.13,
data,0.178,80.0,5.36,0.447,4.66,
data,0.189,85.0,5.7,0.504,5.2,
data,0.201,90.0,6.03,0.565,5.8,
data,0.212,95.0,6.37,0.63,6.5,
data,0.223,100,6.7,0.698,7.1,
data,0.245,110,7.37,0.844,8.5,
data,0.267,120,8.04,1.00,10.0,
data,0.29,130,8.71,1.18,11.7,
data,0.312,140,9.38,1.37,13.5,
data,0.334,150,10.05,1.57,15.4,
data,0.356,160,10.7,1.79,17.4,
data,0.379,170,11.4,2.02,19.6,
data,0.401,180,12.1,2.26,21.9,
data,0.423,190,12.7,2.52,24.2,
data,0.446,200,13.4,2.79,26.7,
data,0.49,220,14.7,3.38,32.2,
data,0.535,240,16.1,4.02,38.1,
data,0.579,260,17.4,4.72,44.5,
data,0.624,280,18.8,5.47,51.3,
data,0.668,300,20.1,6.28,58.5,
data,0.78,350,23.5,8.55,79.2,
data,0.891,400,26.8,11.2,103,
data,1.003,450,30.2,14.1,130,
data,1.114,500,33.5,17.4,160,
data,1.225,550,36.9,21.1,193,
data,1.337,600,40.2,25.1,230,
