,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Head,,Nozzle Velocity,Nozzle Diameter (inches),,,,,,,,,,,,,,,,,,,,,,,,,
heading,(Bar),(m),(m/s),0.06,0.125,0.188,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.75,2,2.25,2.5,2.75,3,3.5,4,4.5,5,5.5,6
data,12.5,127.375,50,0.9,3.5,7.8,13.9,31.2,55.4,86.6,124.7,169.7,221.6,280.5,346.3,419,498.6,678.7,886.5,1121.9,1385.1,1675.9,1994.5,2714.8,3545.8,4487.7,5540.3,6703.8,7978.1
data,13,132.47,51,0.9,3.5,7.9,14.1,31.8,56.5,88.3,127.1,173,226,286,353.1,427.3,508.5,692.1,904,1144.1,1412.5,1709.1,2034,2768.5,3616,4576.5,5650,6836.6,8136.1
data,13.5,137.565,52,0.9,3.6,8.1,14.4,32.4,57.6,90,129.5,176.3,230.3,291.5,359.9,435.4,518.2,705.3,921.2,1165.9,1439.4,1741.7,2072.8,2821.3,3684.9,4663.7,5757.7,6966.8,8291
data,14,142.66,52.9,0.9,3.7,8.2,14.7,33,58.6,91.6,131.9,179.6,234.5,296.8,366.5,443.4,527.7,718.3,938.1,1187.3,1465.8,1773.7,2110.8,2873,3752.5,4749.3,5863.3,7094.6,8443.2
data,14.5,147.755,53.8,0.9,3.7,8.4,14.9,33.6,59.7,93.2,134.3,182.7,238.7,302.1,372.9,451.3,537,731,954.7,1208.3,1491.8,1805.1,2148.2,2923.9,3819,4833.4,5967.1,7220.2,8592.6
data,15,152.85,54.8,0.9,3.8,8.5,15.2,34.1,60.7,94.8,136.6,185.9,242.8,307.2,379.3,459,546.2,743.5,971.1,1229,1517.3,1835.9,2184.9,2973.9,3884.2,4916,6069.1,7343.6,8739.5
data,16,163.04,56.6,1,3.9,8.8,15.7,35.3,62.7,97.9,141,192,250.7,317.3,391.8,474,564.1,767.8,1002.9,1269.3,1567,1896.1,2256.5,3071.4,4011.6,5077.2,6268.2,7584.5,9026.2
data,17,173.23,58.3,1,4,9.1,16.2,36.3,64.6,101,145.4,197.9,258.4,327.1,403.8,488.6,581.5,791.5,1033.8,1308.4,1615.3,1954.5,2326,3165.9,4135.1,5233.5,6461.1,7817.9,9303.9
data,18,183.42,60,1,4.2,9.3,16.6,37.4,66.5,103.9,149.6,203.6,265.9,336.6,415.5,502.8,598.4,814.4,1063.7,1346.3,1662.1,2011.1,2393.4,3257.7,4255,5385.2,6648.4,8044.5,9573.7
data,19,193.61,61.6,1.1,4.3,9.6,17.1,38.4,68.3,106.7,153.7,209.2,273.2,345.8,426.9,516.6,614.8,836.7,1092.9,1383.2,1707.6,2066.2,2459,3347,4371.6,5532.8,6830.6,8265,9836
data,20,203.8,63.2,1.1,4.4,9.9,17.5,39.4,70.1,109.5,157.7,214.6,280.3,354.8,438,530,630.7,858.5,1121.3,1419.1,1752,2119.9,2522.9,3433.9,4485.1,5676.5,7008,8479.7,10091.5
