,numeric,numeric,numeric,numeric,numeric,
heading,Discharge (CFS),Discharge (GPM),V (ft/sec),V2/2g (feet),hf (feet / 100 feet of pipe),
data,0.00334,1.5,0.236,0.000868,0.03,
data,0.00446,2.0,0.315,0.00154,0.0492,
data,0.00668,3.0,0.473,0.00347,0.0988,
data,0.00891,4.0,0.63,0.00618,0.164,
data,0.0111,5.0,0.788,0.00965,0.242,
data,0.0134,6.0,0.946,0.0139,0.333,
data,0.0156,7.0,1.103,0.0189,0.439,
data,0.0178,8.0,1.26,0.0247,0.558,
data,0.0201,9.0,1.42,0.0313,0.689,
data,0.0223,10.0,1.58,0.0386,0.829,
data,0.0267,12.0,1.89,0.0556,1.16,
data,0.0312,14.0,2.21,0.0756,1.53,
data,0.0356,16.0,2.52,0.0988,1.96,
data,0.0401,18.0,2.84,0.125,2.42,
data,0.0446,20.0,3.15,0.154,2.94,
data,0.049,22.0,3.47,0.187,3.52,
data,0.0535,24.0,3.78,0.222,4.14,
data,0.0579,26.0,4.1,0.261,4.81,
data,0.0624,28.0,4.41,0.303,5.51,
data,0.0668,30.0,4.73,0.347,6.26,
data,0.0713,32.0,5.04,0.395,7.07,
data,0.0758,34.0,5.36,0.446,7.92,
data,0.0802,36.0,5.67,0.5,8.82,
data,0.0847,38.0,5.99,0.577,9.78,
data,0.0891,40.0,6.3,0.618,10.79,
data,0.0936,42.0,6.62,0.681,11.8,
data,0.098,44.0,6.93,0.747,12.9,
data,0.102,46.0,7.25,0.817,14.0,
data,0.107,48.0,7.56,0.889,15.2,
data,0.111,50.0,7.88,0.965,16.4,
data,0.123,55.0,8.67,1.17,19.7,
data,0.134,60.0,9.46,1.39,23.2,
data,0.145,65.0,10.24,1.63,27.1,
data,0.156,70.0,11.03,1.89,31.3,
data,0.167,75.0,11.8,2.17,35.8,
data,0.178,80.0,12.6,2.47,40.5,
data,0.189,85.0,13.4,2.79,45.6,
data,0.201,90.0,14.2,3.13,51.0,
data,0.212,95.0,15,3.48,56.5,
data,0.223,100,15.8,3.86,62.2,
data,0.245,110,17.3,4.67,74.5,
data,0.267,120,18.9,5.56,88.3,
data,0.29,130,20.5,6.52,103,
data,0.312,140,22.1,7.56,119,
data,0.334,150,23.6,8.68,137,
data,0.356,160,25.2,9.88,156,
data,0.379,170,26.8,11.15,175,
data,0.401,180,28.4,12.5,196,
data,0.423,190,29.9,13.9,218,
data,0.446,200,31.5,15.4,241,
