,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temp (°F),Pressure (psia),Density (lbm/ft³),Volume (ft³/lbm),Internal Energy (Btu/lbm),Enthalpy (Btu/lbm),Entropy (Btu/lbm°R),Cv (Btu/lbm°R),Cp (Btu/lbm°R),Sound Spd. (ft/s),Joule-Thomson (F/psia),Viscosity (lbm/ft-s),Therm. Cond. (W/m°K)
data,480,565.95,1.2226,0.81791,1119.4,1205.1,1.4531,0.58693,0.95129,1646.5,0.2011,0.0000117,0.050971
data,490,621.23,1.346,0.74293,1118.8,1204.3,1.4438,0.5987,0.98876,1642.5,0.19227,0.0000119,0.052461
data,500,680.55,1.4803,0.67555,1118,1203.1,1.4344,0.61078,1.0295,1637.8,0.18391,0.000012,0.054032
data,510,744.11,1.6264,0.61486,1116.9,1201.6,1.425,0.6232,1.0741,1632.3,0.17597,0.0000122,0.055698
data,520,812.1,1.7855,0.56007,1115.5,1199.8,1.4155,0.636,1.1231,1626,0.16842,0.0000123,0.057477
data,530,884.74,1.9589,0.51049,1113.9,1197.5,1.4059,0.6492,1.1772,1618.7,0.16123,0.0000125,0.05939
data,540,962.24,2.1481,0.46553,1111.9,1194.8,1.3962,0.66285,1.2374,1610.5,0.15437,0.0000126,0.061465
data,550,1044.8,2.3548,0.42466,1109.5,1191.7,1.3863,0.67699,1.3048,1601.3,0.14781,0.0000128,0.063736
data,560,1132.7,2.5812,0.38742,1106.8,1188,1.3762,0.69165,1.381,1591.1,0.14152,0.000013,0.066245
data,570,1226.2,2.8296,0.35341,1103.6,1183.8,1.3658,0.7069,1.4677,1579.6,0.13548,0.0000132,0.069048
data,580,1325.5,3.103,0.32227,1099.9,1179,1.3552,0.7228,1.5675,1566.9,0.12965,0.0000134,0.072215
data,590,1430.8,3.4049,0.29369,1095.8,1173.6,1.3443,0.73941,1.6838,1552.9,0.12401,0.0000136,0.075836
data,600,1542.5,3.7398,0.26739,1091,1167.4,1.3329,0.75682,1.821,1537.3,0.11854,0.0000138,0.080032
data,610,1660.9,4.1134,0.24311,1085.6,1160.3,1.321,0.77515,1.9855,1520.1,0.11319,0.0000141,0.08496
data,620,1786.2,4.5327,0.22062,1079.3,1152.3,1.3085,0.79454,2.1869,1501.1,0.10794,0.0000143,0.090838
data,630,1918.9,5.0074,0.19971,1072.2,1143.1,1.2953,0.81519,2.4392,1479.9,0.10276,0.0000146,0.097967
data,640,2059.2,5.5504,0.18017,1063.9,1132.6,1.2812,0.83739,2.7654,1456.2,0.097587,0.000015,0.10678
data,650,2207.8,6.1806,0.1618,1054.3,1120.4,1.2659,0.86158,3.2045,1429.5,0.092383,0.0000154,0.11793
data,660,2364.9,6.9258,0.14439,1042.9,1106.1,1.2491,0.88849,3.8305,1399,0.087067,0.0000159,0.13248
data,670,2531.2,7.8318,0.12768,1029.1,1088.9,1.2301,0.91949,4.802,1363.4,0.081529,0.0000165,0.15234
data,680,2707.3,8.9833,0.11132,1011.8,1067.6,1.2078,0.95764,6.5383,1320.1,0.075566,0.0000173,0.18151
data,690,2894,10.575,0.094561,988.35,1039,1.1798,1.0117,10.639,1262.7,0.068695,0.0000184,0.23164
data,700,3093,13.37,0.074795,948.82,991.66,1.1361,1.1273,32.942,1161.9,0.059012,0.0000205,0.37341
data,705.1,3200.1,19.699,0.050763,871.29,901.37,1.0573,undefined,undefined,undefined,0.046753,0.0000323,undefined
